benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
tree_sum,16,sequential,0,0,true,0.000002,6,4.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,1,true,0.000001,6,7.500,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,2,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,3,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,4,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,5,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,6,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,7,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,8,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,sequential,0,9,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,0,true,0.000002,6,3.000,1,0.3500,0.3500,0.7500,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,1,true,0.000002,6,3.750,1,0.4375,0.4375,0.6250,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,2,true,0.000002,6,3.529,1,0.4118,0.4118,0.7059,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,3,true,0.000002,6,4.000,1,0.4667,0.4667,0.6667,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,4,true,0.000002,6,3.750,1,0.4375,0.4375,0.6250,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,5,true,0.000002,6,3.529,1,0.4118,0.4118,0.6471,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,6,true,0.000002,6,2.500,1,0.2917,0.2917,0.7500,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,7,true,0.000002,6,3.750,1,0.4375,0.4375,0.6875,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,8,true,0.000002,6,3.750,1,0.4375,0.4375,0.6250,0,0,0,6,0,0,0,0,0
tree_sum,16,local,1,9,true,0.000002,6,3.750,1,0.4375,0.4375,0.6875,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,0,true,0.000040,6,0.152,1,0.0177,0.0088,0.8510,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,1,true,0.000039,6,0.156,1,0.0182,0.0091,0.8519,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,2,true,0.000036,6,0.166,1,0.0194,0.0097,0.8476,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,3,true,0.000036,6,0.166,1,0.0194,0.0097,0.8504,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,4,true,0.000034,6,0.175,1,0.0205,0.0102,0.8596,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,5,true,0.000036,6,0.165,1,0.0193,0.0096,0.8623,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,6,true,0.000036,6,0.165,1,0.0193,0.0096,0.8567,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,7,true,0.000036,6,0.167,1,0.0195,0.0097,0.8440,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,8,true,0.000034,6,0.176,1,0.0205,0.0103,0.8504,0,0,0,6,0,0,0,0,0
tree_sum,16,local,2,9,true,0.000035,6,0.172,1,0.0201,0.0101,0.8506,0,0,0,6,0,0,0,0,0
tree_sum,16,local,4,0,true,0.000059,6,0.102,1,0.0119,0.0030,0.8438,0,0,0,6,0,0,0,0,0
