benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
tree_sum_balanced,16,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,7.602,1.0000,1.0000,0.0000,0.2954
tree_sum_balanced,16,local,1,10,true,0.000002,0.000000,0.000002,0.000001,0.000002,3.799,0.4749,0.4749,0.6507,0.0862
tree_sum_balanced,16,local,2,10,true,0.000037,0.000002,0.000037,0.000034,0.000038,0.164,0.0205,0.0103,0.8498,0.0442
tree_sum_balanced,16,local,4,10,true,0.000047,0.000002,0.000047,0.000044,0.000052,0.127,0.0159,0.0040,0.8319,0.0452
tree_sum_balanced,16,local,8,10,true,0.000057,0.000003,0.000057,0.000053,0.000062,0.106,0.0133,0.0017,0.8309,0.0488
tree_sum_balanced,64,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,9.036,1.0000,1.0000,0.0000,0.1007
tree_sum_balanced,64,local,1,10,true,0.000002,0.000000,0.000002,0.000001,0.000002,3.724,0.4344,0.4344,0.6904,0.0759
tree_sum_balanced,64,local,2,10,true,0.000070,0.000003,0.000070,0.000067,0.000078,0.085,0.0100,0.0050,0.8391,0.0456
tree_sum_balanced,64,local,4,10,true,0.000074,0.000006,0.000073,0.000067,0.000084,0.081,0.0095,0.0024,0.8525,0.0757
tree_sum_balanced,64,local,8,10,true,0.000086,0.000024,0.000076,0.000073,0.000148,0.073,0.0085,0.0011,0.8544,0.2739
tree_sum_balanced,256,sequential,0,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,12.100,1.0000,1.0000,0.0000,0.4391
tree_sum_balanced,256,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,4.237,0.3531,0.3531,0.7467,0.0556
tree_sum_balanced,256,local,2,10,true,0.000160,0.000004,0.000160,0.000154,0.000166,0.038,0.0031,0.0016,0.8495,0.0244
tree_sum_balanced,256,local,4,10,true,0.000205,0.000094,0.000176,0.000169,0.000472,0.032,0.0027,0.0007,0.8591,0.4557
tree_sum_balanced,256,local,8,10,true,0.000239,0.000018,0.000237,0.000221,0.000272,0.025,0.0021,0.0003,0.8594,0.0766
