benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,1000,sequential,0,0,true,0.000238,1000,4.205,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,1,true,0.000250,1000,4.000,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,2,true,0.000268,1000,3.726,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,3,true,0.000263,1000,3.799,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,4,true,0.000266,1000,3.759,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,5,true,0.000259,1000,3.867,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,6,true,0.000264,1000,3.784,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,7,true,0.000270,1000,3.700,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,8,true,0.000322,1000,3.104,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,sequential,0,9,true,0.000265,1000,3.776,0,1.0000,1.0000,0.0000,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,0,true,0.000264,1000,3.791,1,1.0028,1.0028,0.0318,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,1,true,0.000252,1000,3.964,1,1.0486,1.0486,0.0305,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,2,true,0.000245,1000,4.082,1,1.0798,1.0798,0.0322,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,3,true,0.000242,1000,4.131,1,1.0927,1.0927,0.0318,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,4,true,0.000272,1000,3.681,1,0.9737,0.9737,0.0324,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,5,true,0.000282,1000,3.546,1,0.9381,0.9381,0.0319,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,6,true,0.000258,1000,3.871,1,1.0242,1.0242,0.0314,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,7,true,0.000248,1000,4.031,1,1.0663,1.0663,0.0355,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,8,true,0.000228,1000,4.380,1,1.1588,1.1588,0.0381,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,1,9,true,0.000226,1000,4.423,1,1.1701,1.1701,0.0385,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,0,true,0.000405,1000,2.470,1,0.6535,0.3268,0.4928,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,1,true,0.000444,1000,2.253,1,0.5960,0.2980,0.5021,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,2,true,0.000432,1000,2.315,1,0.6124,0.3062,0.4762,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,3,true,0.000440,1000,2.275,1,0.6019,0.3010,0.4790,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,4,true,0.000436,1000,2.293,1,0.6065,0.3032,0.4876,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,5,true,0.000398,1000,2.509,1,0.6639,0.3319,0.4856,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,6,true,0.000391,1000,2.555,1,0.6759,0.3380,0.4745,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,7,true,0.000391,1000,2.556,1,0.6761,0.3380,0.4830,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,8,true,0.000391,1000,2.557,1,0.6764,0.3382,0.4620,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,2,9,true,0.000429,1000,2.332,1,0.6170,0.3085,0.4708,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,0,true,0.000434,1000,2.304,1,0.6096,0.1524,0.5539,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,1,true,0.000442,1000,2.264,1,0.5989,0.1497,0.5576,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,2,true,0.000426,1000,2.350,1,0.6216,0.1554,0.5432,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,3,true,0.000423,1000,2.363,1,0.6251,0.1563,0.5406,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,4,true,0.000437,1000,2.290,1,0.6058,0.1514,0.5338,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,5,true,0.000509,1000,1.965,1,0.5197,0.1299,0.5271,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,6,true,0.000505,1000,1.980,1,0.5238,0.1309,0.5385,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,7,true,0.000486,1000,2.056,1,0.5440,0.1360,0.5244,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,8,true,0.000490,1000,2.041,1,0.5399,0.1350,0.5318,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,4,9,true,0.000427,1000,2.341,1,0.6194,0.1549,0.5448,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,0,true,0.000579,1000,1.726,1,0.4567,0.0571,0.6534,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,1,true,0.000582,1000,1.719,1,0.4547,0.0568,0.6502,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,2,true,0.000575,1000,1.738,1,0.4597,0.0575,0.6507,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,3,true,0.000558,1000,1.793,1,0.4744,0.0593,0.6404,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,4,true,0.000565,1000,1.770,1,0.4683,0.0585,0.6417,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,5,true,0.000613,1000,1.632,1,0.4318,0.0540,0.6243,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,6,true,0.000561,1000,1.784,1,0.4720,0.0590,0.6462,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,7,true,0.000574,1000,1.741,1,0.4606,0.0576,0.6565,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,8,true,0.000606,1000,1.650,1,0.4366,0.0546,0.6269,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,1000,local,8,9,true,0.000603,1000,1.659,1,0.4388,0.0548,0.6182,0,0,0,1000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,0,true,0.002015,10000,4.962,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,1,true,0.001922,10000,5.204,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,2,true,0.001955,10000,5.116,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,3,true,0.002029,10000,4.929,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,4,true,0.001940,10000,5.154,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,5,true,0.001934,10000,5.171,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,6,true,0.002133,10000,4.688,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,7,true,0.001926,10000,5.192,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
ep_annihilation_con,10000,sequential,0,8,true,0.002126,10000,4.704,0,1.0000,1.0000,0.0000,0,0,0,10000,0,0,0,0,0
