benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,18,sequential,0,0,true,0.047230,262143,5.550,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,1,true,0.047474,262143,5.522,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,2,true,0.049754,262143,5.269,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,3,true,0.044897,262143,5.839,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,4,true,0.047141,262143,5.561,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,5,true,0.045034,262143,5.821,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,6,true,0.045577,262143,5.752,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,7,true,0.046421,262143,5.647,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,8,true,0.046196,262143,5.675,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,9,true,0.046657,262143,5.618,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,20,sequential,0,0,true,0.222255,1048575,4.718,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,1,true,0.234199,1048575,4.477,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,2,true,0.224968,1048575,4.661,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,3,true,0.213000,1048575,4.923,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,4,true,0.211926,1048575,4.948,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,5,true,0.221684,1048575,4.730,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,6,true,0.212832,1048575,4.927,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,7,true,0.212972,1048575,4.924,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,8,true,0.223903,1048575,4.683,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,9,true,0.231111,1048575,4.537,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,22,sequential,0,0,true,1.190618,4194303,3.523,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,1,true,1.186744,4194303,3.534,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,2,true,1.146849,4194303,3.657,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,3,true,1.169809,4194303,3.585,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,4,true,1.110808,4194303,3.776,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,5,true,1.171968,4194303,3.579,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,6,true,1.177209,4194303,3.563,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,7,true,1.165851,4194303,3.598,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,8,true,1.152520,4194303,3.639,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,9,true,1.147517,4194303,3.655,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
