benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.163774,500000,3.053,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.161272,500000,3.100,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.166260,500000,3.007,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.165480,500000,3.022,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.168845,500000,2.961,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,5,true,0.172743,500000,2.894,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,6,true,0.176422,500000,2.834,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,7,true,0.208220,500000,2.401,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,8,true,0.200984,500000,2.488,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,9,true,0.184418,500000,2.711,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,0,true,0.188906,500000,2.647,1,0.9041,0.9041,0.0310,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,1,true,0.190647,500000,2.623,1,0.8959,0.8959,0.0311,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,2,true,0.181166,500000,2.760,1,0.9428,0.9428,0.0386,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,3,true,0.177772,500000,2.813,1,0.9607,0.9607,0.0305,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,4,true,0.181576,500000,2.754,1,0.9406,0.9406,0.0315,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,5,true,0.177887,500000,2.811,1,0.9601,0.9601,0.0358,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,6,true,0.208706,500000,2.396,1,0.8183,0.8183,0.0282,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,7,true,0.190914,500000,2.619,1,0.8946,0.8946,0.0295,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,8,true,0.185391,500000,2.697,1,0.9213,0.9213,0.0293,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,1,9,true,0.180430,500000,2.771,1,0.9466,0.9466,0.0302,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,0,true,0.529355,500000,0.945,1,0.3226,0.1613,0.7033,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,1,true,0.578296,500000,0.865,1,0.2953,0.1477,0.7004,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,2,true,0.556904,500000,0.898,1,0.3067,0.1533,0.7218,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,3,true,0.566733,500000,0.882,1,0.3014,0.1507,0.7258,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,4,true,0.565383,500000,0.884,1,0.3021,0.1510,0.7160,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,5,true,0.596760,500000,0.838,1,0.2862,0.1431,0.7209,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,6,true,0.564744,500000,0.885,1,0.3024,0.1512,0.7161,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,7,true,0.577579,500000,0.866,1,0.2957,0.1479,0.7162,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,8,true,0.502224,500000,0.996,1,0.3401,0.1700,0.6966,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,2,9,true,0.539016,500000,0.928,1,0.3169,0.1584,0.7046,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,0,true,0.634444,500000,0.788,1,0.2692,0.0673,0.7376,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,1,true,0.584767,500000,0.855,1,0.2921,0.0730,0.7507,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,2,true,0.674596,500000,0.741,1,0.2532,0.0633,0.7724,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,3,true,0.614304,500000,0.814,1,0.2780,0.0695,0.7597,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,4,true,0.589169,500000,0.849,1,0.2899,0.0725,0.7350,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,5,true,0.630221,500000,0.793,1,0.2710,0.0678,0.7622,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,6,true,0.630552,500000,0.793,1,0.2709,0.0677,0.7666,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,7,true,0.607024,500000,0.824,1,0.2814,0.0703,0.7449,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,8,true,0.588282,500000,0.850,1,0.2903,0.0726,0.7369,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,4,9,true,0.628977,500000,0.795,1,0.2715,0.0679,0.7411,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,0,true,0.797372,500000,0.627,1,0.2142,0.0268,0.7983,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,1,true,0.762609,500000,0.656,1,0.2240,0.0280,0.7908,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,2,true,0.794126,500000,0.630,1,0.2151,0.0269,0.7992,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,3,true,0.765275,500000,0.653,1,0.2232,0.0279,0.7967,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,4,true,0.808203,500000,0.619,1,0.2113,0.0264,0.7828,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,5,true,0.793408,500000,0.630,1,0.2153,0.0269,0.8124,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,6,true,0.763854,500000,0.655,1,0.2236,0.0279,0.7876,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,7,true,0.778860,500000,0.642,1,0.2193,0.0274,0.7811,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,8,true,0.750101,500000,0.667,1,0.2277,0.0285,0.7914,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,local,8,9,true,0.741857,500000,0.674,1,0.2302,0.0288,0.7839,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,0.362564,1000000,2.758,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,0.399283,1000000,2.504,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,0.376367,1000000,2.657,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,0.389440,1000000,2.568,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,0.398125,1000000,2.512,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,5,true,0.355211,1000000,2.815,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,6,true,0.373417,1000000,2.678,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,7,true,0.425879,1000000,2.348,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,8,true,0.390333,1000000,2.562,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,9,true,0.386866,1000000,2.585,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,0,true,0.421658,1000000,2.372,1,0.9205,0.9205,0.0255,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,1,true,0.396498,1000000,2.522,1,0.9790,0.9790,0.0287,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,2,true,0.392561,1000000,2.547,1,0.9888,0.9888,0.0265,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,3,true,0.387967,1000000,2.578,1,1.0005,1.0005,0.0299,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,local,1,4,true,0.401603,1000000,2.490,1,0.9665,0.9665,0.0254,0,0,0,1000000,0,0,0,0,0
