benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.176842,0.016193,0.170794,0.161272,0.208220,2.847,1.0000,1.0000,0.0000,0.0916
ep_annihilation_con,500000,local,1,10,true,0.186339,0.009288,0.183483,0.177772,0.208706,2.689,0.9185,0.9185,0.0316,0.0498
ep_annihilation_con,500000,local,2,10,true,0.557699,0.027419,0.565064,0.502224,0.596760,0.899,0.3069,0.1535,0.7122,0.0492
ep_annihilation_con,500000,local,4,10,true,0.618234,0.027595,0.621641,0.584767,0.674596,0.810,0.2767,0.0692,0.7507,0.0446
ep_annihilation_con,500000,local,8,10,true,0.775567,0.022136,0.772068,0.741857,0.808203,0.645,0.2204,0.0275,0.7924,0.0285
ep_annihilation_con,1000000,sequential,0,10,true,0.385748,0.020256,0.388153,0.355211,0.425879,2.599,1.0000,1.0000,0.0000,0.0525
ep_annihilation_con,1000000,local,1,10,true,0.401621,0.014208,0.399889,0.376681,0.421658,2.493,0.9676,0.9676,0.0275,0.0354
ep_annihilation_con,1000000,local,2,10,true,1.369707,0.026230,1.367263,1.327910,1.402106,0.730,0.2835,0.1417,0.7431,0.0192
ep_annihilation_con,1000000,local,4,10,true,1.591839,0.038649,1.584328,1.535135,1.659957,0.629,0.2440,0.0610,0.7938,0.0243
ep_annihilation_con,1000000,local,8,10,true,1.985318,0.039089,1.984378,1.909922,2.038833,0.504,0.1956,0.0244,0.8419,0.0197
ep_annihilation_con,5000000,sequential,0,10,true,2.919852,0.072927,2.942064,2.744340,2.990851,1.713,1.0000,1.0000,0.0000,0.0250
ep_annihilation_con,5000000,local,1,10,true,2.958390,0.038682,2.957105,2.890179,3.029016,1.690,0.9946,0.9946,0.0210,0.0131
ep_annihilation_con,5000000,local,2,10,true,9.969363,0.094551,9.958621,9.869827,10.169829,0.502,0.2951,0.1476,0.7477,0.0095
ep_annihilation_con,5000000,local,4,10,true,10.561592,0.381794,10.679394,9.946358,10.990074,0.474,0.2789,0.0697,0.8024,0.0361
ep_annihilation_con,5000000,local,8,10,true,13.956673,0.140704,13.984008,13.667386,14.179372,0.358,0.2108,0.0264,0.8782,0.0101
