benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,10000000,sequential,0,0,true,5.426740,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,1,true,5.184453,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,2,true,5.235497,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,3,true,5.212976,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,4,true,5.197911,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,0,true,10.949043,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,1,true,11.043888,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,2,true,11.174361,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,3,true,11.134811,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,4,true,11.013661,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,sequential,0,0,true,29.293079,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,sequential,0,1,true,29.782024,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,sequential,0,2,true,29.668580,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,sequential,0,3,true,29.561358,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,sequential,0,4,true,29.450396,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,23,sequential,0,0,true,3.067288,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,23,sequential,0,1,true,3.014226,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,23,sequential,0,2,true,3.052258,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,23,sequential,0,3,true,3.020526,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,23,sequential,0,4,true,3.010607,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,24,sequential,0,0,true,6.129871,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,24,sequential,0,1,true,6.216555,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,24,sequential,0,2,true,6.435947,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,24,sequential,0,3,true,6.564152,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,24,sequential,0,4,true,6.394567,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,25,sequential,0,0,true,12.691517,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,25,sequential,0,1,true,13.006635,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,25,sequential,0,2,true,13.018434,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,25,sequential,0,3,true,13.142663,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,25,sequential,0,4,true,13.179365,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,1,0,true,7.002850,10000000,1.428,1,0.7444,0.7444,0.2556,0,820000069,153,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,1,1,true,7.017097,10000000,1.425,1,0.7429,0.7429,0.2571,0,820000069,153,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,1,2,true,6.871470,10000000,1.455,1,0.7586,0.7586,0.2414,0,820000069,153,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,1,3,true,7.116834,10000000,1.405,1,0.7325,0.7325,0.2675,0,820000069,153,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,1,4,true,7.103105,10000000,1.408,1,0.7339,0.7339,0.2661,0,820000069,153,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,2,0,true,11.360765,10000000,0.880,1,0.4589,0.2294,0.7706,0,820000138,306,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,2,1,true,11.041709,10000000,0.906,1,0.4721,0.2361,0.7639,0,820000138,306,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,2,2,true,11.189862,10000000,0.894,1,0.4659,0.2329,0.7671,0,820000138,306,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,2,3,true,11.118952,10000000,0.899,1,0.4688,0.2344,0.7656,0,820000138,306,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,2,4,true,11.075647,10000000,0.903,1,0.4707,0.2353,0.7647,0,820000138,306,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,4,0,true,12.218497,10000000,0.818,1,0.4266,0.1067,0.8933,0,820000276,612,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,4,1,true,12.210794,10000000,0.819,1,0.4269,0.1067,0.8933,0,820000276,612,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,4,2,true,12.120002,10000000,0.825,1,0.4301,0.1075,0.8925,0,820000276,612,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,4,3,true,12.250246,10000000,0.816,1,0.4255,0.1064,0.8936,0,820000276,612,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,4,4,true,12.203962,10000000,0.819,1,0.4272,0.1068,0.8932,0,820000276,612,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,8,0,true,15.842346,10000000,0.631,1,0.3291,0.0411,0.9589,0,820000552,1224,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,8,1,true,15.881680,10000000,0.630,1,0.3282,0.0410,0.9590,0,820000552,1224,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,8,2,true,15.724246,10000000,0.636,1,0.3315,0.0414,0.9586,0,820000552,1224,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,8,3,true,15.855649,10000000,0.631,1,0.3288,0.0411,0.9589,0,820000552,1224,10000000,0,0,0,0,0
ep_annihilation_con,10000000,tcp_localhost,8,4,true,15.792062,10000000,0.633,1,0.3301,0.0413,0.9587,0,820000552,1224,10000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,1,0,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,1,1,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,1,2,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,1,3,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,1,4,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,2,0,true,24.707639,20000000,0.809,1,0.4470,0.2235,0.7765,0,1640000138,306,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,2,1,true,24.730801,20000000,0.809,1,0.4466,0.2233,0.7767,0,1640000138,306,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,2,2,true,24.662563,20000000,0.811,1,0.4478,0.2239,0.7761,0,1640000138,306,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,2,3,true,24.829447,20000000,0.805,1,0.4448,0.2224,0.7776,0,1640000138,306,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,2,4,true,24.687848,20000000,0.810,1,0.4473,0.2237,0.7763,0,1640000138,306,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,4,0,true,27.002975,20000000,0.741,1,0.4090,0.1022,0.8978,0,1640000276,612,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,4,1,true,26.846793,20000000,0.745,1,0.4114,0.1028,0.8972,0,1640000276,612,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,4,2,true,26.765578,20000000,0.747,1,0.4126,0.1032,0.8968,0,1640000276,612,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,4,3,true,26.797446,20000000,0.746,1,0.4121,0.1030,0.8970,0,1640000276,612,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,4,4,true,26.402608,20000000,0.758,1,0.4183,0.1046,0.8954,0,1640000276,612,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,8,0,true,34.085789,20000000,0.587,1,0.3240,0.0405,0.9595,0,1640000552,1224,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,8,1,true,34.058831,20000000,0.587,1,0.3243,0.0405,0.9595,0,1640000552,1224,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,8,2,true,33.953222,20000000,0.589,1,0.3253,0.0407,0.9593,0,1640000552,1224,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,8,3,true,34.194758,20000000,0.585,1,0.3230,0.0404,0.9596,0,1640000552,1224,20000000,0,0,0,0,0
ep_annihilation_con,20000000,tcp_localhost,8,4,true,33.925068,20000000,0.590,1,0.3255,0.0407,0.9593,0,1640000552,1224,20000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,4,0,true,80.140574,50000000,0.624,1,0.3689,0.0922,0.9078,0,4100000276,612,50000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,4,1,true,78.035096,50000000,0.641,1,0.3788,0.0947,0.9053,0,4100000276,612,50000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,4,2,true,78.454294,50000000,0.637,1,0.3768,0.0942,0.9058,0,4100000276,612,50000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,4,3,true,79.413669,50000000,0.630,1,0.3722,0.0931,0.9069,0,4100000276,612,50000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,4,4,true,79.750072,50000000,0.627,1,0.3707,0.0927,0.9073,0,4100000276,612,50000000,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,8,0,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,8,1,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,8,2,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,8,3,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
ep_annihilation_con,50000000,tcp_localhost,8,4,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,23,tcp_localhost,1,0,true,4.109899,8388607,2.041,1,0.7349,0.7349,0.2651,0,637534207,153,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,1,1,true,4.082239,8388607,2.055,1,0.7399,0.7399,0.2601,0,637534207,153,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,1,2,true,4.062644,8388607,2.065,1,0.7435,0.7435,0.2565,0,637534207,153,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,1,3,true,4.120538,8388607,2.036,1,0.7330,0.7330,0.2670,0,637534207,153,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,1,4,true,3.946860,8388607,2.125,1,0.7653,0.7653,0.2347,0,637534207,153,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,2,0,true,11.011124,8388607,0.762,1,0.2743,0.1372,0.8628,0,637534292,637534460,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,2,1,true,10.990105,8388607,0.763,1,0.2748,0.1374,0.8626,0,637534292,637534460,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,2,2,true,10.991638,8388607,0.763,1,0.2748,0.1374,0.8626,0,637534292,637534460,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,2,3,true,10.963517,8388607,0.765,1,0.2755,0.1378,0.8622,0,637534292,637534460,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,2,4,true,11.019177,8388607,0.761,1,0.2741,0.1371,0.8629,0,637534292,637534460,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,4,0,true,10.702150,8388607,0.784,1,0.2822,0.0706,0.9294,0,637534550,637534886,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,4,1,true,11.152575,8388607,0.752,1,0.2708,0.0677,0.9323,0,637534550,637534886,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,4,2,true,11.071419,8388607,0.758,1,0.2728,0.0682,0.9318,0,637534550,637534886,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,4,3,true,10.750002,8388607,0.780,1,0.2810,0.0702,0.9298,0,637534550,637534886,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,4,4,true,11.090139,8388607,0.756,1,0.2724,0.0681,0.9319,0,637534550,637534886,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,8,0,true,11.586849,8388607,0.724,1,0.2607,0.0326,0.9674,0,637534970,637535642,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,8,1,true,11.447781,8388607,0.733,1,0.2639,0.0330,0.9670,0,637534970,637535642,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,8,2,true,11.472118,8388607,0.731,1,0.2633,0.0329,0.9671,0,637534970,637535642,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,8,3,true,11.385942,8388607,0.737,1,0.2653,0.0332,0.9668,0,637534970,637535642,8388607,0,0,0,0,0
dual_tree,23,tcp_localhost,8,4,true,11.356207,8388607,0.739,1,0.2660,0.0332,0.9668,0,637534970,637535642,8388607,0,0,0,0,0
dual_tree,24,tcp_localhost,1,0,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,24,tcp_localhost,1,1,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,24,tcp_localhost,1,2,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,24,tcp_localhost,1,3,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,24,tcp_localhost,1,4,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,24,tcp_localhost,2,0,true,23.030229,16777215,0.728,1,0.2777,0.1388,0.8612,0,1275068500,1275068668,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,2,1,true,23.100544,16777215,0.726,1,0.2768,0.1384,0.8616,0,1275068500,1275068668,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,2,2,true,23.282415,16777215,0.721,1,0.2747,0.1373,0.8627,0,1275068500,1275068668,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,2,3,true,23.265606,16777215,0.721,1,0.2749,0.1374,0.8626,0,1275068500,1275068668,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,2,4,true,23.474489,16777215,0.715,1,0.2724,0.1362,0.8638,0,1275068500,1275068668,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,4,0,true,23.412482,16777215,0.717,1,0.2731,0.0683,0.9317,0,1275068758,1275069094,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,4,1,true,23.485824,16777215,0.714,1,0.2723,0.0681,0.9319,0,1275068758,1275069094,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,4,2,true,23.342702,16777215,0.719,1,0.2739,0.0685,0.9315,0,1275068758,1275069094,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,4,3,true,23.306709,16777215,0.720,1,0.2744,0.0686,0.9314,0,1275068758,1275069094,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,4,4,true,23.473864,16777215,0.715,1,0.2724,0.0681,0.9319,0,1275068758,1275069094,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,8,0,true,25.158934,16777215,0.667,1,0.2542,0.0318,0.9682,0,1275069178,1275069850,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,8,1,true,24.895258,16777215,0.674,1,0.2569,0.0321,0.9679,0,1275069178,1275069850,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,8,2,true,24.865106,16777215,0.675,1,0.2572,0.0321,0.9679,0,1275069178,1275069850,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,8,3,true,24.920969,16777215,0.673,1,0.2566,0.0321,0.9679,0,1275069178,1275069850,16777215,0,0,0,0,0
dual_tree,24,tcp_localhost,8,4,true,24.891634,16777215,0.674,1,0.2569,0.0321,0.9679,0,1275069178,1275069850,16777215,0,0,0,0,0
dual_tree,25,tcp_localhost,1,0,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,1,1,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,1,2,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,1,3,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,1,4,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,2,0,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,2,1,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,2,2,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,2,3,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,2,4,false,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
dual_tree,25,tcp_localhost,4,0,true,49.970752,33554431,0.671,1,0.2605,0.0651,0.9349,0,2550137174,2550137510,33554431,0,0,0,0,0
dual_tree,25,tcp_localhost,4,1,true,50.221908,33554431,0.668,1,0.2592,0.0648,0.9352,0,2550137174,2550137510,33554431,0,0,0,0,0
dual_tree,25,tcp_localhost,4,2,true,50.086412,33554431,0.670,1,0.2599,0.0650,0.9350,0,2550137174,2550137510,33554431,0,0,0,0,0
dual_tree,25,tcp_localhost,4,3,true,50.045681,33554431,0.670,1,0.2601,0.0650,0.9350,0,2550137174,2550137510,33554431,0,0,0,0,0
dual_tree,25,tcp_localhost,4,4,true,50.528038,33554431,0.664,1,0.2576,0.0644,0.9356,0,2550137174,2550137510,33554431,0,0,0,0,0
dual_tree,25,tcp_localhost,8,0,true,53.616031,33554431,0.626,1,0.2428,0.0304,0.9696,0,2550137594,2550138266,33554431,0,0,0,0,0
