benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,10000000,sequential,0,5,true,5.251515,0.089237,5.212976,5.184453,5.426740,0.000,0.9927,0.9927,0.0073,0.0170
ep_annihilation_con,20000000,sequential,0,5,true,11.063153,0.081662,11.043888,10.949043,11.174361,0.000,0.9983,0.9983,0.0017,0.0074
ep_annihilation_con,50000000,sequential,0,5,true,29.551087,0.169675,29.561358,29.293079,29.782024,0.000,1.0003,1.0003,0.0000,0.0057
dual_tree,23,sequential,0,5,true,3.032981,0.022610,3.020526,3.010607,3.067288,0.000,0.9959,0.9959,0.0041,0.0075
dual_tree,24,sequential,0,5,true,6.348218,0.155873,6.394567,6.129871,6.564152,0.000,1.0073,1.0073,0.0000,0.0246
dual_tree,25,sequential,0,5,true,13.007723,0.171914,13.018434,12.691517,13.179365,0.000,1.0008,1.0008,0.0000,0.0132
ep_annihilation_con,10000000,tcp_localhost,1,5,true,7.022271,0.087888,7.017097,6.871470,7.116834,0.000,0.7423,0.7423,0.2577,0.0125
ep_annihilation_con,10000000,tcp_localhost,2,5,true,11.157387,0.113099,11.118952,11.041709,11.360765,0.000,0.4672,0.2336,0.7664,0.0101
ep_annihilation_con,10000000,tcp_localhost,4,5,true,12.200700,0.043350,12.210794,12.120002,12.250246,0.000,0.4273,0.1068,0.8932,0.0036
ep_annihilation_con,10000000,tcp_localhost,8,5,true,15.819197,0.055715,15.842346,15.724246,15.881680,0.000,0.3295,0.0412,0.9588,0.0035
ep_annihilation_con,20000000,tcp_localhost,2,5,true,24.723660,0.057470,24.707639,24.662563,24.829447,0.000,0.4467,0.2233,0.7767,0.0023
ep_annihilation_con,20000000,tcp_localhost,4,5,true,26.763080,0.197831,26.797446,26.402608,27.002975,0.000,0.4127,0.1032,0.8968,0.0074
ep_annihilation_con,20000000,tcp_localhost,8,5,true,34.043534,0.097035,34.058831,33.925068,34.194758,0.000,0.3244,0.0406,0.9594,0.0029
ep_annihilation_con,50000000,tcp_localhost,4,5,true,79.158741,0.792146,79.413669,78.035096,80.140574,0.000,0.3734,0.0934,0.9066,0.0100
dual_tree,23,tcp_localhost,1,5,true,4.064436,0.062223,4.082239,3.946860,4.120538,0.000,0.7432,0.7432,0.2568,0.0153
dual_tree,23,tcp_localhost,2,5,true,10.995112,0.019344,10.991638,10.963517,11.019177,0.000,0.2747,0.1374,0.8626,0.0018
dual_tree,23,tcp_localhost,4,5,true,10.953257,0.188039,11.071419,10.702150,11.152575,0.000,0.2758,0.0689,0.9311,0.0172
dual_tree,23,tcp_localhost,8,5,true,11.449779,0.080152,11.447781,11.356207,11.586849,0.000,0.2638,0.0330,0.9670,0.0070
dual_tree,24,tcp_localhost,2,5,true,23.230657,0.155213,23.265606,23.030229,23.474489,0.000,0.2753,0.1376,0.8624,0.0067
dual_tree,24,tcp_localhost,4,5,true,23.404316,0.070527,23.412482,23.306709,23.485824,0.000,0.2732,0.0683,0.9317,0.0030
dual_tree,24,tcp_localhost,8,5,true,24.946380,0.107741,24.895258,24.865106,25.158934,0.000,0.2563,0.0320,0.9680,0.0043
dual_tree,25,tcp_localhost,4,5,true,50.170558,0.196482,50.086412,49.970752,50.528038,0.000,0.2595,0.0649,0.9351,0.0039
dual_tree,25,tcp_localhost,8,5,true,56.890547,6.954254,53.565734,53.142408,70.794911,0.000,0.2288,0.0286,0.9714,0.1222
