benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,10000000,sequential,0,0,true,3.504597,10000000,2.853,0,1.0000,1.0000,0.0000,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,1,true,3.488481,10000000,2.867,0,1.0000,1.0000,0.0000,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,2,true,3.466455,10000000,2.885,0,1.0000,1.0000,0.0000,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,3,true,3.461168,10000000,2.889,0,1.0000,1.0000,0.0000,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,sequential,0,4,true,3.436114,10000000,2.910,0,1.0000,1.0000,0.0000,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,1,0,true,3.579997,10000000,2.793,1,0.9683,0.9683,0.0271,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,1,1,true,3.551105,10000000,2.816,1,0.9762,0.9762,0.0265,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,1,2,true,3.543368,10000000,2.822,1,0.9783,0.9783,0.0266,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,1,3,true,3.530334,10000000,2.833,1,0.9819,0.9819,0.0269,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,1,4,true,3.521085,10000000,2.840,1,0.9845,0.9845,0.0269,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,2,0,true,9.623717,10000000,1.039,1,0.3602,0.1801,0.6728,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,2,1,true,9.642316,10000000,1.037,1,0.3595,0.1798,0.6704,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,2,2,true,9.680485,10000000,1.033,1,0.3581,0.1790,0.6673,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,2,3,true,9.628627,10000000,1.039,1,0.3600,0.1800,0.6697,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,2,4,true,9.687795,10000000,1.032,1,0.3578,0.1789,0.6677,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,4,0,true,10.674050,10000000,0.937,1,0.3248,0.0812,0.7453,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,4,1,true,10.680804,10000000,0.936,1,0.3246,0.0811,0.7434,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,4,2,true,10.725133,10000000,0.932,1,0.3232,0.0808,0.7415,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,4,3,true,10.672233,10000000,0.937,1,0.3248,0.0812,0.7458,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,4,4,true,10.712462,10000000,0.933,1,0.3236,0.0809,0.7416,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,8,0,true,13.272874,10000000,0.753,1,0.2612,0.0326,0.8233,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,8,1,true,13.419514,10000000,0.745,1,0.2583,0.0323,0.8270,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,8,2,true,13.254861,10000000,0.754,1,0.2615,0.0327,0.8264,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,8,3,true,13.365049,10000000,0.748,1,0.2594,0.0324,0.8223,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,10000000,local,8,4,true,13.248415,10000000,0.755,1,0.2617,0.0327,0.8230,0,0,0,10000000,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,0,true,7.571588,20000000,2.641,0,1.0000,1.0000,0.0000,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,1,true,7.389881,20000000,2.706,0,1.0000,1.0000,0.0000,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,2,true,7.358882,20000000,2.718,0,1.0000,1.0000,0.0000,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,3,true,7.295478,20000000,2.741,0,1.0000,1.0000,0.0000,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,sequential,0,4,true,7.371363,20000000,2.713,0,1.0000,1.0000,0.0000,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,1,0,true,7.624265,20000000,2.623,1,0.9668,0.9668,0.0224,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,1,1,true,7.643226,20000000,2.617,1,0.9644,0.9644,0.0238,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,1,2,true,7.641060,20000000,2.617,1,0.9647,0.9647,0.0243,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,1,3,true,7.568608,20000000,2.642,1,0.9739,0.9739,0.0245,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,1,4,true,7.583353,20000000,2.637,1,0.9720,0.9720,0.0254,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,2,0,true,20.548945,20000000,0.973,1,0.3587,0.1794,0.6574,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,2,1,true,20.540433,20000000,0.974,1,0.3589,0.1794,0.6593,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,2,2,true,20.684426,20000000,0.967,1,0.3564,0.1782,0.6581,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,2,3,true,20.671323,20000000,0.968,1,0.3566,0.1783,0.6579,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,2,4,true,20.711239,20000000,0.966,1,0.3559,0.1780,0.6604,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,4,0,true,23.174598,20000000,0.863,1,0.3181,0.0795,0.7248,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,4,1,true,23.113855,20000000,0.865,1,0.3189,0.0797,0.7204,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,4,2,true,23.161549,20000000,0.864,1,0.3183,0.0796,0.7237,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,4,3,true,23.349884,20000000,0.857,1,0.3157,0.0789,0.7218,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,4,4,true,23.386010,20000000,0.855,1,0.3152,0.0788,0.7227,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,8,0,true,28.730807,20000000,0.696,1,0.2566,0.0321,0.8045,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,8,1,true,28.666710,20000000,0.698,1,0.2571,0.0321,0.8006,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,8,2,true,28.673831,20000000,0.698,1,0.2571,0.0321,0.8043,0,0,0,20000000,0,0,0,0,0
ep_annihilation_con,20000000,local,8,3,true,28.739221,20000000,0.696,1,0.2565,0.0321,0.8010,0,0,0,20000000,0,0,0,0,0
