benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
cascade_cross,10,sequential,0,10,true,0.000001,0.000001,0.000001,0.000001,0.000003,9.188,1.0000,1.0000,0.0000,0.4534
cascade_cross,10,local,1,10,true,0.000002,0.000000,0.000001,0.000001,0.000002,6.746,0.6746,0.6746,0.3019,0.1479
cascade_cross,10,local,2,10,true,0.000041,0.000002,0.000041,0.000039,0.000045,0.242,0.0242,0.0121,0.8901,0.0444
cascade_cross,10,local,4,10,true,0.000053,0.000001,0.000053,0.000051,0.000055,0.189,0.0189,0.0047,0.8769,0.0241
cascade_cross,10,local,8,10,true,0.000072,0.000003,0.000072,0.000069,0.000080,0.138,0.0138,0.0017,0.8291,0.0480
cascade_cross,50,sequential,0,10,true,0.000004,0.000000,0.000004,0.000003,0.000004,13.219,1.0000,1.0000,0.0000,0.0723
cascade_cross,50,local,1,10,true,0.000004,0.000000,0.000004,0.000004,0.000004,11.971,0.8978,0.8978,0.1097,0.0294
cascade_cross,50,local,2,10,true,0.000436,0.000010,0.000433,0.000426,0.000452,0.115,0.0086,0.0043,0.9168,0.0232
cascade_cross,50,local,4,10,true,0.000573,0.000011,0.000573,0.000550,0.000586,0.087,0.0066,0.0016,0.8911,0.0193
cascade_cross,50,local,8,10,true,0.000846,0.000017,0.000845,0.000829,0.000890,0.059,0.0044,0.0006,0.8594,0.0202
cascade_cross,100,sequential,0,10,true,0.000008,0.000001,0.000009,0.000007,0.000010,12.010,1.0000,1.0000,0.0000,0.1214
cascade_cross,100,local,1,10,true,0.000008,0.000000,0.000008,0.000007,0.000008,13.136,1.1428,1.1428,0.0903,0.0332
cascade_cross,100,local,2,10,true,0.001439,0.000130,0.001404,0.001329,0.001778,0.070,0.0061,0.0030,0.9215,0.0906
cascade_cross,100,local,4,10,true,0.001780,0.000034,0.001777,0.001732,0.001837,0.056,0.0049,0.0012,0.8990,0.0189
cascade_cross,100,local,8,10,true,0.002402,0.000029,0.002393,0.002367,0.002441,0.042,0.0036,0.0005,0.8671,0.0120
cascade_cross,500,sequential,0,10,true,0.000040,0.000003,0.000038,0.000038,0.000047,12.654,1.0000,1.0000,0.0000,0.0743
cascade_cross,500,local,1,10,true,0.000043,0.000005,0.000040,0.000039,0.000052,11.711,0.8936,0.8936,0.0340,0.1234
cascade_cross,500,local,2,10,true,0.025878,0.000538,0.025647,0.025352,0.027034,0.019,0.0015,0.0007,0.9364,0.0208
cascade_cross,500,local,4,10,true,0.030366,0.000384,0.030524,0.029784,0.030911,0.016,0.0013,0.0003,0.9126,0.0127
cascade_cross,500,local,8,10,true,0.038016,0.000937,0.037901,0.036396,0.039662,0.013,0.0010,0.0001,0.8797,0.0246
cascade_cross,1000,sequential,0,10,true,0.000076,0.000005,0.000074,0.000073,0.000090,13.263,1.0000,1.0000,0.0000,0.0690
cascade_cross,1000,local,1,10,true,0.000075,0.000002,0.000074,0.000074,0.000079,13.325,0.9807,0.9807,0.0280,0.0228
cascade_cross,1000,local,2,10,true,0.093385,0.002450,0.093522,0.088120,0.095948,0.011,0.0008,0.0004,0.9392,0.0262
cascade_cross,1000,local,4,10,true,0.098905,0.000593,0.098932,0.098076,0.099707,0.010,0.0007,0.0002,0.9127,0.0060
cascade_cross,1000,local,8,10,true,0.122304,0.001481,0.122070,0.120493,0.125119,0.008,0.0006,0.0001,0.8775,0.0121
dual_tree,6,sequential,0,10,true,0.000006,0.000001,0.000005,0.000005,0.000009,11.212,1.0000,1.0000,0.0000,0.2526
dual_tree,6,local,1,10,true,0.000006,0.000000,0.000006,0.000006,0.000006,10.877,0.8978,0.8978,0.0824,0.0398
dual_tree,6,local,2,10,true,0.000108,0.000003,0.000108,0.000104,0.000112,0.585,0.0483,0.0241,0.9029,0.0235
dual_tree,6,local,4,10,true,0.000118,0.000004,0.000117,0.000114,0.000125,0.534,0.0441,0.0110,0.8952,0.0328
dual_tree,6,local,8,10,true,0.000148,0.000006,0.000146,0.000144,0.000164,0.425,0.0351,0.0044,0.8812,0.0428
dual_tree,10,sequential,0,10,true,0.000092,0.000005,0.000092,0.000081,0.000098,11.190,1.0000,1.0000,0.0000,0.0562
dual_tree,10,local,1,10,true,0.000096,0.000002,0.000095,0.000094,0.000100,10.686,0.9642,0.9642,0.0215,0.0242
dual_tree,10,local,2,10,true,0.002490,0.000068,0.002494,0.002369,0.002592,0.411,0.0371,0.0185,0.9405,0.0274
dual_tree,10,local,4,10,true,0.002829,0.000078,0.002825,0.002723,0.002972,0.362,0.0327,0.0082,0.9345,0.0275
dual_tree,10,local,8,10,true,0.003380,0.000110,0.003373,0.003243,0.003555,0.303,0.0273,0.0034,0.9326,0.0327
dual_tree,14,sequential,0,10,true,0.001607,0.000046,0.001602,0.001534,0.001691,10.202,1.0000,1.0000,0.0000,0.0289
dual_tree,14,local,1,10,true,0.001593,0.000075,0.001600,0.001423,0.001674,10.309,1.0080,1.0080,0.0204,0.0469
dual_tree,14,local,2,10,true,0.053934,0.002089,0.054448,0.049113,0.056800,0.304,0.0297,0.0149,0.9445,0.0387
dual_tree,14,local,4,10,true,0.050253,0.001070,0.049865,0.049000,0.052351,0.326,0.0319,0.0080,0.9352,0.0213
dual_tree,14,local,8,10,true,0.058122,0.002094,0.058241,0.053468,0.060642,0.282,0.0276,0.0034,0.9226,0.0360
