benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.336076,0.013319,0.332014,0.321612,0.364336,0.000,0.9879,0.9879,0.0121,0.0396
ep_annihilation_con,1000000,sequential,0,10,true,0.541407,0.008066,0.538748,0.526916,0.551592,0.000,0.9951,0.9951,0.0049,0.0149
ep_annihilation_con,5000000,sequential,0,10,true,2.489811,0.028371,2.487656,2.431770,2.531599,0.000,0.9991,0.9991,0.0009,0.0114
dual_tree,18,sequential,0,10,true,0.221690,0.006670,0.219095,0.213673,0.231413,0.000,0.9883,0.9883,0.0117,0.0301
dual_tree,20,sequential,0,10,true,0.447961,0.014698,0.445922,0.428284,0.485808,0.000,0.9954,0.9954,0.0046,0.0328
dual_tree,22,sequential,0,10,true,1.530708,0.030894,1.535483,1.446430,1.562046,0.000,1.0031,1.0031,0.0000,0.0202
condup_expansion,1000,sequential,0,10,true,0.196249,0.009358,0.192970,0.182257,0.213004,0.000,0.9833,0.9833,0.0167,0.0477
condup_expansion,5000,sequential,0,10,true,0.190515,0.006560,0.193794,0.174901,0.196424,0.000,1.0172,1.0172,0.0000,0.0344
ep_annihilation_con,500000,tcp_localhost,1,10,true,0.299610,0.004748,0.298667,0.290987,0.309676,0.000,1.1082,1.1082,0.0000,0.0158
ep_annihilation_con,500000,tcp_localhost,2,10,true,0.379263,0.004902,0.379335,0.368408,0.386018,0.000,0.8754,0.4377,0.5623,0.0129
ep_annihilation_con,500000,tcp_localhost,4,10,true,0.414993,0.017919,0.409104,0.397050,0.453621,0.000,0.8000,0.2000,0.8000,0.0432
ep_annihilation_con,500000,tcp_localhost,8,10,true,0.550596,0.006468,0.550883,0.535479,0.560897,0.000,0.6030,0.0754,0.9246,0.0117
ep_annihilation_con,1000000,tcp_localhost,1,10,true,0.573543,0.006284,0.573583,0.565074,0.581389,0.000,0.9393,0.9393,0.0607,0.0110
ep_annihilation_con,1000000,tcp_localhost,2,10,true,0.821846,0.011260,0.820604,0.808176,0.843454,0.000,0.6555,0.3278,0.6722,0.0137
ep_annihilation_con,1000000,tcp_localhost,4,10,true,0.852913,0.007836,0.853308,0.841196,0.866275,0.000,0.6317,0.1579,0.8421,0.0092
ep_annihilation_con,1000000,tcp_localhost,8,10,true,1.165821,0.054291,1.146987,1.124747,1.322813,0.000,0.4621,0.0578,0.9422,0.0466
ep_annihilation_con,5000000,tcp_localhost,1,10,true,3.185732,0.054458,3.174241,3.117299,3.299712,0.000,0.7809,0.7809,0.2191,0.0171
ep_annihilation_con,5000000,tcp_localhost,2,10,true,5.041248,0.028174,5.037958,4.996340,5.109129,0.000,0.4935,0.2467,0.7533,0.0056
ep_annihilation_con,5000000,tcp_localhost,4,10,true,5.550235,0.039146,5.548711,5.482650,5.611831,0.000,0.4482,0.1121,0.8879,0.0071
ep_annihilation_con,5000000,tcp_localhost,8,10,true,7.253077,0.044522,7.259292,7.164513,7.328316,0.000,0.3430,0.0429,0.9571,0.0061
dual_tree,18,tcp_localhost,1,10,true,0.164320,0.003025,0.164613,0.160360,0.170321,0.000,1.3333,1.3333,0.0000,0.0184
dual_tree,18,tcp_localhost,2,10,true,0.236027,0.004782,0.237023,0.226736,0.242579,0.000,0.9283,0.4641,0.5359,0.0203
dual_tree,18,tcp_localhost,4,10,true,0.224689,0.004026,0.224982,0.216788,0.230794,0.000,0.9751,0.2438,0.7562,0.0179
dual_tree,18,tcp_localhost,8,10,true,0.245444,0.006570,0.246014,0.233639,0.254118,0.000,0.8926,0.1116,0.8884,0.0268
dual_tree,20,tcp_localhost,1,10,true,0.468034,0.007074,0.470115,0.453940,0.476512,0.000,0.9528,0.9528,0.0472,0.0151
dual_tree,20,tcp_localhost,2,10,true,1.062128,0.015870,1.060757,1.041265,1.102347,0.000,0.4198,0.2099,0.7901,0.0149
dual_tree,20,tcp_localhost,4,10,true,1.003676,0.012036,0.999798,0.989466,1.035716,0.000,0.4443,0.1111,0.8889,0.0120
dual_tree,20,tcp_localhost,8,10,true,1.111360,0.016244,1.116900,1.082252,1.133128,0.000,0.4012,0.0502,0.9498,0.0146
dual_tree,22,tcp_localhost,1,10,true,1.934980,0.044536,1.931172,1.858737,2.003664,0.000,0.7935,0.7935,0.2065,0.0230
dual_tree,22,tcp_localhost,2,10,true,5.030940,0.026743,5.024898,4.990417,5.076135,0.000,0.3052,0.1526,0.8474,0.0053
dual_tree,22,tcp_localhost,4,10,true,5.043792,0.028709,5.044808,4.991386,5.090724,0.000,0.3044,0.0761,0.9239,0.0057
dual_tree,22,tcp_localhost,8,10,true,5.361551,0.041066,5.370346,5.267094,5.408720,0.000,0.2864,0.0358,0.9642,0.0077
condup_expansion,1000,tcp_localhost,1,10,true,0.001991,0.000342,0.002105,0.001282,0.002433,0.000,96.9211,96.9211,0.0000,0.1718
condup_expansion,1000,tcp_localhost,2,10,true,0.004627,0.000426,0.004393,0.004237,0.005416,0.000,41.7070,20.8535,0.0000,0.0921
condup_expansion,1000,tcp_localhost,4,10,true,0.017331,0.002232,0.017182,0.014299,0.021444,0.000,11.1346,2.7836,0.0000,0.1288
condup_expansion,1000,tcp_localhost,8,10,true,0.049694,0.002746,0.051183,0.044691,0.052232,0.000,3.8832,0.4854,0.5146,0.0553
