benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
cascade_cross,10,sequential,0,10,true,0.000001,0.000001,0.000001,0.000001,0.000003,9.188,1.0000,1.0000,0.0000,0.4534
cascade_cross,10,local,1,10,true,0.000002,0.000000,0.000001,0.000001,0.000002,6.746,0.6746,0.6746,0.3019,0.1479
cascade_cross,10,local,2,10,true,0.000041,0.000002,0.000041,0.000039,0.000045,0.242,0.0242,0.0121,0.8901,0.0444
cascade_cross,10,local,4,10,true,0.000053,0.000001,0.000053,0.000051,0.000055,0.189,0.0189,0.0047,0.8769,0.0241
cascade_cross,10,local,8,10,true,0.000072,0.000003,0.000072,0.000069,0.000080,0.138,0.0138,0.0017,0.8291,0.0480
cascade_cross,50,sequential,0,10,true,0.000004,0.000000,0.000004,0.000003,0.000004,13.219,1.0000,1.0000,0.0000,0.0723
cascade_cross,50,local,1,10,true,0.000004,0.000000,0.000004,0.000004,0.000004,11.971,0.8978,0.8978,0.1097,0.0294
cascade_cross,50,local,2,10,true,0.000436,0.000010,0.000433,0.000426,0.000452,0.115,0.0086,0.0043,0.9168,0.0232
cascade_cross,50,local,4,10,true,0.000573,0.000011,0.000573,0.000550,0.000586,0.087,0.0066,0.0016,0.8911,0.0193
cascade_cross,50,local,8,10,true,0.000846,0.000017,0.000845,0.000829,0.000890,0.059,0.0044,0.0006,0.8594,0.0202
cascade_cross,100,sequential,0,10,true,0.000008,0.000001,0.000009,0.000007,0.000010,12.010,1.0000,1.0000,0.0000,0.1214
cascade_cross,100,local,1,10,true,0.000008,0.000000,0.000008,0.000007,0.000008,13.136,1.1428,1.1428,0.0903,0.0332
cascade_cross,100,local,2,10,true,0.001439,0.000130,0.001404,0.001329,0.001778,0.070,0.0061,0.0030,0.9215,0.0906
cascade_cross,100,local,4,10,true,0.001780,0.000034,0.001777,0.001732,0.001837,0.056,0.0049,0.0012,0.8990,0.0189
cascade_cross,100,local,8,10,true,0.002402,0.000029,0.002393,0.002367,0.002441,0.042,0.0036,0.0005,0.8671,0.0120
cascade_cross,500,sequential,0,10,true,0.000040,0.000003,0.000038,0.000038,0.000047,12.654,1.0000,1.0000,0.0000,0.0743
cascade_cross,500,local,1,10,true,0.000043,0.000005,0.000040,0.000039,0.000052,11.711,0.8936,0.8936,0.0340,0.1234
cascade_cross,500,local,2,10,true,0.025878,0.000538,0.025647,0.025352,0.027034,0.019,0.0015,0.0007,0.9364,0.0208
cascade_cross,500,local,4,10,true,0.030366,0.000384,0.030524,0.029784,0.030911,0.016,0.0013,0.0003,0.9126,0.0127
cascade_cross,500,local,8,10,true,0.038016,0.000937,0.037901,0.036396,0.039662,0.013,0.0010,0.0001,0.8797,0.0246
cascade_cross,1000,sequential,0,10,true,0.000076,0.000005,0.000074,0.000073,0.000090,13.263,1.0000,1.0000,0.0000,0.0690
cascade_cross,1000,local,1,10,true,0.000075,0.000002,0.000074,0.000074,0.000079,13.325,0.9807,0.9807,0.0280,0.0228
cascade_cross,1000,local,2,10,true,0.093385,0.002450,0.093522,0.088120,0.095948,0.011,0.0008,0.0004,0.9392,0.0262
cascade_cross,1000,local,4,10,true,0.098905,0.000593,0.098932,0.098076,0.099707,0.010,0.0007,0.0002,0.9127,0.0060
cascade_cross,1000,local,8,10,true,0.122304,0.001481,0.122070,0.120493,0.125119,0.008,0.0006,0.0001,0.8775,0.0121
