benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
condup_expansion,10000,sequential,0,0,true,0.000946,10000,10.566,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,1,true,0.000914,10000,10.947,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,2,true,0.000931,10000,10.746,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,3,true,0.000915,10000,10.923,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,4,true,0.000933,10000,10.714,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,5,true,0.000924,10000,10.823,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,6,true,0.000897,10000,11.152,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,7,true,0.000899,10000,11.127,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,8,true,0.000904,10000,11.067,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,9,true,0.000900,10000,11.106,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,0,true,0.000969,10000,10.322,1,0.9440,0.9440,0.0931,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,1,true,0.000963,10000,10.384,1,0.9496,0.9496,0.0898,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,2,true,0.001017,10000,9.837,1,0.8996,0.8996,0.0928,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,3,true,0.001002,10000,9.977,1,0.9124,0.9124,0.0936,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,4,true,0.000965,10000,10.365,1,0.9479,0.9479,0.0852,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,5,true,0.000971,10000,10.301,1,0.9420,0.9420,0.0863,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,6,true,0.000979,10000,10.210,1,0.9337,0.9337,0.0973,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,7,true,0.001100,10000,9.093,1,0.8315,0.8315,0.0977,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,8,true,0.001076,10000,9.296,1,0.8501,0.8501,0.1120,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,9,true,0.001006,10000,9.943,1,0.9093,0.9093,0.1070,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,0,true,0.007613,10000,1.313,1,0.1201,0.0601,0.4780,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,1,true,0.007667,10000,1.304,1,0.1193,0.0596,0.4889,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,2,true,0.007669,10000,1.304,1,0.1192,0.0596,0.4942,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,3,true,0.007432,10000,1.346,1,0.1230,0.0615,0.4821,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,4,true,0.007660,10000,1.306,1,0.1194,0.0597,0.4926,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,5,true,0.007187,10000,1.391,1,0.1272,0.0636,0.4823,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,6,true,0.007317,10000,1.367,1,0.1250,0.0625,0.4753,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,7,true,0.007256,10000,1.378,1,0.1260,0.0630,0.4867,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,8,true,0.007022,10000,1.424,1,0.1302,0.0651,0.4735,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,9,true,0.006969,10000,1.435,1,0.1312,0.0656,0.4798,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,0,true,0.022039,10000,0.454,1,0.0415,0.0104,0.3280,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,1,true,0.023573,10000,0.424,1,0.0388,0.0097,0.3170,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,2,true,0.023886,10000,0.419,1,0.0383,0.0096,0.3124,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,3,true,0.024395,10000,0.410,1,0.0375,0.0094,0.3073,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,4,true,0.023478,10000,0.426,1,0.0390,0.0097,0.3111,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,5,true,0.023346,10000,0.428,1,0.0392,0.0098,0.3192,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,6,true,0.023172,10000,0.432,1,0.0395,0.0099,0.3165,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,7,true,0.023465,10000,0.426,1,0.0390,0.0097,0.3135,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,8,true,0.023651,10000,0.423,1,0.0387,0.0097,0.3095,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,9,true,0.023430,10000,0.427,1,0.0390,0.0098,0.3164,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,0,true,0.088761,10000,0.113,1,0.0103,0.0013,0.2123,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,1,true,0.091940,10000,0.109,1,0.0099,0.0012,0.2206,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,2,true,0.091434,10000,0.109,1,0.0100,0.0013,0.2136,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,3,true,0.089800,10000,0.111,1,0.0102,0.0013,0.2188,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,4,true,0.094259,10000,0.106,1,0.0097,0.0012,0.2159,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,5,true,0.093461,10000,0.107,1,0.0098,0.0012,0.2206,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,6,true,0.092958,10000,0.108,1,0.0098,0.0012,0.2204,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,7,true,0.093065,10000,0.107,1,0.0098,0.0012,0.2216,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,8,true,0.092760,10000,0.108,1,0.0099,0.0012,0.2183,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,9,true,0.091937,10000,0.109,1,0.0099,0.0012,0.2194,0,0,0,0,0,0,10000,0,0
condup_expansion,50000,sequential,0,0,true,0.004568,50000,10.945,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,1,true,0.004577,50000,10.923,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,2,true,0.004782,50000,10.455,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
