benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
condup_expansion,100,sequential,0,0,true,0.000012,100,8.065,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,1,true,0.000013,100,7.634,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,2,true,0.000021,100,4.854,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,3,true,0.000006,100,15.873,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,4,true,0.000005,100,20.000,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,5,true,0.000011,100,8.772,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,6,true,0.000007,100,14.925,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,7,true,0.000005,100,19.608,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,8,true,0.000005,100,18.868,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,sequential,0,9,true,0.000005,100,20.000,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,0,true,0.000007,100,14.286,1,0.9286,0.9286,0.2714,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,1,true,0.000007,100,14.925,1,0.9701,0.9701,0.2537,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,2,true,0.000007,100,13.699,1,0.8904,0.8904,0.2329,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,3,true,0.000007,100,14.493,1,0.9420,0.9420,0.2609,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,4,true,0.000006,100,15.385,1,1.0000,1.0000,0.2462,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,5,true,0.000007,100,14.925,1,0.9701,0.9701,0.2836,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,6,true,0.000007,100,14.925,1,0.9701,0.9701,0.2687,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,7,true,0.000007,100,14.493,1,0.9420,0.9420,0.2754,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,8,true,0.000007,100,15.152,1,0.9848,0.9848,0.2576,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,1,9,true,0.000007,100,15.152,1,0.9848,0.9848,0.2576,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,2,0,true,0.002127,100,0.047,1,0.0031,0.0015,0.3839,0,0,0,0,0,0,100,0,0
condup_expansion,100,local,2,1,true,0.001807,100,0.055,1,0.0036,0.0018,0.3619,0,0,0,0,0,0,100,0,0
