benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,6,sequential,0,0,true,0.000009,63,6.702,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,1,true,0.000008,63,8.182,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,2,true,0.000005,63,11.887,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,3,true,0.000005,63,12.353,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,4,true,0.000005,63,12.600,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,5,true,0.000005,63,11.455,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,6,true,0.000005,63,12.353,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,7,true,0.000005,63,12.353,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,8,true,0.000005,63,12.353,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,sequential,0,9,true,0.000005,63,11.887,0,1.0000,1.0000,0.0000,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,0,true,0.000006,63,10.000,1,0.8254,0.8254,0.1111,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,1,true,0.000006,63,10.328,1,0.8525,0.8525,0.0820,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,2,true,0.000006,63,11.250,1,0.9286,0.9286,0.0714,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,3,true,0.000006,63,11.053,1,0.9123,0.9123,0.0877,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,4,true,0.000006,63,11.053,1,0.9123,0.9123,0.0702,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,5,true,0.000006,63,11.053,1,0.9123,0.9123,0.0877,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,6,true,0.000006,63,11.250,1,0.9286,0.9286,0.0893,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,7,true,0.000006,63,11.053,1,0.9123,0.9123,0.0526,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,8,true,0.000006,63,11.053,1,0.9123,0.9123,0.0702,0,0,0,63,0,0,0,0,0
dual_tree,6,local,1,9,true,0.000006,63,10.678,1,0.8814,0.8814,0.1017,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,0,true,0.000110,63,0.571,6,0.0471,0.0236,0.8976,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,1,true,0.000112,63,0.562,6,0.0464,0.0232,0.9019,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,2,true,0.000108,63,0.583,6,0.0481,0.0241,0.9037,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,3,true,0.000106,63,0.594,6,0.0491,0.0245,0.9028,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,4,true,0.000104,63,0.608,6,0.0502,0.0251,0.9025,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,5,true,0.000106,63,0.594,6,0.0491,0.0245,0.9009,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,6,true,0.000106,63,0.593,6,0.0489,0.0245,0.9012,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,7,true,0.000107,63,0.586,6,0.0484,0.0242,0.9060,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,8,true,0.000110,63,0.571,6,0.0471,0.0236,0.9066,0,0,0,63,0,0,0,0,0
dual_tree,6,local,2,9,true,0.000108,63,0.586,6,0.0483,0.0242,0.9052,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,0,true,0.000124,63,0.508,6,0.0420,0.0105,0.8918,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,1,true,0.000119,63,0.528,6,0.0436,0.0109,0.8986,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,2,true,0.000118,63,0.534,6,0.0441,0.0110,0.8948,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,3,true,0.000125,63,0.502,6,0.0415,0.0104,0.9011,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,4,true,0.000118,63,0.535,6,0.0441,0.0110,0.8905,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,5,true,0.000115,63,0.546,6,0.0451,0.0113,0.8925,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,6,true,0.000115,63,0.548,6,0.0452,0.0113,0.8948,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,7,true,0.000116,63,0.545,6,0.0450,0.0113,0.8970,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,8,true,0.000114,63,0.553,6,0.0457,0.0114,0.8964,0,0,0,63,0,0,0,0,0
dual_tree,6,local,4,9,true,0.000116,63,0.544,6,0.0449,0.0112,0.8946,0,0,0,63,0,0,0,0,0
dual_tree,6,local,8,0,true,0.000164,63,0.385,6,0.0318,0.0040,0.8851,0,0,0,63,0,0,0,0,0
dual_tree,6,local,8,1,true,0.000156,63,0.405,6,0.0334,0.0042,0.8504,0,0,0,63,0,0,0,0,0
