benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,6,1,local,0,0,0.000000,0.000006,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,1,0,0.000000,0.000006,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,2,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,3,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,4,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,5,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,6,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,7,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,8,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,1,local,9,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,126,0,0
dual_tree,6,2,local,0,0,0.000011,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,0,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
dual_tree,6,2,local,0,2,0.000011,0.000002,0.000003,0.000000,4,1.000000,120,0,0
dual_tree,6,2,local,0,3,0.000012,0.000002,0.000003,0.000000,8,1.000000,112,0,0
dual_tree,6,2,local,0,4,0.000013,0.000003,0.000003,0.000000,16,1.000000,96,0,0
dual_tree,6,2,local,0,5,0.000013,0.000003,0.000004,0.000000,32,1.000000,64,0,0
dual_tree,6,2,local,1,0,0.000010,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,1,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
dual_tree,6,2,local,1,2,0.000011,0.000002,0.000003,0.000000,4,1.000000,120,0,0
dual_tree,6,2,local,1,3,0.000013,0.000002,0.000003,0.000000,8,1.000000,112,0,0
dual_tree,6,2,local,1,4,0.000013,0.000003,0.000003,0.000000,16,1.000000,96,0,0
dual_tree,6,2,local,1,5,0.000014,0.000003,0.000004,0.000000,32,1.000000,64,0,0
dual_tree,6,2,local,2,0,0.000011,0.000001,0.000003,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,2,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
dual_tree,6,2,local,2,2,0.000011,0.000001,0.000003,0.000000,4,1.000000,120,0,0
dual_tree,6,2,local,2,3,0.000012,0.000002,0.000003,0.000000,8,1.000000,112,0,0
dual_tree,6,2,local,2,4,0.000013,0.000003,0.000003,0.000000,16,1.000000,96,0,0
dual_tree,6,2,local,2,5,0.000013,0.000003,0.000004,0.000000,32,1.000000,64,0,0
dual_tree,6,2,local,3,0,0.000010,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,3,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
dual_tree,6,2,local,3,2,0.000011,0.000001,0.000003,0.000000,4,1.000000,120,0,0
dual_tree,6,2,local,3,3,0.000012,0.000002,0.000003,0.000000,8,1.000000,112,0,0
dual_tree,6,2,local,3,4,0.000013,0.000002,0.000003,0.000000,16,1.000000,96,0,0
dual_tree,6,2,local,3,5,0.000012,0.000003,0.000003,0.000000,32,1.000000,64,0,0
dual_tree,6,2,local,4,0,0.000010,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,4,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
dual_tree,6,2,local,4,2,0.000010,0.000001,0.000002,0.000000,4,1.000000,120,0,0
dual_tree,6,2,local,4,3,0.000011,0.000002,0.000003,0.000000,8,1.000000,112,0,0
dual_tree,6,2,local,4,4,0.000013,0.000002,0.000003,0.000000,16,1.000000,96,0,0
dual_tree,6,2,local,4,5,0.000012,0.000003,0.000003,0.000000,32,1.000000,64,0,0
dual_tree,6,2,local,5,0,0.000010,0.000001,0.000002,0.000000,1,1.000000,126,0,0
dual_tree,6,2,local,5,1,0.000010,0.000001,0.000002,0.000000,2,1.000000,124,0,0
