benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,4,sequential,0,10,true,0.000002,0.000001,0.000001,0.000001,0.000003,10.684,1.0000,1.0000,0.0000,0.3778
dual_tree,4,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000003,8.071,0.7264,0.7264,0.1931,0.2179
dual_tree,4,local,2,10,true,0.000007,0.000001,0.000007,0.000006,0.000009,2.200,0.1980,0.0990,0.9429,0.1367
dual_tree,4,local,4,10,true,0.000009,0.000001,0.000009,0.000009,0.000010,1.595,0.1436,0.0359,0.9030,0.0577
dual_tree,4,local,8,10,true,0.000012,0.000001,0.000012,0.000012,0.000015,1.207,0.1086,0.0136,0.8756,0.0714
dual_tree,6,sequential,0,10,true,0.000004,0.000000,0.000004,0.000004,0.000005,14.605,1.0000,1.0000,0.0000,0.0850
dual_tree,6,local,1,10,true,0.000005,0.000000,0.000004,0.000004,0.000006,13.709,0.9030,0.9030,0.0779,0.0821
dual_tree,6,local,2,10,true,0.000019,0.000003,0.000017,0.000016,0.000022,3.466,0.2283,0.1142,0.9442,0.1443
dual_tree,6,local,4,10,true,0.000020,0.000000,0.000020,0.000020,0.000021,3.088,0.2034,0.0509,0.9280,0.0212
dual_tree,6,local,8,10,true,0.000023,0.000000,0.000023,0.000023,0.000024,2.714,0.1788,0.0223,0.9078,0.0170
dual_tree,8,sequential,0,10,true,0.000019,0.000002,0.000019,0.000016,0.000023,13.405,1.0000,1.0000,0.0000,0.1010
dual_tree,8,local,1,10,true,0.000016,0.000000,0.000016,0.000016,0.000017,15.675,1.1802,1.1802,0.0430,0.0291
dual_tree,8,local,2,10,true,0.000061,0.000008,0.000061,0.000054,0.000079,4.209,0.3169,0.1585,0.9644,0.1242
dual_tree,8,local,4,10,true,0.000064,0.000006,0.000062,0.000058,0.000072,4.019,0.3026,0.0757,0.9491,0.0948
dual_tree,8,local,8,10,true,0.000088,0.000005,0.000087,0.000082,0.000100,2.903,0.2186,0.0273,0.9461,0.0601
dual_tree,10,sequential,0,10,true,0.000083,0.000004,0.000083,0.000077,0.000088,12.320,1.0000,1.0000,0.0000,0.0431
dual_tree,10,local,1,10,true,0.000077,0.000009,0.000073,0.000070,0.000101,13.453,1.0974,1.0974,0.0257,0.1212
dual_tree,10,local,2,10,true,0.000279,0.000012,0.000277,0.000255,0.000298,3.674,0.2997,0.1499,0.9729,0.0416
dual_tree,10,local,4,10,true,0.000278,0.000020,0.000270,0.000259,0.000326,3.700,0.3019,0.0755,0.9651,0.0711
dual_tree,10,local,8,10,true,0.000350,0.000014,0.000354,0.000330,0.000374,2.925,0.2386,0.0298,0.9591,0.0388
dual_tree,12,sequential,0,10,true,0.000340,0.000021,0.000331,0.000311,0.000382,12.071,1.0000,1.0000,0.0000,0.0620
dual_tree,12,local,1,10,true,0.000324,0.000013,0.000319,0.000318,0.000360,12.643,1.0230,1.0230,0.0171,0.0397
dual_tree,12,local,2,10,true,0.001067,0.000038,0.001053,0.001038,0.001159,3.842,0.3109,0.1554,0.9749,0.0358
dual_tree,12,local,4,10,true,0.001146,0.000038,0.001127,0.001119,0.001236,3.576,0.2894,0.0723,0.9691,0.0327
dual_tree,12,local,8,10,true,0.001342,0.000078,0.001307,0.001287,0.001533,3.060,0.2476,0.0310,0.9586,0.0582
dual_tree,14,sequential,0,10,true,0.001329,0.000036,0.001314,0.001289,0.001406,12.334,1.0000,1.0000,0.0000,0.0270
dual_tree,14,local,1,10,true,0.001378,0.000037,0.001364,0.001346,0.001456,11.894,0.9539,0.9539,0.0168,0.0271
dual_tree,14,local,2,10,true,0.004635,0.000324,0.004558,0.004343,0.005523,3.548,0.2846,0.1423,0.9738,0.0698
dual_tree,14,local,4,10,true,0.004988,0.000335,0.004901,0.004661,0.005832,3.297,0.2644,0.0661,0.9674,0.0672
dual_tree,14,local,8,10,true,0.005670,0.000264,0.005600,0.005413,0.006183,2.895,0.2322,0.0290,0.9537,0.0465
