benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,100,sequential,0,10,true,0.000010,0.000002,0.000009,0.000009,0.000014,10.236,1.0000,1.0000,0.0000,0.1914
ep_annihilation_con,100,local,1,10,true,0.000010,0.000001,0.000010,0.000010,0.000012,9.588,0.8821,0.8821,0.1234,0.0683
ep_annihilation_con,100,local,2,10,true,0.000023,0.000001,0.000023,0.000022,0.000025,4.313,0.3968,0.1984,0.5596,0.0557
ep_annihilation_con,100,local,4,10,true,0.000026,0.000000,0.000026,0.000025,0.000027,3.856,0.3548,0.0887,0.5763,0.0178
ep_annihilation_con,100,local,8,10,true,0.000042,0.000002,0.000042,0.000039,0.000044,2.380,0.2190,0.0274,0.6858,0.0403
ep_annihilation_con,500,sequential,0,10,true,0.000070,0.000002,0.000070,0.000068,0.000073,7.151,1.0000,1.0000,0.0000,0.0309
ep_annihilation_con,500,local,1,10,true,0.000079,0.000011,0.000075,0.000071,0.000109,6.451,0.8967,0.8967,0.0475,0.1390
ep_annihilation_con,500,local,2,10,true,0.000124,0.000006,0.000122,0.000119,0.000141,4.046,0.5624,0.2812,0.5158,0.0498
ep_annihilation_con,500,local,4,10,true,0.000152,0.000008,0.000153,0.000142,0.000164,3.294,0.4578,0.1145,0.5679,0.0503
ep_annihilation_con,500,local,8,10,true,0.000260,0.000113,0.000219,0.000199,0.000572,2.111,0.2934,0.0367,0.7060,0.4362
ep_annihilation_con,1000,sequential,0,10,true,0.000137,0.000006,0.000137,0.000127,0.000144,7.330,1.0000,1.0000,0.0000,0.0444
ep_annihilation_con,1000,local,1,10,true,0.000148,0.000019,0.000143,0.000135,0.000201,6.838,0.9379,0.9379,0.0333,0.1292
ep_annihilation_con,1000,local,2,10,true,0.000272,0.000017,0.000270,0.000252,0.000304,3.692,0.5063,0.2532,0.4827,0.0627
ep_annihilation_con,1000,local,4,10,true,0.000311,0.000024,0.000304,0.000284,0.000363,3.227,0.4426,0.1106,0.5703,0.0776
ep_annihilation_con,1000,local,8,10,true,0.000404,0.000045,0.000390,0.000348,0.000480,2.500,0.3429,0.0429,0.6378,0.1112
ep_annihilation_con,5000,sequential,0,10,true,0.000682,0.000107,0.000652,0.000588,0.000963,7.457,1.0000,1.0000,0.0000,0.1562
ep_annihilation_con,5000,local,1,10,true,0.000716,0.000154,0.000667,0.000634,0.001150,7.177,0.9366,0.9366,0.0608,0.2145
ep_annihilation_con,5000,local,2,10,true,0.001408,0.000081,0.001415,0.001288,0.001517,3.561,0.4647,0.2323,0.5321,0.0573
ep_annihilation_con,5000,local,4,10,true,0.001503,0.000317,0.001407,0.001323,0.002394,3.418,0.4460,0.1115,0.5680,0.2110
ep_annihilation_con,5000,local,8,10,true,0.001858,0.000131,0.001871,0.001636,0.002079,2.703,0.3527,0.0441,0.6543,0.0704
ep_annihilation_con,10000,sequential,0,10,true,0.001429,0.000437,0.001258,0.001145,0.002595,7.393,1.0000,1.0000,0.0000,0.3058
ep_annihilation_con,10000,local,1,10,true,0.001508,0.000280,0.001344,0.001258,0.002038,6.819,0.8579,0.8579,0.0503,0.1859
ep_annihilation_con,10000,local,2,10,true,0.002918,0.000314,0.002876,0.002574,0.003402,3.461,0.4355,0.2177,0.5266,0.1076
ep_annihilation_con,10000,local,4,10,true,0.003018,0.000233,0.002917,0.002732,0.003485,3.331,0.4190,0.1048,0.5960,0.0771
ep_annihilation_con,10000,local,8,10,true,0.003614,0.000292,0.003631,0.003217,0.004108,2.783,0.3501,0.0438,0.6465,0.0807
ep_annihilation_con,50000,sequential,0,10,true,0.006236,0.000432,0.006086,0.005740,0.007041,8.051,1.0000,1.0000,0.0000,0.0692
ep_annihilation_con,50000,local,1,10,true,0.006631,0.000436,0.006659,0.006036,0.007111,7.571,0.9215,0.9215,0.0509,0.0657
ep_annihilation_con,50000,local,2,10,true,0.015765,0.002633,0.015354,0.013182,0.021692,3.243,0.3948,0.1974,0.5889,0.1670
ep_annihilation_con,50000,local,4,10,true,0.016687,0.000948,0.016518,0.015437,0.017950,3.005,0.3658,0.0914,0.6416,0.0568
ep_annihilation_con,50000,local,8,10,true,0.018528,0.000989,0.018780,0.017304,0.020373,2.705,0.3293,0.0412,0.6930,0.0534
ep_annihilation_con,100000,sequential,0,10,true,0.012775,0.000729,0.012791,0.011612,0.013732,7.851,1.0000,1.0000,0.0000,0.0571
ep_annihilation_con,100000,local,1,10,true,0.013940,0.000527,0.013886,0.013277,0.014634,7.183,0.9187,0.9187,0.0572,0.0378
ep_annihilation_con,100000,local,2,10,true,0.033859,0.001506,0.034142,0.031908,0.035918,2.959,0.3784,0.1892,0.6122,0.0445
ep_annihilation_con,100000,local,4,10,true,0.035616,0.001471,0.035687,0.033837,0.038009,2.812,0.3597,0.0899,0.6588,0.0413
ep_annihilation_con,100000,local,8,10,true,0.044183,0.004789,0.042509,0.039628,0.054100,2.285,0.2923,0.0365,0.7034,0.1084
