benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_dup,100,sequential,0,10,true,0.000009,0.000002,0.000009,0.000008,0.000013,10.854,1.0000,1.0000,0.0000,0.1661
ep_annihilation_dup,100,local,1,10,true,0.000010,0.000000,0.000010,0.000009,0.000010,10.397,0.8994,0.8994,0.1233,0.0382
ep_annihilation_dup,100,local,2,10,true,0.000023,0.000001,0.000022,0.000022,0.000024,4.435,0.3836,0.1918,0.5477,0.0253
ep_annihilation_dup,100,local,4,10,true,0.000026,0.000001,0.000026,0.000024,0.000028,3.819,0.3304,0.0826,0.5838,0.0400
ep_annihilation_dup,100,local,8,10,true,0.000042,0.000003,0.000041,0.000039,0.000048,2.413,0.2087,0.0261,0.6862,0.0635
ep_annihilation_dup,500,sequential,0,10,true,0.000070,0.000002,0.000071,0.000067,0.000073,7.127,1.0000,1.0000,0.0000,0.0278
ep_annihilation_dup,500,local,1,10,true,0.000076,0.000004,0.000075,0.000073,0.000087,6.584,0.9343,0.9343,0.0580,0.0541
ep_annihilation_dup,500,local,2,10,true,0.000124,0.000011,0.000121,0.000115,0.000150,4.046,0.5742,0.2871,0.5189,0.0870
ep_annihilation_dup,500,local,4,10,true,0.000151,0.000004,0.000150,0.000146,0.000158,3.321,0.4713,0.1178,0.5821,0.0249
ep_annihilation_dup,500,local,8,10,true,0.000219,0.000029,0.000211,0.000194,0.000296,2.313,0.3282,0.0410,0.6980,0.1344
ep_annihilation_dup,1000,sequential,0,10,true,0.000141,0.000002,0.000140,0.000139,0.000146,7.105,1.0000,1.0000,0.0000,0.0135
ep_annihilation_dup,1000,local,1,10,true,0.000149,0.000010,0.000145,0.000142,0.000177,6.759,0.9490,0.9490,0.0354,0.0695
ep_annihilation_dup,1000,local,2,10,true,0.000274,0.000014,0.000270,0.000261,0.000297,3.655,0.5131,0.2566,0.5010,0.0522
ep_annihilation_dup,1000,local,4,10,true,0.000283,0.000022,0.000279,0.000267,0.000337,3.550,0.4984,0.1246,0.5567,0.0761
ep_annihilation_dup,1000,local,8,10,true,0.000398,0.000036,0.000388,0.000356,0.000494,2.527,0.3548,0.0444,0.6396,0.0916
ep_annihilation_dup,5000,sequential,0,10,true,0.000653,0.000075,0.000628,0.000589,0.000811,7.732,1.0000,1.0000,0.0000,0.1148
ep_annihilation_dup,5000,local,1,10,true,0.000699,0.000082,0.000666,0.000627,0.000857,7.233,0.9083,0.9083,0.0595,0.1179
ep_annihilation_dup,5000,local,2,10,true,0.001466,0.000146,0.001414,0.001321,0.001726,3.440,0.4319,0.2160,0.5327,0.0999
ep_annihilation_dup,5000,local,4,10,true,0.001556,0.000202,0.001486,0.001356,0.001988,3.256,0.4089,0.1022,0.5744,0.1299
ep_annihilation_dup,5000,local,8,10,true,0.001879,0.000224,0.001825,0.001629,0.002234,2.693,0.3382,0.0423,0.6369,0.1190
ep_annihilation_dup,10000,sequential,0,10,true,0.001312,0.000102,0.001259,0.001226,0.001534,7.663,1.0000,1.0000,0.0000,0.0779
ep_annihilation_dup,10000,local,1,10,true,0.001457,0.000189,0.001381,0.001253,0.001758,6.963,0.8769,0.8769,0.0530,0.1298
ep_annihilation_dup,10000,local,2,10,true,0.002931,0.000317,0.002889,0.002468,0.003333,3.448,0.4342,0.2171,0.5350,0.1080
ep_annihilation_dup,10000,local,4,10,true,0.002988,0.000257,0.002924,0.002678,0.003376,3.369,0.4243,0.1061,0.5936,0.0861
ep_annihilation_dup,10000,local,8,10,true,0.003651,0.000422,0.003443,0.003246,0.004392,2.770,0.3488,0.0436,0.6493,0.1157
ep_annihilation_dup,50000,sequential,0,10,true,0.006523,0.000240,0.006554,0.006161,0.006981,7.674,1.0000,1.0000,0.0000,0.0369
ep_annihilation_dup,50000,local,1,10,true,0.006863,0.000807,0.006549,0.006267,0.008887,7.362,0.9651,0.9651,0.0679,0.1177
ep_annihilation_dup,50000,local,2,10,true,0.015383,0.001442,0.015515,0.013214,0.017354,3.276,0.4295,0.2147,0.5800,0.0937
ep_annihilation_dup,50000,local,4,10,true,0.015826,0.000736,0.015619,0.014993,0.017240,3.165,0.4149,0.1037,0.6363,0.0465
ep_annihilation_dup,50000,local,8,10,true,0.018543,0.000746,0.018356,0.017853,0.020240,2.700,0.3539,0.0442,0.6825,0.0403
ep_annihilation_dup,100000,sequential,0,10,true,0.013639,0.000906,0.013190,0.012920,0.015294,7.359,1.0000,1.0000,0.0000,0.0664
ep_annihilation_dup,100000,local,1,10,true,0.015081,0.002851,0.014048,0.012598,0.022659,6.794,0.8961,0.8961,0.0554,0.1890
ep_annihilation_dup,100000,local,2,10,true,0.034381,0.005320,0.032375,0.028513,0.045624,2.966,0.3912,0.1956,0.6065,0.1547
ep_annihilation_dup,100000,local,4,10,true,0.039354,0.004945,0.037933,0.034334,0.047686,2.576,0.3397,0.0849,0.6634,0.1256
ep_annihilation_dup,100000,local,8,10,true,0.044609,0.003237,0.045042,0.039829,0.049608,2.252,0.2971,0.0371,0.7081,0.0726
