benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
erasure_propagation,100,sequential,0,10,true,0.000005,0.000004,0.000003,0.000003,0.000016,29.143,1.0000,1.0000,0.0000,0.8805
erasure_propagation,100,local,1,10,true,0.000003,0.000001,0.000003,0.000003,0.000006,29.998,0.8700,0.8700,0.1657,0.2426
erasure_propagation,100,local,2,10,true,0.000971,0.000046,0.000954,0.000925,0.001061,0.103,0.0030,0.0015,0.9991,0.0472
erasure_propagation,100,local,4,10,true,0.003287,0.000057,0.003287,0.003230,0.003422,0.030,0.0009,0.0002,0.9995,0.0175
erasure_propagation,100,local,8,10,true,0.007434,0.000098,0.007450,0.007206,0.007538,0.013,0.0004,0.0000,0.9996,0.0132
erasure_propagation,500,sequential,0,10,true,0.000028,0.000004,0.000027,0.000022,0.000038,18.385,1.0000,1.0000,0.0000,0.1455
erasure_propagation,500,local,1,10,true,0.000028,0.000001,0.000028,0.000027,0.000032,17.717,0.9691,0.9691,0.0411,0.0461
erasure_propagation,500,local,2,10,true,0.000970,0.000031,0.000966,0.000935,0.001045,0.516,0.0282,0.0141,0.9979,0.0316
erasure_propagation,500,local,4,10,true,0.003275,0.000093,0.003225,0.003201,0.003445,0.153,0.0084,0.0021,0.9990,0.0284
erasure_propagation,500,local,8,10,true,0.007440,0.000039,0.007424,0.007394,0.007524,0.067,0.0037,0.0005,0.9994,0.0053
erasure_propagation,1000,sequential,0,10,true,0.000049,0.000005,0.000048,0.000041,0.000059,20.489,1.0000,1.0000,0.0000,0.0943
erasure_propagation,1000,local,1,10,true,0.000052,0.000004,0.000051,0.000048,0.000058,19.155,0.9223,0.9223,0.0427,0.0712
erasure_propagation,1000,local,2,10,true,0.001190,0.000026,0.001186,0.001162,0.001253,0.841,0.0405,0.0202,0.9970,0.0217
erasure_propagation,1000,local,4,10,true,0.003390,0.000060,0.003375,0.003340,0.003540,0.295,0.0142,0.0036,0.9983,0.0177
erasure_propagation,1000,local,8,10,true,0.007542,0.000076,0.007517,0.007472,0.007732,0.133,0.0064,0.0008,0.9988,0.0101
erasure_propagation,5000,sequential,0,10,true,0.000245,0.000040,0.000261,0.000139,0.000275,21.135,1.0000,1.0000,0.0000,0.1614
erasure_propagation,5000,local,1,10,true,0.000272,0.000021,0.000277,0.000242,0.000307,18.464,0.9633,0.9633,0.0339,0.0770
erasure_propagation,5000,local,2,10,true,0.001807,0.000038,0.001806,0.001750,0.001865,2.768,0.1444,0.0722,0.9914,0.0211
erasure_propagation,5000,local,4,10,true,0.004067,0.000077,0.004045,0.003969,0.004196,1.230,0.0642,0.0160,0.9948,0.0190
erasure_propagation,5000,local,8,10,true,0.008485,0.000207,0.008480,0.008090,0.008883,0.590,0.0308,0.0038,0.9961,0.0244
erasure_propagation,10000,sequential,0,10,true,0.000439,0.000051,0.000456,0.000329,0.000493,23.119,1.0000,1.0000,0.0000,0.1155
erasure_propagation,10000,local,1,10,true,0.000488,0.000044,0.000496,0.000410,0.000558,20.662,0.9427,0.9427,0.0390,0.0905
erasure_propagation,10000,local,2,10,true,0.002830,0.000253,0.002770,0.002646,0.003517,3.556,0.1622,0.0811,0.9866,0.0895
erasure_propagation,10000,local,4,10,true,0.005041,0.000241,0.005083,0.004674,0.005463,1.988,0.0907,0.0227,0.9901,0.0478
erasure_propagation,10000,local,8,10,true,0.009673,0.000218,0.009578,0.009458,0.010013,1.034,0.0472,0.0059,0.9923,0.0225
