benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
tree_sum,10,sequential,0,0,true,0.000002,6,3.529,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,1,true,0.000000,6,20.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,2,true,0.000000,6,30.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,3,true,0.000000,6,30.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,4,true,0.000000,6,20.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,5,true,0.000000,6,30.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,6,true,0.000000,6,30.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,7,true,0.000000,6,20.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,8,true,0.000000,6,20.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,sequential,0,9,true,0.000000,6,20.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,0,true,0.000001,6,8.571,1,0.4286,0.4286,0.7143,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,1,true,0.000000,6,12.000,1,0.6000,0.6000,0.6000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,2,true,0.000000,6,12.000,1,0.6000,0.6000,0.6000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,3,true,0.000000,6,12.000,1,0.6000,0.6000,0.6000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,4,true,0.000000,6,12.000,1,0.6000,0.6000,0.6000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,5,true,0.000000,6,12.000,1,0.6000,0.6000,0.6000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,6,true,0.000001,6,10.000,1,0.5000,0.5000,0.6667,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,7,true,0.000001,6,10.000,1,0.5000,0.5000,0.6667,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,8,true,0.000000,6,12.000,1,0.6000,0.6000,0.8000,0,0,0,6,0,0,0,0,0
tree_sum,10,local,1,9,true,0.000001,6,10.000,1,0.5000,0.5000,0.6667,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,0,true,0.000009,6,0.674,1,0.0337,0.0169,0.8652,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,1,true,0.000009,6,0.652,1,0.0326,0.0163,0.8587,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,2,true,0.000008,6,0.723,1,0.0361,0.0181,0.8313,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,3,true,0.000008,6,0.750,1,0.0375,0.0187,0.8625,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,4,true,0.000009,6,0.652,1,0.0326,0.0163,0.8696,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,5,true,0.000009,6,0.698,1,0.0349,0.0174,0.8721,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,6,true,0.000008,6,0.750,1,0.0375,0.0187,0.8750,0,0,0,6,0,0,0,0,0
tree_sum,10,local,2,7,true,0.000008,6,0.769,1,0.0385,0.0192,0.8718,0,0,0,6,0,0,0,0,0
