benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
tree_sum,10,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000002,22.353,1.0000,1.0000,0.0000,1.1487
tree_sum,10,local,1,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,11.057,0.5529,0.5529,0.6514,0.1286
tree_sum,10,local,2,10,true,0.000008,0.000001,0.000008,0.000008,0.000009,0.719,0.0359,0.0180,0.8640,0.0670
tree_sum,10,local,4,10,true,0.000012,0.000000,0.000012,0.000012,0.000013,0.482,0.0241,0.0060,0.8522,0.0289
tree_sum,10,local,8,10,true,0.000016,0.000004,0.000015,0.000014,0.000027,0.383,0.0192,0.0024,0.8470,0.2274
tree_sum,50,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,24.000,1.0000,1.0000,0.0000,0.1986
tree_sum,50,local,1,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,11.800,0.5900,0.5900,0.6867,0.0620
tree_sum,50,local,2,10,true,0.000023,0.000001,0.000022,0.000021,0.000024,0.267,0.0133,0.0067,0.8707,0.0405
tree_sum,50,local,4,10,true,0.000028,0.000002,0.000027,0.000026,0.000033,0.215,0.0107,0.0027,0.8391,0.0722
tree_sum,50,local,8,10,true,0.000035,0.000001,0.000035,0.000033,0.000036,0.173,0.0087,0.0011,0.8555,0.0324
tree_sum,100,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,28.000,1.0000,1.0000,0.0000,0.1917
tree_sum,100,local,1,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,9.629,0.3210,0.3210,0.6957,0.1071
tree_sum,100,local,2,10,true,0.000043,0.000013,0.000039,0.000036,0.000079,0.147,0.0049,0.0025,0.8764,0.3012
tree_sum,100,local,4,10,true,0.000065,0.000046,0.000049,0.000045,0.000194,0.111,0.0037,0.0009,0.8278,0.7092
tree_sum,100,local,8,10,true,0.000065,0.000010,0.000061,0.000057,0.000084,0.094,0.0031,0.0004,0.8463,0.1520
tree_sum,500,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000001,14.445,1.0000,1.0000,0.0000,0.4919
tree_sum,500,local,1,10,true,0.000002,0.000000,0.000002,0.000001,0.000002,3.940,0.2627,0.2627,0.8117,0.1661
tree_sum,500,local,2,10,true,0.000216,0.000012,0.000209,0.000205,0.000241,0.028,0.0019,0.0009,0.8531,0.0570
tree_sum,500,local,4,10,true,0.000236,0.000006,0.000235,0.000227,0.000249,0.025,0.0017,0.0004,0.8706,0.0261
tree_sum,500,local,8,10,true,0.000294,0.000013,0.000293,0.000279,0.000325,0.020,0.0014,0.0002,0.8847,0.0437
tree_sum,1000,sequential,0,10,true,0.000001,0.000001,0.000002,0.000000,0.000002,6.267,1.0000,1.0000,0.0000,0.4295
tree_sum,1000,local,1,10,true,0.000003,0.000001,0.000004,0.000002,0.000004,1.910,0.5254,0.5254,0.8257,0.2518
tree_sum,1000,local,2,10,true,0.000468,0.000040,0.000462,0.000409,0.000534,0.013,0.0035,0.0018,0.8613,0.0848
tree_sum,1000,local,4,10,true,0.000484,0.000052,0.000470,0.000426,0.000603,0.013,0.0034,0.0009,0.8724,0.1071
tree_sum,1000,local,8,10,true,0.000647,0.000187,0.000563,0.000521,0.001097,0.010,0.0027,0.0003,0.8962,0.2890
