benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.767564,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.671104,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.794575,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.861740,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.766926,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,5,true,0.761883,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,6,true,0.828511,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,7,true,0.810967,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,8,true,0.801124,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,9,true,0.873180,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,1.310121,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,1.319281,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,1.211461,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,1.271827,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,1.260271,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,5,true,1.229894,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,6,true,1.288988,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,7,true,1.290513,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,8,true,1.286828,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,9,true,1.254779,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,0,true,7.079621,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,1,true,6.905770,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,2,true,6.911609,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,3,true,6.702640,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,4,true,6.872199,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,5,true,6.840490,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,6,true,7.088190,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,7,true,6.934341,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,8,true,7.037167,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,9,true,7.010501,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,0,true,0.580562,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,1,true,0.561772,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,2,true,0.548046,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,3,true,0.572661,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,4,true,0.642299,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,5,true,0.583113,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,6,true,0.539104,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,7,true,0.548973,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,8,true,0.566575,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,18,sequential,0,9,true,0.551295,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,0,true,0.957804,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,1,true,0.942785,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,2,true,0.896936,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,3,true,0.950115,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,4,true,1.098347,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,5,true,0.883940,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,6,true,0.913744,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,7,true,0.995782,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,8,true,0.897365,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,20,sequential,0,9,true,0.947009,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,0,true,2.959673,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,1,true,2.933617,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,2,true,3.012418,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,3,true,2.937624,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,4,true,3.086593,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,5,true,3.103185,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,6,true,3.117880,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,7,true,2.974376,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,8,true,3.052360,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
dual_tree,22,sequential,0,9,true,2.943677,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,0,true,0.451319,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,1,true,0.480327,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,2,true,0.434479,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,3,true,0.504541,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,4,true,0.443893,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,5,true,0.490137,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,6,true,0.514203,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,7,true,0.465383,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,8,true,0.489132,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,1000,sequential,0,9,true,0.474758,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,0,true,0.482146,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,1,true,0.440540,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,2,true,0.483345,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,3,true,0.500444,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,4,true,0.471515,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,5,true,0.439667,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,6,true,0.469410,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,7,true,0.462903,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,8,true,0.486986,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
condup_expansion,5000,sequential,0,9,true,0.434505,0,0.0,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0
