benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.539932,0.020768,0.536004,0.513328,0.584818,0.000,0.9927,0.9927,0.0073,0.0385
ep_annihilation_con,1000000,sequential,0,10,true,0.916025,0.057676,0.907838,0.842439,1.052798,0.000,0.9911,0.9911,0.0089,0.0630
ep_annihilation_con,5000000,sequential,0,10,true,4.479572,0.051177,4.475921,4.384684,4.546093,0.000,0.9992,0.9992,0.0008,0.0114
dual_tree,18,sequential,0,10,true,0.370869,0.013804,0.370835,0.352080,0.395734,0.000,0.9999,0.9999,0.0001,0.0372
dual_tree,20,sequential,0,10,true,0.725657,0.041079,0.720398,0.668341,0.830988,0.000,0.9928,0.9928,0.0072,0.0566
dual_tree,22,sequential,0,10,true,2.545470,0.072987,2.541810,2.427171,2.684065,0.000,0.9986,0.9986,0.0014,0.0287
condup_expansion,1000,sequential,0,10,true,0.270644,0.010629,0.273258,0.250583,0.282540,0.000,1.0097,1.0097,0.0000,0.0393
condup_expansion,5000,sequential,0,10,true,0.266928,0.008224,0.267651,0.251577,0.277318,0.000,1.0027,1.0027,0.0000,0.0308
ep_annihilation_con,500000,tcp_localhost,1,10,true,0.441468,0.016500,0.442987,0.409326,0.462374,0.000,1.2141,1.2141,0.0000,0.0374
ep_annihilation_con,500000,tcp_localhost,2,10,true,0.765881,0.054732,0.756229,0.688290,0.881871,0.000,0.6999,0.3499,0.6501,0.0715
ep_annihilation_con,500000,tcp_localhost,4,10,true,0.816902,0.018750,0.815686,0.786967,0.843835,0.000,0.6561,0.1640,0.8360,0.0230
ep_annihilation_con,500000,tcp_localhost,8,10,true,1.290609,0.050810,1.284543,1.232664,1.423266,0.000,0.4153,0.0519,0.9481,0.0394
ep_annihilation_con,1000000,tcp_localhost,1,10,true,0.909416,0.018652,0.910903,0.869885,0.935188,0.000,0.9983,0.9983,0.0017,0.0205
ep_annihilation_con,1000000,tcp_localhost,2,10,true,1.692435,0.070156,1.695286,1.580847,1.827292,0.000,0.5364,0.2682,0.7318,0.0415
ep_annihilation_con,1000000,tcp_localhost,4,10,true,2.111099,0.080347,2.079000,2.013771,2.220051,0.000,0.4300,0.1075,0.8925,0.0381
ep_annihilation_con,1000000,tcp_localhost,8,10,true,3.052727,0.073072,3.035589,2.949511,3.203377,0.000,0.2974,0.0372,0.9628,0.0239
dual_tree,18,tcp_localhost,1,10,true,0.195224,0.008925,0.194483,0.182826,0.208562,0.000,1.8995,1.8995,0.0000,0.0457
dual_tree,18,tcp_localhost,2,10,true,0.368659,0.017830,0.368019,0.337750,0.407416,0.000,1.0059,0.5030,0.4970,0.0484
dual_tree,18,tcp_localhost,4,10,true,0.418456,0.022597,0.421545,0.382036,0.459328,0.000,0.8862,0.2215,0.7785,0.0540
dual_tree,18,tcp_localhost,8,10,true,0.610602,0.039025,0.601031,0.561343,0.711344,0.000,0.6073,0.0759,0.9241,0.0639
dual_tree,20,tcp_localhost,1,10,true,0.714701,0.012092,0.714489,0.689200,0.731357,0.000,1.0080,1.0080,0.0000,0.0169
dual_tree,20,tcp_localhost,2,10,true,1.861254,0.063791,1.842216,1.782092,2.021226,0.000,0.3870,0.1935,0.8065,0.0343
dual_tree,20,tcp_localhost,4,10,true,2.000186,0.028851,2.003516,1.937789,2.053863,0.000,0.3602,0.0900,0.9100,0.0144
dual_tree,20,tcp_localhost,8,10,true,2.687338,0.328369,2.541898,2.476183,3.609593,0.000,0.2681,0.0335,0.9665,0.1222
condup_expansion,1000,tcp_localhost,1,10,true,0.004442,0.001466,0.004611,0.002130,0.007605,0.000,61.5141,61.5141,0.0000,0.3301
condup_expansion,1000,tcp_localhost,2,10,true,0.035533,0.007845,0.036628,0.017137,0.048782,0.000,7.6903,3.8452,0.0000,0.2208
condup_expansion,1000,tcp_localhost,4,10,true,0.079705,0.010892,0.077451,0.063955,0.105194,0.000,3.4284,0.8571,0.1429,0.1367
condup_expansion,1000,tcp_localhost,8,10,true,0.294792,0.012581,0.294886,0.277889,0.316622,0.000,0.9270,0.1159,0.8841,0.0427
condup_expansion,5000,tcp_localhost,1,10,true,0.015270,0.005108,0.014247,0.008360,0.022610,0.000,17.5278,17.5278,0.0000,0.3345
condup_expansion,5000,tcp_localhost,2,10,true,0.037639,0.007490,0.038495,0.024640,0.050270,0.000,7.1110,3.5555,0.0000,0.1990
dual_tree,22,tcp_localhost,2,10,true,13.894606,1.071607,13.845126,12.504393,15.546225,0.000,0.1829,0.0915,0.9085,0.0771
dual_tree,22,tcp_localhost,4,10,true,10.347855,0.459270,10.322788,9.713893,11.536732,0.000,0.2456,0.0614,0.9386,0.0444
dual_tree,22,tcp_localhost,8,10,true,12.814129,0.313315,12.822085,12.152047,13.232059,0.000,0.1984,0.0248,0.9752,0.0245
ep_annihilation_con,5000000,tcp_localhost,8,10,true,20.452538,0.233599,20.517097,19.881378,20.724765,0.000,0.2188,0.0274,0.9726,0.0114
condup_expansion,5000,tcp_localhost,4,10,true,0.105193,0.010069,0.104317,0.090843,0.125774,0.000,2.5444,0.6361,0.3639,0.0957
condup_expansion,5000,tcp_localhost,8,10,true,0.606426,0.167477,0.515057,0.435526,0.872617,0.000,0.4414,0.0552,0.9448,0.2762
