benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
condup_expansion,5000,sequential,0,0,true,0.000761,5000,6.570,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,sequential,0,1,true,0.000647,5000,7.729,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,sequential,0,2,true,0.000831,5000,6.019,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,sequential,0,3,true,0.000837,5000,5.973,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,sequential,0,4,true,0.000803,5000,6.224,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,1,0,true,0.000949,5000,5.268,1,0.8463,0.8463,0.1012,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,1,1,true,0.000907,5000,5.511,1,0.8855,0.8855,0.1016,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,1,2,true,0.000951,5000,5.255,1,0.8443,0.8443,0.1450,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,1,3,true,0.001033,5000,4.839,1,0.7775,0.7775,0.1689,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,1,4,true,0.000969,5000,5.162,1,0.8293,0.8293,0.1641,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,2,0,true,0.006898,5000,0.725,1,0.1164,0.0582,0.4820,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,2,1,true,0.006906,5000,0.724,1,0.1163,0.0582,0.4765,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,2,2,true,0.006935,5000,0.721,1,0.1158,0.0579,0.5123,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,2,3,true,0.006781,5000,0.737,1,0.1185,0.0592,0.4890,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,2,4,true,0.006586,5000,0.759,1,0.1220,0.0610,0.5162,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,4,0,true,0.036530,5000,0.137,1,0.0220,0.0055,0.3673,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,4,1,true,0.038653,5000,0.129,1,0.0208,0.0052,0.3251,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,4,2,true,0.036375,5000,0.137,1,0.0221,0.0055,0.3736,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,4,3,true,0.041759,5000,0.120,1,0.0192,0.0048,0.3189,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,4,4,true,0.041860,5000,0.119,1,0.0192,0.0048,0.3354,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,8,0,true,0.120704,5000,0.041,1,0.0067,0.0008,0.2062,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,8,1,true,0.098601,5000,0.051,1,0.0081,0.0010,0.2310,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,8,2,true,0.093789,5000,0.053,1,0.0086,0.0011,0.2281,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,8,3,true,0.123915,5000,0.040,1,0.0065,0.0008,0.2481,0,0,0,0,0,0,5000,0,0
condup_expansion,5000,local,8,4,true,0.097363,5000,0.051,1,0.0083,0.0010,0.2418,0,0,0,0,0,0,5000,0,0
condup_expansion,10000,sequential,0,0,true,0.001780,10000,5.620,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,1,true,0.002110,10000,4.739,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,2,true,0.001956,10000,5.113,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,3,true,0.002095,10000,4.774,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,sequential,0,4,true,0.001956,10000,5.113,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,0,true,0.002002,10000,4.994,1,0.9767,0.9767,0.0975,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,1,true,0.002093,10000,4.777,1,0.9344,0.9344,0.0944,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,2,true,0.002038,10000,4.908,1,0.9599,0.9599,0.0912,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,3,true,0.002005,10000,4.989,1,0.9758,0.9758,0.0920,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,1,4,true,0.002198,10000,4.549,1,0.8898,0.8898,0.0848,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,0,true,0.014195,10000,0.704,1,0.1378,0.0689,0.4911,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,1,true,0.014338,10000,0.697,1,0.1364,0.0682,0.4658,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,2,true,0.013976,10000,0.716,1,0.1400,0.0700,0.5040,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,3,true,0.016133,10000,0.620,1,0.1212,0.0606,0.4738,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,2,4,true,0.014542,10000,0.688,1,0.1345,0.0673,0.5148,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,0,true,0.050855,10000,0.197,1,0.0385,0.0096,0.3305,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,1,true,0.046960,10000,0.213,1,0.0417,0.0104,0.3298,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,2,true,0.049051,10000,0.204,1,0.0399,0.0100,0.2968,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,3,true,0.049447,10000,0.202,1,0.0396,0.0099,0.3085,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,4,4,true,0.051090,10000,0.196,1,0.0383,0.0096,0.3874,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,0,true,0.260039,10000,0.038,1,0.0075,0.0009,0.2062,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,1,true,0.226985,10000,0.044,1,0.0086,0.0011,0.2469,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,2,true,0.302260,10000,0.033,1,0.0065,0.0008,0.2834,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,3,true,0.278700,10000,0.036,1,0.0070,0.0009,0.2602,0,0,0,0,0,0,10000,0,0
condup_expansion,10000,local,8,4,true,0.276771,10000,0.036,1,0.0071,0.0009,0.2588,0,0,0,0,0,0,10000,0,0
condup_expansion,50000,sequential,0,0,true,0.016836,50000,2.970,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,1,true,0.011552,50000,4.328,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,2,true,0.010618,50000,4.709,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,3,true,0.016805,50000,2.975,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,sequential,0,4,true,0.011242,50000,4.448,0,1.0000,1.0000,0.0000,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,1,0,true,0.012830,50000,3.897,1,0.9004,0.9004,0.1009,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,1,1,true,0.011962,50000,4.180,1,0.9657,0.9657,0.0698,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,1,2,true,0.013428,50000,3.723,1,0.8603,0.8603,0.0746,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,1,3,true,0.013849,50000,3.610,1,0.8342,0.8342,0.0784,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,1,4,true,0.019232,50000,2.600,1,0.6007,0.6007,0.0733,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,2,0,true,0.161554,50000,0.309,1,0.0715,0.0358,0.5619,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,2,1,true,0.135887,50000,0.368,1,0.0850,0.0425,0.6048,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,2,2,true,0.141541,50000,0.353,1,0.0816,0.0408,0.5440,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,2,3,true,0.137283,50000,0.364,1,0.0842,0.0421,0.6174,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,2,4,true,0.135042,50000,0.370,1,0.0855,0.0428,0.5142,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,4,0,true,0.342442,50000,0.146,1,0.0337,0.0084,0.3211,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,4,1,true,0.305000,50000,0.164,1,0.0379,0.0095,0.3991,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,4,2,true,0.342562,50000,0.146,1,0.0337,0.0084,0.4115,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,4,3,true,0.341542,50000,0.146,1,0.0338,0.0085,0.3312,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,4,4,true,0.330757,50000,0.151,1,0.0349,0.0087,0.3258,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,8,0,true,1.267959,50000,0.039,1,0.0091,0.0011,0.2240,0,0,0,0,0,0,50000,0,0
condup_expansion,50000,local,8,1,true,1.294038,50000,0.039,1,0.0089,0.0011,0.2283,0,0,0,0,0,0,50000,0,0
