benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
condup_expansion,5000,sequential,0,5,true,0.000776,0.000078,0.000803,0.000647,0.000837,6.503,1.0000,1.0000,0.0000,0.1006
condup_expansion,5000,local,1,5,true,0.000962,0.000046,0.000951,0.000907,0.001033,5.207,0.8366,0.8366,0.1362,0.0476
condup_expansion,5000,local,2,5,true,0.006821,0.000144,0.006898,0.006586,0.006935,0.733,0.1178,0.0589,0.4952,0.0211
condup_expansion,5000,local,4,5,true,0.039035,0.002688,0.038653,0.036375,0.041860,0.129,0.0207,0.0052,0.3440,0.0689
condup_expansion,5000,local,8,5,true,0.106875,0.014246,0.098601,0.093789,0.123915,0.047,0.0076,0.0010,0.2310,0.1333
condup_expansion,10000,sequential,0,5,true,0.001979,0.000134,0.001956,0.001780,0.002110,5.072,1.0000,1.0000,0.0000,0.0675
condup_expansion,10000,local,1,5,true,0.002067,0.000082,0.002038,0.002002,0.002198,4.843,0.9473,0.9473,0.0920,0.0396
condup_expansion,10000,local,2,5,true,0.014637,0.000861,0.014338,0.013976,0.016133,0.685,0.1340,0.0670,0.4899,0.0589
condup_expansion,10000,local,4,5,true,0.049481,0.001660,0.049447,0.046960,0.051090,0.202,0.0396,0.0099,0.3306,0.0335
condup_expansion,10000,local,8,5,true,0.268951,0.027867,0.276771,0.226985,0.302260,0.038,0.0073,0.0009,0.2511,0.1036
condup_expansion,50000,sequential,0,5,true,0.013411,0.003131,0.011552,0.010618,0.016836,3.886,1.0000,1.0000,0.0000,0.2335
condup_expansion,50000,local,1,5,true,0.014260,0.002868,0.013428,0.011962,0.019232,3.602,0.8323,0.8323,0.0794,0.2011
condup_expansion,50000,local,2,5,true,0.142261,0.011071,0.137283,0.135042,0.161554,0.353,0.0816,0.0408,0.5685,0.0778
condup_expansion,50000,local,4,5,true,0.332460,0.016133,0.341542,0.305000,0.342562,0.151,0.0348,0.0087,0.3577,0.0485
condup_expansion,50000,local,8,5,true,1.242952,0.114797,1.285257,1.041136,1.326371,0.041,0.0094,0.0012,0.2179,0.0924
