benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,18,sequential,0,0,true,0.061606,262143,4.255,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,1,true,0.059621,262143,4.397,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,2,true,0.085489,262143,3.066,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,3,true,0.066080,262143,3.967,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,4,true,0.056531,262143,4.637,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,0,true,0.053085,262143,4.938,1,1.1605,1.1605,0.0166,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,1,true,0.051738,262143,5.067,1,1.1907,1.1907,0.0207,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,2,true,0.153457,262143,1.708,1,0.4015,0.4015,0.0092,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,3,true,0.103812,262143,2.525,1,0.5934,0.5934,0.0127,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,4,true,0.090256,262143,2.904,1,0.6826,0.6826,0.0111,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,2,0,true,0.198319,262143,1.322,1,0.3106,0.1553,0.9818,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,2,1,true,0.195730,262143,1.339,1,0.3147,0.1574,0.9785,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,2,2,true,0.221561,262143,1.183,1,0.2781,0.1390,0.9774,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,2,3,true,0.217300,262143,1.206,1,0.2835,0.1418,0.9772,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,2,4,true,0.433643,262143,0.605,1,0.1421,0.0710,0.9702,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,4,0,true,0.358323,262143,0.732,1,0.1719,0.0430,0.9706,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,4,1,true,0.368456,262143,0.711,1,0.1672,0.0418,0.9746,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,4,2,true,0.330151,262143,0.794,1,0.1866,0.0466,0.9726,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,4,3,true,0.295477,262143,0.887,1,0.2085,0.0521,0.9693,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,4,4,true,0.320842,262143,0.817,1,0.1920,0.0480,0.9734,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,8,0,true,0.284822,262143,0.920,1,0.2163,0.0270,0.9738,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,8,1,true,0.309032,262143,0.848,1,0.1994,0.0249,0.9570,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,8,2,true,0.273263,262143,0.959,1,0.2254,0.0282,0.9574,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,8,3,true,0.382603,262143,0.685,1,0.1610,0.0201,0.9678,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,8,4,true,0.476997,262143,0.550,1,0.1292,0.0161,0.9804,0,0,0,262143,0,0,0,0,0
dual_tree,20,sequential,0,0,true,0.300386,1048575,3.491,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,1,true,0.231942,1048575,4.521,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,2,true,0.286685,1048575,3.658,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,3,true,0.257152,1048575,4.078,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,sequential,0,4,true,0.245922,1048575,4.264,0,1.0000,1.0000,0.0000,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,1,0,true,0.281749,1048575,3.722,1,0.9127,0.9127,0.0129,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,1,1,true,0.441409,1048575,2.376,1,0.5826,0.5826,0.0118,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,1,2,true,0.415115,1048575,2.526,1,0.6195,0.6195,0.0132,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,1,3,true,0.394129,1048575,2.660,1,0.6525,0.6525,0.0143,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,1,4,true,0.418568,1048575,2.505,1,0.6144,0.6144,0.0120,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,2,0,true,1.586349,1048575,0.661,1,0.1621,0.0811,0.9834,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,2,1,true,1.475044,1048575,0.711,1,0.1743,0.0872,0.9887,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,2,2,true,1.310487,1048575,0.800,1,0.1962,0.0981,0.9875,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,2,3,true,1.396323,1048575,0.751,1,0.1842,0.0921,0.9833,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,2,4,true,1.555575,1048575,0.674,1,0.1653,0.0827,0.9781,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,4,0,true,1.631000,1048575,0.643,1,0.1577,0.0394,0.9775,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,4,1,true,1.193218,1048575,0.879,1,0.2155,0.0539,0.9811,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,4,2,true,1.444212,1048575,0.726,1,0.1781,0.0445,0.9791,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,4,3,true,1.256813,1048575,0.834,1,0.2046,0.0512,0.9830,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,4,4,true,1.410387,1048575,0.743,1,0.1823,0.0456,0.9824,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,8,0,true,1.708895,1048575,0.614,1,0.1505,0.0188,0.9609,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,8,1,true,0.969997,1048575,1.081,1,0.2651,0.0331,0.9726,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,8,2,true,1.309693,1048575,0.801,1,0.1963,0.0245,0.9682,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,8,3,true,1.455552,1048575,0.720,1,0.1767,0.0221,0.9798,0,0,0,1048575,0,0,0,0,0
dual_tree,20,local,8,4,true,1.034112,1048575,1.014,1,0.2487,0.0311,0.9723,0,0,0,1048575,0,0,0,0,0
dual_tree,22,sequential,0,0,true,1.751427,4194303,2.395,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,1,true,1.814982,4194303,2.311,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,2,true,1.952976,4194303,2.148,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,3,true,1.876981,4194303,2.235,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,sequential,0,4,true,2.060331,4194303,2.036,0,1.0000,1.0000,0.0000,0,0,0,4194303,0,0,0,0,0
dual_tree,22,local,1,0,true,2.522173,4194303,1.663,1,0.7442,0.7442,0.0142,0,0,0,4194303,0,0,0,0,0
dual_tree,22,local,1,1,true,2.705261,4194303,1.550,1,0.6938,0.6938,0.0083,0,0,0,4194303,0,0,0,0,0
dual_tree,22,local,1,2,true,2.711927,4194303,1.547,1,0.6921,0.6921,0.0097,0,0,0,4194303,0,0,0,0,0
dual_tree,22,local,1,3,true,2.038796,4194303,2.057,1,0.9206,0.9206,0.0095,0,0,0,4194303,0,0,0,0,0
dual_tree,22,local,1,4,true,1.564493,4194303,2.681,1,1.1997,1.1997,0.0092,0,0,0,4194303,0,0,0,0,0
