benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,5,true,0.159878,0.003245,0.159172,0.157442,0.165439,3.128,1.0000,1.0000,0.0000,0.0203
ep_annihilation_con,500000,local,1,5,true,0.182487,0.014189,0.178876,0.166402,0.205007,2.753,0.8763,0.8763,0.0346,0.0778
ep_annihilation_con,500000,local,2,5,true,0.568023,0.091735,0.560931,0.452496,0.706829,0.898,0.2860,0.1430,0.6829,0.1615
ep_annihilation_con,500000,local,4,5,true,0.669715,0.018807,0.671214,0.641379,0.687885,0.747,0.2378,0.0595,0.7352,0.0281
ep_annihilation_con,500000,local,8,5,true,0.788348,0.035805,0.800352,0.735429,0.825347,0.635,0.2022,0.0253,0.7853,0.0454
ep_annihilation_con,1000000,sequential,0,5,true,0.388357,0.021292,0.386117,0.361048,0.420859,2.581,1.0000,1.0000,0.0000,0.0548
ep_annihilation_con,1000000,local,1,5,true,0.413480,0.026310,0.425347,0.374552,0.440371,2.427,0.9370,0.9370,0.0338,0.0636
ep_annihilation_con,1000000,local,2,5,true,1.434678,0.057050,1.455120,1.355088,1.488576,0.698,0.2695,0.1347,0.7337,0.0398
ep_annihilation_con,1000000,local,4,5,true,1.514234,0.018302,1.516683,1.494099,1.541025,0.660,0.2550,0.0638,0.7685,0.0121
ep_annihilation_con,1000000,local,8,5,true,2.491188,0.640779,2.106754,1.901333,3.260317,0.422,0.1630,0.0204,0.7703,0.2572
ep_annihilation_con,5000000,sequential,0,5,true,3.859130,0.334373,3.771865,3.443178,4.336105,1.303,1.0000,1.0000,0.0000,0.0866
ep_annihilation_con,5000000,local,1,5,true,4.009503,0.610988,4.232350,3.172844,4.682415,1.272,0.9597,0.9597,0.0218,0.1524
ep_annihilation_con,5000000,local,2,5,true,7.513494,0.120810,7.515034,7.387538,7.642440,0.666,0.5021,0.2511,0.6578,0.0161
ep_annihilation_con,5000000,local,4,5,true,9.881307,0.960363,10.482376,8.427415,10.574061,0.510,0.3848,0.0962,0.7135,0.0972
ep_annihilation_con,5000000,local,8,5,true,12.592289,0.801115,12.559183,11.632632,13.475765,0.398,0.3005,0.0376,0.8372,0.0636
