benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,22,tcp_localhost,1,0,true,5.255885,4194303,0.798,1,0.4836,0.4836,0.5164,0,318767103,153,4194303,0,0,0,0,0
dual_tree,22,tcp_localhost,1,1,true,3.082500,4194303,1.361,1,0.8246,0.8246,0.1754,0,318767103,153,4194303,0,0,0,0,0
dual_tree,22,tcp_localhost,1,2,true,4.557710,4194303,0.920,1,0.5577,0.5577,0.4423,0,318767103,153,4194303,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,1,0,true,5.969639,5000000,0.838,1,0.7498,0.7498,0.2502,0,410000069,153,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,1,1,true,6.665718,5000000,0.750,1,0.6715,0.6715,0.3285,0,410000069,153,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,1,2,true,7.268027,5000000,0.688,1,0.6158,0.6158,0.3842,0,410000069,153,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,2,0,true,11.818008,5000000,0.423,1,0.3787,0.1894,0.8106,0,410000138,306,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,2,1,true,13.156700,5000000,0.380,1,0.3402,0.1701,0.8299,0,410000138,306,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,2,2,true,13.743905,5000000,0.364,1,0.3257,0.1628,0.8372,0,410000138,306,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,4,0,true,13.060922,5000000,0.383,1,0.3427,0.0857,0.9143,0,410000276,612,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,4,1,true,12.066198,5000000,0.414,1,0.3709,0.0927,0.9073,0,410000276,612,5000000,0,0,0,0,0
ep_annihilation_con,5000000,tcp_localhost,4,2,true,12.268713,5000000,0.408,1,0.3648,0.0912,0.9088,0,410000276,612,5000000,0,0,0,0,0
