benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,22,1,tcp_localhost,0,0,0.000003,0.000000,0.170070,5.074597,0,0.000000,8388606,318767103,153
dual_tree,22,1,tcp_localhost,1,0,0.000003,0.000000,0.153130,2.917878,0,0.000000,8388606,318767103,153
dual_tree,22,1,tcp_localhost,2,0,0.000004,0.000000,0.215223,4.331584,0,0.000000,8388606,318767103,153
ep_annihilation_con,5000000,1,tcp_localhost,0,0,0.000002,0.000000,0.132077,5.776565,0,0.000000,10000000,410000069,153
ep_annihilation_con,5000000,1,tcp_localhost,1,0,0.000001,0.000000,0.220005,6.378913,0,0.000000,10000000,410000069,153
ep_annihilation_con,5000000,1,tcp_localhost,2,0,0.000002,0.000000,0.219055,6.975219,0,0.000000,10000000,410000069,153
ep_annihilation_con,5000000,2,tcp_localhost,0,0,6.919852,0.000000,0.155689,4.679845,0,0.000000,10000000,410000138,306
ep_annihilation_con,5000000,2,tcp_localhost,1,0,7.834776,0.000000,0.193960,5.075241,0,0.000000,10000000,410000138,306
ep_annihilation_con,5000000,2,tcp_localhost,2,0,7.622980,0.000000,0.273010,5.787189,0,0.000000,10000000,410000138,306
ep_annihilation_con,5000000,4,tcp_localhost,0,0,9.068785,0.000000,0.178189,3.749452,0,0.000000,10000000,410000276,612
ep_annihilation_con,5000000,4,tcp_localhost,1,0,8.408992,0.000000,0.185656,3.411054,0,0.000000,10000000,410000276,612
ep_annihilation_con,5000000,4,tcp_localhost,2,0,8.387985,0.000000,0.319702,3.499862,0,0.000000,10000000,410000276,612
