benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_dup,1000,sequential,0,10,true,0.000239,0.000014,0.000235,0.000227,0.000273,4.195,1.0000,1.0000,0.0000,0.0571
ep_annihilation_dup,1000,local,1,10,true,0.000222,0.000006,0.000223,0.000214,0.000233,4.506,1.0604,1.0604,0.0361,0.0262
ep_annihilation_dup,1000,local,2,10,true,0.000450,0.000035,0.000450,0.000397,0.000499,2.233,0.5255,0.2628,0.4963,0.0773
ep_annihilation_dup,1000,local,4,10,true,0.000536,0.000106,0.000509,0.000444,0.000818,1.914,0.4504,0.1126,0.5540,0.1969
ep_annihilation_dup,1000,local,8,10,true,0.000638,0.000036,0.000627,0.000596,0.000708,1.573,0.3701,0.0463,0.6221,0.0572
ep_annihilation_dup,10000,sequential,0,10,true,0.002070,0.000097,0.002054,0.001945,0.002215,4.840,1.0000,1.0000,0.0000,0.0471
ep_annihilation_dup,10000,local,1,10,true,0.002193,0.000181,0.002131,0.002045,0.002620,4.586,0.9421,0.9421,0.0412,0.0826
ep_annihilation_dup,10000,local,2,10,true,0.004228,0.000123,0.004185,0.004109,0.004450,2.367,0.4862,0.2431,0.5257,0.0290
ep_annihilation_dup,10000,local,4,10,true,0.004899,0.000330,0.004838,0.004542,0.005435,2.049,0.4210,0.1052,0.5940,0.0674
ep_annihilation_dup,10000,local,8,10,true,0.005851,0.000377,0.005679,0.005494,0.006470,1.715,0.3524,0.0440,0.6462,0.0644
ep_annihilation_dup,50000,sequential,0,10,true,0.010429,0.000753,0.010192,0.009959,0.012517,4.814,1.0000,1.0000,0.0000,0.0722
ep_annihilation_dup,50000,local,1,10,true,0.011732,0.000491,0.011591,0.011219,0.013035,4.268,0.8700,0.8700,0.0560,0.0419
ep_annihilation_dup,50000,local,2,10,true,0.028510,0.002594,0.028455,0.024624,0.032464,1.767,0.3602,0.1801,0.5773,0.0910
ep_annihilation_dup,50000,local,4,10,true,0.027026,0.002397,0.026537,0.024448,0.033158,1.862,0.3795,0.0949,0.6365,0.0887
ep_annihilation_dup,50000,local,8,10,true,0.032775,0.002267,0.032431,0.030747,0.038185,1.532,0.3122,0.0390,0.6863,0.0692
