benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
mixed_net,50,sequential,0,0,true,0.000070,300,4.298,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,1,true,0.000070,300,4.280,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,2,true,0.000064,300,4.717,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,3,true,0.000078,300,3.831,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,4,true,0.000073,300,4.087,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,5,true,0.000064,300,4.651,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,6,true,0.000061,300,4.959,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,7,true,0.000060,300,5.025,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,8,true,0.000060,300,4.975,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,sequential,0,9,true,0.000058,300,5.146,0,1.0000,1.0000,0.0000,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,0,true,0.000050,300,6.036,1,1.2887,1.2887,0.1247,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,1,true,0.000044,300,6.865,1,1.4657,1.4657,0.1327,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,2,true,0.000043,300,7.009,1,1.4965,1.4965,0.1402,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,3,true,0.000042,300,7.143,1,1.5250,1.5250,0.1286,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,4,true,0.000041,300,7.389,1,1.5776,1.5776,0.1330,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,5,true,0.000041,300,7.335,1,1.5660,1.5660,0.1271,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,6,true,0.000040,300,7.426,1,1.5854,1.5854,0.1337,0,0,0,50,50,50,50,50,50
mixed_net,50,local,1,7,true,0.000038,300,7.979,1,1.7035,1.7035,0.1277,0,0,0,50,50,50,50,50,50
