benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
mixed_net,50,sequential,0,10,true,0.000066,0.000007,0.000064,0.000058,0.000078,4.597,1.0000,1.0000,0.0000,0.1021
mixed_net,50,local,1,10,true,0.000041,0.000004,0.000041,0.000036,0.000050,7.372,1.5738,1.5738,0.1304,0.0976
mixed_net,50,local,2,10,true,0.002491,0.000166,0.002406,0.002376,0.002892,0.121,0.0258,0.0129,0.3841,0.0668
mixed_net,50,local,4,10,true,0.014675,0.001294,0.014102,0.013034,0.016788,0.021,0.0044,0.0011,0.2978,0.0881
mixed_net,50,local,8,10,true,0.068331,0.002969,0.068350,0.064575,0.072983,0.004,0.0009,0.0001,0.2907,0.0435
mixed_net,100,sequential,0,10,true,0.000058,0.000017,0.000053,0.000041,0.000086,11.098,1.0000,1.0000,0.0000,0.2949
mixed_net,100,local,1,10,true,0.000051,0.000007,0.000047,0.000046,0.000065,11.966,1.0481,1.0481,0.1079,0.1290
mixed_net,100,local,2,10,true,0.002948,0.000322,0.002864,0.002655,0.003750,0.205,0.0180,0.0090,0.3832,0.1093
mixed_net,100,local,4,10,true,0.014219,0.000942,0.013833,0.013393,0.016320,0.042,0.0037,0.0009,0.2889,0.0662
mixed_net,100,local,8,10,true,0.060915,0.004035,0.059920,0.055223,0.067689,0.010,0.0009,0.0001,0.2167,0.0662
mixed_net,1000,sequential,0,10,true,0.000820,0.000262,0.000650,0.000626,0.001248,7.915,1.0000,1.0000,0.0000,0.3199
mixed_net,1000,local,1,10,true,0.000738,0.000049,0.000722,0.000687,0.000830,8.166,0.8839,0.8839,0.1070,0.0663
mixed_net,1000,local,2,10,true,0.006024,0.000896,0.005589,0.005225,0.007705,1.014,0.1098,0.0549,0.4706,0.1488
mixed_net,1000,local,4,10,true,0.020819,0.004351,0.019744,0.018260,0.032873,0.296,0.0321,0.0080,0.3275,0.2090
mixed_net,1000,local,8,10,true,0.077550,0.003432,0.077195,0.072818,0.082503,0.078,0.0084,0.0010,0.2290,0.0443
