benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,6,sequential,0,10,true,0.000015,0.000002,0.000015,0.000012,0.000019,4.282,1.0000,1.0000,0.0000,0.1489
dual_tree,6,local,1,10,true,0.000013,0.000001,0.000013,0.000012,0.000014,4.922,1.2031,1.2031,0.0869,0.0516
dual_tree,6,local,2,10,true,0.000044,0.000001,0.000044,0.000043,0.000046,1.418,0.3465,0.1733,0.9490,0.0310
dual_tree,6,local,4,10,true,0.000056,0.000006,0.000054,0.000051,0.000072,1.138,0.2781,0.0695,0.9246,0.1082
dual_tree,6,local,8,10,true,0.000064,0.000002,0.000062,0.000061,0.000067,0.990,0.2421,0.0303,0.9013,0.0365
dual_tree,8,sequential,0,10,true,0.000050,0.000004,0.000051,0.000043,0.000056,5.083,1.0000,1.0000,0.0000,0.0826
dual_tree,8,local,1,10,true,0.000039,0.000002,0.000039,0.000036,0.000043,6.565,1.3002,1.3002,0.0404,0.0590
dual_tree,8,local,2,10,true,0.000136,0.000006,0.000136,0.000127,0.000143,1.874,0.3712,0.1856,0.9621,0.0421
dual_tree,8,local,4,10,true,0.000141,0.000009,0.000142,0.000121,0.000155,1.821,0.3606,0.0902,0.9540,0.0635
dual_tree,8,local,8,10,true,0.000140,0.000006,0.000141,0.000131,0.000149,1.820,0.3605,0.0451,0.9382,0.0460
dual_tree,10,sequential,0,10,true,0.000111,0.000007,0.000108,0.000104,0.000125,9.277,1.0000,1.0000,0.0000,0.0609
dual_tree,10,local,1,10,true,0.000124,0.000006,0.000122,0.000117,0.000140,8.277,0.8746,0.8746,0.0218,0.0504
dual_tree,10,local,2,10,true,0.000407,0.000021,0.000400,0.000393,0.000459,2.516,0.2659,0.1329,0.9683,0.0508
dual_tree,10,local,4,10,true,0.000424,0.000015,0.000420,0.000409,0.000460,2.417,0.2554,0.0638,0.9603,0.0352
dual_tree,10,local,8,10,true,0.000538,0.000017,0.000533,0.000516,0.000580,1.902,0.2009,0.0251,0.9558,0.0324
dual_tree,12,sequential,0,10,true,0.000497,0.000014,0.000498,0.000470,0.000515,8.238,1.0000,1.0000,0.0000,0.0278
dual_tree,12,local,1,10,true,0.000659,0.000319,0.000538,0.000500,0.001516,6.978,0.8479,0.8479,0.0297,0.4849
dual_tree,12,local,2,10,true,0.001862,0.000249,0.001769,0.001704,0.002524,2.228,0.2707,0.1354,0.9686,0.1340
dual_tree,12,local,4,10,true,0.001905,0.000152,0.001835,0.001806,0.002216,2.161,0.2626,0.0656,0.9633,0.0797
dual_tree,12,local,8,10,true,0.002373,0.000324,0.002175,0.002123,0.002971,1.752,0.2129,0.0266,0.9576,0.1367
dual_tree,14,sequential,0,10,true,0.002136,0.000073,0.002134,0.002054,0.002310,7.677,1.0000,1.0000,0.0000,0.0340
dual_tree,14,local,1,10,true,0.002150,0.000053,0.002140,0.002090,0.002222,7.626,0.9935,0.9935,0.0170,0.0245
dual_tree,14,local,2,10,true,0.007268,0.000282,0.007192,0.006964,0.007817,2.257,0.2940,0.1470,0.9712,0.0389
dual_tree,14,local,4,10,true,0.007708,0.000437,0.007602,0.007299,0.008607,2.131,0.2777,0.0694,0.9642,0.0566
dual_tree,14,local,8,10,true,0.009281,0.000794,0.008910,0.008549,0.010781,1.776,0.2314,0.0289,0.9551,0.0856
