benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
erasure_propagation,50,sequential,0,10,true,0.000006,0.000008,0.000003,0.000002,0.000029,14.871,1.0000,1.0000,0.0000,1.3446
erasure_propagation,50,local,1,10,true,0.000003,0.000000,0.000003,0.000003,0.000004,15.646,0.8136,0.8136,0.2218,0.0741
erasure_propagation,50,local,2,10,true,0.001201,0.000042,0.001191,0.001148,0.001272,0.042,0.0022,0.0011,0.9992,0.0353
erasure_propagation,50,local,4,10,true,0.004640,0.000461,0.004467,0.004296,0.005666,0.011,0.0006,0.0001,0.9995,0.0993
erasure_propagation,50,local,8,10,true,0.011266,0.001068,0.011121,0.010071,0.013835,0.004,0.0002,0.0000,0.9996,0.0948
erasure_propagation,500,sequential,0,10,true,0.000042,0.000004,0.000042,0.000034,0.000045,12.018,1.0000,1.0000,0.0000,0.0850
erasure_propagation,500,local,1,10,true,0.000046,0.000005,0.000045,0.000040,0.000056,11.053,0.9351,0.9351,0.0420,0.1139
erasure_propagation,500,local,2,10,true,0.001520,0.000131,0.001497,0.001355,0.001792,0.331,0.0280,0.0140,0.9976,0.0863
erasure_propagation,500,local,4,10,true,0.004636,0.000131,0.004575,0.004530,0.004916,0.108,0.0091,0.0023,0.9989,0.0282
erasure_propagation,500,local,8,10,true,0.012469,0.001268,0.012163,0.010814,0.014733,0.040,0.0034,0.0004,0.9993,0.1017
erasure_propagation,5000,sequential,0,10,true,0.000275,0.000029,0.000268,0.000247,0.000342,18.334,1.0000,1.0000,0.0000,0.1056
erasure_propagation,5000,local,1,10,true,0.000325,0.000077,0.000298,0.000275,0.000539,15.926,0.8522,0.8522,0.0432,0.2378
erasure_propagation,5000,local,2,10,true,0.002851,0.000723,0.002439,0.002291,0.004133,1.843,0.0986,0.0493,0.9897,0.2537
erasure_propagation,5000,local,4,10,true,0.005840,0.001082,0.005343,0.005236,0.008500,0.877,0.0469,0.0117,0.9941,0.1853
erasure_propagation,5000,local,8,10,true,0.011632,0.002312,0.010968,0.010418,0.018131,0.441,0.0236,0.0029,0.9947,0.1988
