benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
church_add,5,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,8.067,1.0000,1.0000,0.0000,0.3293
church_add,5,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,3.825,0.4463,0.4463,0.6450,0.0981
church_add,5,local,2,10,true,0.000015,0.000001,0.000015,0.000014,0.000017,0.395,0.0461,0.0230,0.9089,0.0561
church_add,5,local,4,10,true,0.000031,0.000002,0.000031,0.000029,0.000034,0.195,0.0227,0.0057,0.8364,0.0707
church_add,5,local,8,10,true,0.000043,0.000007,0.000040,0.000038,0.000055,0.142,0.0165,0.0021,0.8351,0.1537
church_add,10,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.929,1.0000,1.0000,0.0000,0.1160
church_add,10,local,1,10,true,0.000001,0.000000,0.000002,0.000001,0.000002,4.119,0.4805,0.4805,0.6568,0.0479
church_add,10,local,2,10,true,0.000022,0.000001,0.000022,0.000022,0.000024,0.268,0.0312,0.0156,0.8731,0.0421
church_add,10,local,4,10,true,0.000033,0.000003,0.000032,0.000030,0.000038,0.186,0.0217,0.0054,0.8539,0.0995
church_add,10,local,8,10,true,0.000042,0.000004,0.000041,0.000038,0.000053,0.144,0.0168,0.0021,0.8137,0.1038
church_add,20,sequential,0,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,9.771,1.0000,1.0000,0.0000,0.1020
church_add,20,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,4.356,0.4356,0.4356,0.6595,0.0458
church_add,20,local,2,10,true,0.000023,0.000001,0.000023,0.000022,0.000025,0.261,0.0261,0.0130,0.8858,0.0410
church_add,20,local,4,10,true,0.000033,0.000001,0.000033,0.000030,0.000034,0.183,0.0183,0.0046,0.8552,0.0370
church_add,20,local,8,10,true,0.000048,0.000002,0.000047,0.000045,0.000050,0.126,0.0126,0.0016,0.8380,0.0328
church_add,50,sequential,0,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,11.000,1.0000,1.0000,0.0000,0.0958
church_add,50,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,4.904,0.4495,0.4495,0.6911,0.0771
church_add,50,local,2,10,true,0.000028,0.000001,0.000028,0.000027,0.000030,0.214,0.0196,0.0098,0.9038,0.0396
church_add,50,local,4,10,true,0.000048,0.000002,0.000048,0.000044,0.000052,0.125,0.0114,0.0029,0.8604,0.0497
church_add,50,local,8,10,true,0.000059,0.000004,0.000058,0.000055,0.000066,0.103,0.0094,0.0012,0.8448,0.0644
church_mul,5,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,9.820,1.0000,1.0000,0.0000,0.4363
church_mul,5,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,6.457,0.5995,0.5995,0.4389,0.0803
church_mul,5,local,2,10,true,0.001183,0.000011,0.001180,0.001172,0.001207,0.006,0.0005,0.0003,0.9988,0.0092
church_mul,5,local,4,10,true,0.004351,0.000163,0.004282,0.004128,0.004712,0.002,0.0001,0.0000,0.9996,0.0375
church_mul,5,local,8,10,true,0.011983,0.002068,0.010941,0.010336,0.015897,0.001,0.0001,0.0000,0.9997,0.1726
church_mul,10,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,9.748,1.0000,1.0000,0.0000,0.4627
church_mul,10,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,7.038,0.6647,0.6647,0.3987,0.0329
church_mul,10,local,2,10,true,0.001321,0.000043,0.001326,0.001269,0.001415,0.007,0.0006,0.0003,0.9989,0.0327
church_mul,10,local,4,10,true,0.004546,0.000181,0.004502,0.004381,0.004940,0.002,0.0002,0.0000,0.9994,0.0398
church_mul,10,local,8,10,true,0.010990,0.000369,0.010942,0.010450,0.011820,0.001,0.0001,0.0000,0.9996,0.0336
church_mul,20,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,10.193,1.0000,1.0000,0.0000,0.3605
church_mul,20,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,7.889,0.7172,0.7172,0.3766,0.0673
church_mul,20,local,2,10,true,0.001406,0.000119,0.001361,0.001310,0.001652,0.008,0.0007,0.0004,0.9988,0.0846
church_mul,20,local,4,10,true,0.004703,0.000223,0.004685,0.004377,0.005053,0.002,0.0002,0.0001,0.9992,0.0473
church_mul,20,local,8,10,true,0.010783,0.000369,0.010719,0.010304,0.011445,0.001,0.0001,0.0000,0.9995,0.0342
church_mul,50,sequential,0,10,true,0.000002,0.000000,0.000001,0.000001,0.000003,11.744,1.0000,1.0000,0.0000,0.2646
church_mul,50,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,9.857,0.7538,0.7538,0.3340,0.0612
church_mul,50,local,2,10,true,0.001391,0.000102,0.001345,0.001305,0.001607,0.012,0.0009,0.0005,0.9987,0.0730
church_mul,50,local,4,10,true,0.004471,0.000106,0.004432,0.004371,0.004718,0.004,0.0003,0.0001,0.9993,0.0236
church_mul,50,local,8,10,true,0.011282,0.001167,0.010799,0.010348,0.013537,0.002,0.0001,0.0000,0.9995,0.1034
