benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
tree_sum,16,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,8.007,1.0000,1.0000,0.0000,0.3183
tree_sum,16,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,3.531,0.4119,0.4119,0.6770,0.1567
tree_sum,16,local,2,10,true,0.000036,0.000002,0.000036,0.000034,0.000040,0.166,0.0194,0.0097,0.8525,0.0482
tree_sum,16,local,4,10,true,0.000051,0.000006,0.000049,0.000044,0.000066,0.119,0.0138,0.0035,0.8352,0.1262
tree_sum,16,local,8,10,true,0.000059,0.000003,0.000059,0.000055,0.000065,0.101,0.0118,0.0015,0.8135,0.0520
tree_sum,64,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.643,1.0000,1.0000,0.0000,0.0952
tree_sum,64,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,3.737,0.4360,0.4360,0.6894,0.0544
tree_sum,64,local,2,10,true,0.000077,0.000004,0.000077,0.000069,0.000082,0.079,0.0092,0.0046,0.8455,0.0537
tree_sum,64,local,4,10,true,0.000078,0.000003,0.000078,0.000074,0.000084,0.077,0.0090,0.0022,0.8539,0.0400
tree_sum,64,local,8,10,true,0.000083,0.000004,0.000084,0.000078,0.000089,0.072,0.0084,0.0011,0.8461,0.0469
tree_sum,256,sequential,0,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,11.945,1.0000,1.0000,0.0000,0.3857
tree_sum,256,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,4.302,0.3585,0.3585,0.7634,0.0673
tree_sum,256,local,2,10,true,0.000156,0.000004,0.000156,0.000150,0.000165,0.038,0.0032,0.0016,0.8544,0.0280
tree_sum,256,local,4,10,true,0.000189,0.000042,0.000168,0.000162,0.000284,0.033,0.0027,0.0007,0.8615,0.2195
tree_sum,256,local,8,10,true,0.000289,0.000039,0.000293,0.000232,0.000352,0.021,0.0018,0.0002,0.8735,0.1348
