benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
tree_sum_balanced,16,sequential,0,0,true,0.000002,6,4.000,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,1,true,0.000001,6,6.667,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,2,true,0.000001,6,7.500,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,3,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,4,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,5,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,6,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,7,true,0.000001,6,7.500,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,8,true,0.000001,6,8.571,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,sequential,0,9,true,0.000001,6,7.500,0,1.0000,1.0000,0.0000,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,0,true,0.000002,6,3.333,1,0.4167,0.4167,0.7222,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,1,true,0.000002,6,3.529,1,0.4412,0.4412,0.7059,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,2,true,0.000001,6,4.286,1,0.5357,0.5357,0.5714,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,3,true,0.000002,6,4.000,1,0.5000,0.5000,0.6667,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,4,true,0.000002,6,3.750,1,0.4688,0.4688,0.6250,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,5,true,0.000001,6,4.286,1,0.5357,0.5357,0.5714,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,6,true,0.000002,6,3.529,1,0.4412,0.4412,0.7059,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,7,true,0.000002,6,3.529,1,0.4412,0.4412,0.6471,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,8,true,0.000002,6,3.750,1,0.4688,0.4688,0.6250,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,1,9,true,0.000002,6,4.000,1,0.5000,0.5000,0.6667,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,0,true,0.000038,6,0.157,1,0.0196,0.0098,0.8329,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,1,true,0.000038,6,0.157,1,0.0196,0.0098,0.8482,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,2,true,0.000038,6,0.158,1,0.0198,0.0099,0.8443,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,3,true,0.000035,6,0.173,1,0.0217,0.0108,0.8526,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,4,true,0.000034,6,0.177,1,0.0221,0.0111,0.8555,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,5,true,0.000038,6,0.159,1,0.0199,0.0099,0.8488,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,6,true,0.000036,6,0.166,1,0.0207,0.0104,0.8398,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,7,true,0.000035,6,0.172,1,0.0216,0.0108,0.8563,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,8,true,0.000037,6,0.162,1,0.0203,0.0101,0.8595,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,2,9,true,0.000037,6,0.161,1,0.0202,0.0101,0.8602,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,0,true,0.000052,6,0.116,1,0.0145,0.0036,0.8359,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,1,true,0.000049,6,0.122,1,0.0152,0.0038,0.8089,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,2,true,0.000047,6,0.127,1,0.0159,0.0040,0.8280,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,3,true,0.000048,6,0.124,1,0.0155,0.0039,0.8240,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,4,true,0.000047,6,0.129,1,0.0161,0.0040,0.8348,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,5,true,0.000047,6,0.128,1,0.0161,0.0040,0.8351,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,6,true,0.000047,6,0.127,1,0.0159,0.0040,0.8386,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,7,true,0.000046,6,0.131,1,0.0164,0.0041,0.8403,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,8,true,0.000044,6,0.137,1,0.0172,0.0043,0.8352,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,4,9,true,0.000048,6,0.126,1,0.0158,0.0039,0.8379,0,0,0,6,0,0,0,0,0
tree_sum_balanced,16,local,8,0,true,0.000059,6,0.102,1,0.0128,0.0016,0.8208,0,0,0,6,0,0,0,0,0
