benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,18,sequential,0,0,true,0.041933,262143,6.251,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,1,true,0.043905,262143,5.971,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,2,true,0.043562,262143,6.018,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,3,true,0.046424,262143,5.647,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,4,true,0.047254,262143,5.548,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,5,true,0.043863,262143,5.976,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,6,true,0.044940,262143,5.833,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,7,true,0.047992,262143,5.462,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,8,true,0.056491,262143,4.640,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,sequential,0,9,true,0.052322,262143,5.010,0,1.0000,1.0000,0.0000,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,0,true,0.052474,262143,4.996,1,0.8706,0.8706,0.0143,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,1,true,0.046387,262143,5.651,1,0.9848,0.9848,0.0164,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,2,true,0.046850,262143,5.595,1,0.9751,0.9751,0.0152,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,3,true,0.049373,262143,5.309,1,0.9252,0.9252,0.0147,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,4,true,0.052968,262143,4.949,1,0.8624,0.8624,0.0134,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,5,true,0.044862,262143,5.843,1,1.0183,1.0183,0.0163,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,6,true,0.045723,262143,5.733,1,0.9991,0.9991,0.0160,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,7,true,0.046757,262143,5.607,1,0.9770,0.9770,0.0146,0,0,0,262143,0,0,0,0,0
dual_tree,18,local,1,8,true,0.048095,262143,5.450,1,0.9498,0.9498,0.0161,0,0,0,262143,0,0,0,0,0
