benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
dual_tree,18,1,local,0,0,0.000000,0.051724,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,1,0,0.000000,0.045628,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,2,0,0.000000,0.046138,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,3,0,0.000000,0.048645,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,4,0,0.000000,0.052260,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,5,0,0.000000,0.044133,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,6,0,0.000000,0.044994,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,7,0,0.000000,0.046075,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,8,0,0.000000,0.047320,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,1,local,9,0,0.000000,0.046943,0.000000,0.000000,0,0.000000,524286,0,0
dual_tree,18,2,local,0,0,0.129429,0.003479,0.015509,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,1,0,0.135173,0.003626,0.017054,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,2,0,0.125528,0.003997,0.017064,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,3,0,0.131739,0.003464,0.013528,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,4,0,0.121290,0.004033,0.014756,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,5,0,0.118637,0.004382,0.018225,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,6,0,0.130931,0.003636,0.013325,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,7,0,0.120413,0.004033,0.013614,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,8,0,0.125670,0.003179,0.013358,0.000000,1,1.000000,524286,0,0
dual_tree,18,2,local,9,0,0.132483,0.004704,0.019696,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,0,0,0.115833,0.003908,0.015093,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,1,0,0.105733,0.004075,0.014763,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,2,0,0.106510,0.004510,0.017700,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,3,0,0.167506,0.006542,0.025517,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,4,0,0.251414,0.006606,0.030011,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,5,0,0.223006,0.010344,0.030513,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,6,0,0.195584,0.005976,0.028163,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,7,0,0.128658,0.004898,0.019319,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,8,0,0.142505,0.005417,0.021084,0.000000,1,1.000000,524286,0,0
dual_tree,18,4,local,9,0,0.146531,0.005139,0.020570,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,0,0,0.114070,0.006208,0.023607,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,1,0,0.115620,0.007827,0.021993,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,2,0,0.120352,0.007193,0.021829,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,3,0,0.124681,0.007605,0.023105,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,4,0,0.129417,0.006898,0.021924,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,5,0,0.120373,0.007836,0.021413,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,6,0,0.121273,0.007850,0.023080,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,7,0,0.122009,0.007198,0.022381,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,8,0,0.117417,0.006444,0.023289,0.000000,1,1.000000,524286,0,0
dual_tree,18,8,local,9,0,0.126031,0.007174,0.022952,0.000000,1,1.000000,524286,0,0
dual_tree,20,1,local,0,0,0.000000,0.252875,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,1,0,0.000000,0.250709,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,2,0,0.000000,0.260546,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,3,0,0.000000,0.256368,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,4,0,0.000000,0.244216,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,5,0,0.000000,0.314209,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,6,0,0.000000,0.230285,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,7,0,0.000000,0.230218,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,8,0,0.000000,0.236748,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,1,local,9,0,0.000000,0.248992,0.000000,0.000000,0,0.000000,2097150,0,0
dual_tree,20,2,local,0,0,0.877022,0.013903,0.053599,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,1,0,0.910936,0.016645,0.051829,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,2,0,0.934516,0.017852,0.058091,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,3,0,0.907164,0.018047,0.053058,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,4,0,0.862421,0.012572,0.053529,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,5,0,0.938472,0.015542,0.056289,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,6,0,0.927962,0.016430,0.053671,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,7,0,0.947112,0.016050,0.055601,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,8,0,0.991995,0.014332,0.055223,0.000000,1,1.000000,2097150,0,0
dual_tree,20,2,local,9,0,1.034795,0.018975,0.054167,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,0,0,0.890392,0.021136,0.062501,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,1,0,0.970514,0.025551,0.066608,0.000000,1,1.000000,2097150,0,0
dual_tree,20,4,local,2,0,0.906568,0.024978,0.065257,0.000000,1,1.000000,2097150,0,0
