benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,18,sequential,0,10,true,0.046869,0.004482,0.045682,0.041933,0.056491,5.636,1.0000,1.0000,0.0000,0.0956
dual_tree,18,local,1,10,true,0.048113,0.002730,0.047246,0.044862,0.052968,5.464,0.9521,0.9521,0.0152,0.0567
dual_tree,18,local,2,10,true,0.193992,0.007272,0.193165,0.184068,0.204487,1.353,0.2358,0.1179,0.9801,0.0375
dual_tree,18,local,4,10,true,0.250490,0.073305,0.227867,0.165885,0.373172,1.125,0.1961,0.0490,0.9770,0.2926
dual_tree,18,local,8,10,true,0.203607,0.006940,0.203157,0.193444,0.214779,1.289,0.2246,0.0281,0.9645,0.0341
dual_tree,20,sequential,0,10,true,0.256048,0.031963,0.246807,0.227355,0.342918,4.142,1.0000,1.0000,0.0000,0.1248
dual_tree,20,local,1,10,true,0.255895,0.024262,0.252963,0.233539,0.318188,4.127,0.9713,0.9713,0.0132,0.0948
dual_tree,20,local,2,10,true,1.215517,0.061811,1.215055,1.135514,1.350988,0.865,0.2035,0.1018,0.9868,0.0509
dual_tree,20,local,4,10,true,1.229548,0.029105,1.223599,1.193666,1.290267,0.853,0.2008,0.0502,0.9825,0.0237
dual_tree,20,local,8,10,true,1.187135,0.081300,1.143541,1.111169,1.328379,0.887,0.2087,0.0261,0.9763,0.0685
dual_tree,22,sequential,0,10,true,1.380073,0.139331,1.330795,1.228962,1.606379,3.066,1.0000,1.0000,0.0000,0.1010
dual_tree,22,local,1,10,true,1.383221,0.108204,1.366849,1.226451,1.558964,3.049,0.9674,0.9674,0.0103,0.0782
dual_tree,22,local,2,10,true,6.641603,0.074793,6.655809,6.497241,6.749097,0.632,0.2004,0.1002,0.9922,0.0113
dual_tree,22,local,4,10,true,6.620619,0.064059,6.637251,6.508136,6.712865,0.634,0.2010,0.0503,0.9895,0.0097
dual_tree,22,local,8,10,true,6.610882,0.088906,6.606728,6.487876,6.761189,0.635,0.2013,0.0252,0.9845,0.0134
