benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
ep_annihilation_con,500000,1,local,0,0,0.000000,0.183050,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,1,0,0.000000,0.184710,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,2,0,0.000000,0.174167,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,3,0,0.000000,0.172354,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,4,0,0.000000,0.175851,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,5,0,0.000000,0.171517,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,6,0,0.000000,0.202826,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,7,0,0.000000,0.185273,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,8,0,0.000000,0.179959,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,1,local,9,0,0.000000,0.174984,0.000000,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,0,0,0.350552,0.157035,0.017467,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,1,0,0.386226,0.173269,0.014278,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,2,0,0.382017,0.154913,0.015540,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,3,0,0.392233,0.155396,0.014543,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,4,0,0.385508,0.160584,0.014721,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,5,0,0.409992,0.166578,0.015410,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,6,0,0.385640,0.160343,0.014551,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,7,0,0.394862,0.163898,0.014534,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,8,0,0.330854,0.152396,0.014627,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,2,local,9,0,0.361517,0.159224,0.013851,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,0,0,0.444213,0.166508,0.018407,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,1,0,0.417541,0.145753,0.017231,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,2,0,0.498705,0.153548,0.017367,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,3,0,0.444625,0.147615,0.017710,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,4,0,0.412421,0.156120,0.015931,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,5,0,0.458675,0.149864,0.017423,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,6,0,0.461903,0.147175,0.017187,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,7,0,0.430429,0.154853,0.017170,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,8,0,0.409114,0.154748,0.019993,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,4,local,9,0,0.444397,0.162872,0.017067,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,0,0,0.609813,0.160851,0.022084,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,1,0,0.576205,0.159570,0.022262,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,2,0,0.605746,0.159446,0.024715,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,3,0,0.578372,0.155604,0.026979,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,4,0,0.601683,0.175528,0.025170,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,5,0,0.615477,0.148811,0.024349,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,6,0,0.573819,0.162222,0.023585,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,7,0,0.578799,0.170455,0.024139,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,8,0,0.566452,0.156494,0.022891,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,500000,8,local,9,0,0.552543,0.160301,0.024526,0.000000,0,0.000000,1000000,0,0
ep_annihilation_con,1000000,1,local,0,0,0.000000,0.410923,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,1,0,0.000000,0.385121,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,2,0,0.000000,0.382139,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,3,0,0.000000,0.376381,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,4,0,0.000000,0.391399,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,5,0,0.000000,0.366363,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,6,0,0.000000,0.403359,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,7,0,0.000000,0.405852,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,8,0,0.000000,0.396849,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,1,local,9,0,0.000000,0.387550,0.000000,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,0,0,0.927270,0.361891,0.030102,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,1,0,0.974565,0.360214,0.030491,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,2,0,0.963362,0.355518,0.027120,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,3,0,1.002692,0.350209,0.028781,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,4,0,0.983701,0.339405,0.027150,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,5,0,1.028930,0.336168,0.027603,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,6,0,0.939426,0.355250,0.031007,0.000000,0,0.000000,2000000,0,0
ep_annihilation_con,1000000,2,local,7,0,0.958551,0.358655,0.033563,0.000000,0,0.000000,2000000,0,0
