benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,500000,sequential,0,0,true,0.304194,500000,1.644,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,1,true,0.281074,500000,1.779,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,2,true,0.230671,500000,2.168,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,3,true,0.284534,500000,1.757,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,4,true,0.364010,500000,1.374,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,5,true,0.217834,500000,2.295,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,6,true,0.177173,500000,2.822,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,7,true,0.178203,500000,2.806,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,8,true,0.185838,500000,2.691,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,500000,sequential,0,9,true,0.180108,500000,2.776,0,1.0000,1.0000,0.0000,0,0,0,500000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,0,true,0.424968,1000000,2.353,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,1,true,0.387542,1000000,2.580,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,2,true,0.374789,1000000,2.668,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,3,true,0.387376,1000000,2.581,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,4,true,0.399865,1000000,2.501,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,5,true,0.388325,1000000,2.575,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,6,true,0.379629,1000000,2.634,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,7,true,0.394044,1000000,2.538,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,8,true,0.395520,1000000,2.528,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,1000000,sequential,0,9,true,0.402829,1000000,2.482,0,1.0000,1.0000,0.0000,0,0,0,1000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,0,true,2.926292,5000000,1.709,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,1,true,2.837093,5000000,1.762,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,2,true,2.875137,5000000,1.739,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,3,true,2.868928,5000000,1.743,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,4,true,2.975298,5000000,1.681,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,5,true,2.900757,5000000,1.724,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,6,true,2.943278,5000000,1.699,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,7,true,2.705561,5000000,1.848,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,8,true,3.014640,5000000,1.659,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
ep_annihilation_con,5000000,sequential,0,9,true,2.955526,5000000,1.692,0,1.0000,1.0000,0.0000,0,0,0,5000000,0,0,0,0,0
