benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,23,sequential,0,0,true,1.557812,8388607,5.385,0,1.0000,1.0000,0.0000,0,0,0,8388607,0,0,0,0,0
dual_tree,23,sequential,0,1,true,1.552339,8388607,5.404,0,1.0000,1.0000,0.0000,0,0,0,8388607,0,0,0,0,0
dual_tree,23,sequential,0,2,true,1.551818,8388607,5.406,0,1.0000,1.0000,0.0000,0,0,0,8388607,0,0,0,0,0
dual_tree,23,sequential,0,3,true,1.556404,8388607,5.390,0,1.0000,1.0000,0.0000,0,0,0,8388607,0,0,0,0,0
dual_tree,23,sequential,0,4,true,1.544566,8388607,5.431,0,1.0000,1.0000,0.0000,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,1,0,true,1.581398,8388607,5.305,1,0.9816,0.9816,0.0113,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,1,1,true,1.568803,8388607,5.347,1,0.9895,0.9895,0.0103,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,1,2,true,1.558912,8388607,5.381,1,0.9958,0.9958,0.0111,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,1,3,true,1.570262,8388607,5.342,1,0.9886,0.9886,0.0115,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,1,4,true,1.621758,8388607,5.173,1,0.9572,0.9572,0.0113,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,2,0,true,7.058392,8388607,1.188,1,0.2199,0.1100,0.9894,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,2,1,true,6.959866,8388607,1.205,1,0.2230,0.1115,0.9889,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,2,2,true,6.987977,8388607,1.200,1,0.2221,0.1111,0.9896,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,2,3,true,7.039074,8388607,1.192,1,0.2205,0.1103,0.9886,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,2,4,true,7.058874,8388607,1.188,1,0.2199,0.1100,0.9886,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,4,0,true,7.115234,8388607,1.179,1,0.2182,0.0545,0.9858,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,4,1,true,7.228786,8388607,1.160,1,0.2147,0.0537,0.9853,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,4,2,true,7.082884,8388607,1.184,1,0.2192,0.0548,0.9856,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,4,3,true,7.080646,8388607,1.185,1,0.2192,0.0548,0.9853,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,4,4,true,7.190156,8388607,1.167,1,0.2159,0.0540,0.9848,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,8,0,true,7.345915,8388607,1.142,1,0.2113,0.0264,0.9776,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,8,1,true,7.317921,8388607,1.146,1,0.2121,0.0265,0.9801,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,8,2,true,7.297779,8388607,1.149,1,0.2127,0.0266,0.9802,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,8,3,true,7.280097,8388607,1.152,1,0.2132,0.0267,0.9804,0,0,0,8388607,0,0,0,0,0
dual_tree,23,local,8,4,true,7.290260,8388607,1.151,1,0.2129,0.0266,0.9787,0,0,0,8388607,0,0,0,0,0
dual_tree,24,sequential,0,0,true,3.522050,16777215,4.763,0,1.0000,1.0000,0.0000,0,0,0,16777215,0,0,0,0,0
dual_tree,24,sequential,0,1,true,3.497588,16777215,4.797,0,1.0000,1.0000,0.0000,0,0,0,16777215,0,0,0,0,0
dual_tree,24,sequential,0,2,true,3.518022,16777215,4.769,0,1.0000,1.0000,0.0000,0,0,0,16777215,0,0,0,0,0
dual_tree,24,sequential,0,3,true,3.521196,16777215,4.765,0,1.0000,1.0000,0.0000,0,0,0,16777215,0,0,0,0,0
dual_tree,24,sequential,0,4,true,3.577873,16777215,4.689,0,1.0000,1.0000,0.0000,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,1,0,true,3.479870,16777215,4.821,1,1.0119,1.0119,0.0088,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,1,1,true,3.496190,16777215,4.799,1,1.0072,1.0072,0.0098,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,1,2,true,3.473897,16777215,4.830,1,1.0136,1.0136,0.0099,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,1,3,true,3.501356,16777215,4.792,1,1.0057,1.0057,0.0091,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,1,4,true,3.787163,16777215,4.430,1,0.9298,0.9298,0.0091,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,2,0,true,14.813821,16777215,1.133,1,0.2377,0.1188,0.9897,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,2,1,true,14.879826,16777215,1.128,1,0.2366,0.1183,0.9903,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,2,2,true,14.711226,16777215,1.140,1,0.2394,0.1197,0.9898,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,2,3,true,14.750279,16777215,1.137,1,0.2387,0.1194,0.9901,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,2,4,true,14.738723,16777215,1.138,1,0.2389,0.1195,0.9899,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,4,0,true,15.013605,16777215,1.117,1,0.2345,0.0586,0.9858,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,4,1,true,14.919779,16777215,1.124,1,0.2360,0.0590,0.9874,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,4,2,true,14.848551,16777215,1.130,1,0.2371,0.0593,0.9869,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,4,3,true,14.958510,16777215,1.122,1,0.2354,0.0588,0.9864,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,4,4,true,14.934578,16777215,1.123,1,0.2358,0.0589,0.9873,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,8,0,true,15.438611,16777215,1.087,1,0.2281,0.0285,0.9797,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,8,1,true,15.419408,16777215,1.088,1,0.2284,0.0285,0.9784,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,8,2,true,15.394412,16777215,1.090,1,0.2287,0.0286,0.9798,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,8,3,true,15.703717,16777215,1.068,1,0.2242,0.0280,0.9807,0,0,0,16777215,0,0,0,0,0
dual_tree,24,local,8,4,true,15.295363,16777215,1.097,1,0.2302,0.0288,0.9794,0,0,0,16777215,0,0,0,0,0
dual_tree,25,sequential,0,0,true,7.440380,33554431,4.510,0,1.0000,1.0000,0.0000,0,0,0,33554431,0,0,0,0,0
dual_tree,25,sequential,0,1,true,7.402835,33554431,4.533,0,1.0000,1.0000,0.0000,0,0,0,33554431,0,0,0,0,0
dual_tree,25,sequential,0,2,true,7.515008,33554431,4.465,0,1.0000,1.0000,0.0000,0,0,0,33554431,0,0,0,0,0
dual_tree,25,sequential,0,3,true,7.436111,33554431,4.512,0,1.0000,1.0000,0.0000,0,0,0,33554431,0,0,0,0,0
dual_tree,25,sequential,0,4,true,7.492264,33554431,4.479,0,1.0000,1.0000,0.0000,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,1,0,true,7.491522,33554431,4.479,1,0.9932,0.9932,0.0087,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,1,1,true,7.471450,33554431,4.491,1,0.9958,0.9958,0.0103,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,1,2,true,7.426657,33554431,4.518,1,1.0018,1.0018,0.0085,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,1,3,true,7.517881,33554431,4.463,1,0.9897,0.9897,0.0094,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,1,4,true,7.567821,33554431,4.434,1,0.9832,0.9832,0.0102,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,2,0,true,31.123843,33554431,1.078,1,0.2391,0.1195,0.9904,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,2,1,true,30.960974,33554431,1.084,1,0.2403,0.1202,0.9895,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,2,2,true,30.955327,33554431,1.084,1,0.2404,0.1202,0.9905,0,0,0,33554431,0,0,0,0,0
dual_tree,25,local,2,3,true,30.993705,33554431,1.083,1,0.2401,0.1200,0.9898,0,0,0,33554431,0,0,0,0,0
