benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,10000000,sequential,0,5,true,3.471363,0.026306,3.466455,3.436114,3.504597,2.881,1.0000,1.0000,0.0000,0.0076
ep_annihilation_con,10000000,local,1,5,true,3.545178,0.022647,3.543368,3.521085,3.579997,2.821,0.9778,0.9778,0.0268,0.0064
ep_annihilation_con,10000000,local,2,5,true,9.652588,0.029711,9.642316,9.623717,9.687795,1.036,0.3591,0.1796,0.6696,0.0031
ep_annihilation_con,10000000,local,4,5,true,10.692936,0.024240,10.680804,10.672233,10.725133,0.935,0.3242,0.0810,0.7435,0.0023
ep_annihilation_con,10000000,local,8,5,true,13.312143,0.076177,13.272874,13.248415,13.419514,0.751,0.2604,0.0326,0.8244,0.0057
ep_annihilation_con,20000000,sequential,0,5,true,7.397438,0.103619,7.371363,7.295478,7.571588,2.704,1.0000,1.0000,0.0000,0.0140
ep_annihilation_con,20000000,local,1,5,true,7.612103,0.034181,7.624265,7.568608,7.643226,2.627,0.9684,0.9684,0.0241,0.0045
ep_annihilation_con,20000000,local,2,5,true,20.631273,0.080395,20.671323,20.540433,20.711239,0.969,0.3573,0.1786,0.6586,0.0039
ep_annihilation_con,20000000,local,4,5,true,23.237179,0.122166,23.174598,23.113855,23.386010,0.861,0.3172,0.0793,0.7227,0.0053
ep_annihilation_con,20000000,local,8,5,true,28.689551,0.043819,28.673831,28.637184,28.739221,0.697,0.2569,0.0321,0.8029,0.0015
ep_annihilation_con,50000000,sequential,0,5,true,20.379499,0.210083,20.445494,20.096031,20.648312,2.454,1.0000,1.0000,0.0000,0.0103
ep_annihilation_con,50000000,local,1,5,true,20.685340,0.247071,20.755926,20.416198,20.948836,2.417,0.9885,0.9885,0.0197,0.0119
ep_annihilation_con,50000000,local,2,5,true,54.724808,0.510917,54.493008,54.391021,55.620931,0.914,0.3736,0.1868,0.6555,0.0093
ep_annihilation_con,50000000,local,4,5,true,60.747109,0.490351,60.474144,60.382251,61.513714,0.823,0.3366,0.0841,0.7155,0.0081
ep_annihilation_con,50000000,local,8,5,true,76.520668,1.059821,76.006685,75.834537,78.354089,0.654,0.2672,0.0334,0.7888,0.0139
