demo,input,expected,workers,arm,rc,wall_secs,interactions,value,value_ok,g1_match
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,1,in-process,0,0.00,0,42,true,NA
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,1,docker,0,0.00,0,42,true,true
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,2,in-process,0,0.00,0,42,true,NA
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,2,docker,0,0.00,0,42,true,true
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,4,in-process,0,0.00,0,42,true,NA
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,4,docker,0,0.00,0,42,true,true
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,8,in-process,0,0.00,0,42,true,NA
Demo01_const_baseline,"{"coeffs":[42],"x":99}",42,8,docker,0,0.00,0,42,true,true
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,1,in-process,0,0.00,11,6,true,NA
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,1,docker,0,0.00,11,6,true,true
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,2,in-process,0,0.00,11,6,true,NA
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,2,docker,0,0.00,11,6,true,true
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,4,in-process,0,0.00,11,6,true,NA
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,4,docker,0,0.00,11,6,true,true
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,8,in-process,0,0.00,11,6,true,NA
Demo02_lin_baseline,"{"coeffs":[1,1],"x":5}",6,8,docker,0,0.00,11,6,true,true
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,1,in-process,0,0.00,11,150,true,NA
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,1,docker,0,0.00,11,150,true,true
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,2,in-process,0,0.00,11,150,true,NA
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,2,docker,0,0.00,11,150,true,true
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,4,in-process,0,0.00,11,150,true,NA
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,4,docker,0,0.00,11,150,true,true
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,8,in-process,0,0.00,11,150,true,NA
Demo03_lin_mid_scale,"{"coeffs":[100,1],"x":50}",150,8,docker,0,0.00,11,150,true,true
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,1,in-process,0,0.00,11,10042,true,NA
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,1,docker,0,0.00,11,10042,true,true
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,2,in-process,0,0.00,11,10042,true,NA
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,2,docker,0,0.00,11,10042,true,true
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,4,in-process,0,0.00,11,10042,true,NA
Demo04_lin_max_x,"{"coeffs":[42,1],"x":10000}",10042,4,docker,0,0.00,11,10042,true,true
