benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
church_add,10,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000002,19.353,1.0000,1.0000,0.0000,1.0403
church_add,10,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.845,0.4423,0.4423,0.7052,0.1441
church_add,10,local,2,10,true,0.000011,0.000000,0.000010,0.000010,0.000011,0.570,0.0285,0.0142,0.8702,0.0467
church_add,10,local,4,10,true,0.000015,0.000001,0.000014,0.000013,0.000017,0.410,0.0205,0.0051,0.8504,0.0663
church_add,10,local,8,10,true,0.000020,0.000001,0.000020,0.000020,0.000022,0.294,0.0147,0.0018,0.8248,0.0341
church_add,50,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,19.500,1.0000,1.0000,0.0000,0.1020
church_add,50,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,8.500,0.4250,0.4250,0.6899,0.0800
church_add,50,local,2,10,true,0.000018,0.000000,0.000018,0.000017,0.000018,0.339,0.0169,0.0085,0.9086,0.0256
church_add,50,local,4,10,true,0.000035,0.000001,0.000035,0.000034,0.000036,0.172,0.0086,0.0021,0.8613,0.0237
church_add,50,local,8,10,true,0.000049,0.000004,0.000048,0.000043,0.000056,0.124,0.0062,0.0008,0.8595,0.0794
church_add,100,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,20.000,1.0000,1.0000,0.0000,0.1831
church_add,100,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,7.357,0.3679,0.3679,0.7075,0.0771
church_add,100,local,2,10,true,0.000028,0.000001,0.000028,0.000027,0.000031,0.213,0.0106,0.0053,0.9333,0.0484
church_add,100,local,4,10,true,0.000057,0.000003,0.000057,0.000056,0.000065,0.105,0.0052,0.0013,0.8646,0.0487
church_add,100,local,8,10,true,0.000074,0.000005,0.000074,0.000069,0.000081,0.081,0.0041,0.0005,0.8514,0.0629
church_add,500,sequential,0,10,true,0.000001,0.000000,0.000000,0.000000,0.000002,11.975,1.0000,1.0000,0.0000,0.6161
church_add,500,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,3.492,0.2910,0.2910,0.7981,0.0906
church_add,500,local,2,10,true,0.000110,0.000009,0.000111,0.000092,0.000120,0.055,0.0046,0.0023,0.9587,0.0773
church_add,500,local,4,10,true,0.000245,0.000017,0.000236,0.000227,0.000275,0.025,0.0020,0.0005,0.8595,0.0688
church_add,500,local,8,10,true,0.000314,0.000020,0.000308,0.000289,0.000346,0.019,0.0016,0.0002,0.8776,0.0639
church_add,1000,sequential,0,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,11.586,1.0000,1.0000,0.0000,0.5031
church_add,1000,local,1,10,true,0.000003,0.000000,0.000003,0.000002,0.000004,2.363,0.1969,0.1969,0.8375,0.1712
church_add,1000,local,2,10,true,0.000234,0.000016,0.000232,0.000212,0.000257,0.026,0.0021,0.0011,0.9652,0.0674
church_add,1000,local,4,10,true,0.000548,0.000028,0.000549,0.000506,0.000596,0.011,0.0009,0.0002,0.8789,0.0513
church_add,1000,local,8,10,true,0.000623,0.000017,0.000622,0.000595,0.000650,0.010,0.0008,0.0001,0.8841,0.0276
