benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
church_mul,4,sequential,0,10,true,0.000001,0.000001,0.000001,0.000000,0.000003,11.008,1.0000,1.0000,0.0000,0.7553
church_mul,4,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,7.642,0.7642,0.7642,0.4219,0.0687
church_mul,4,local,2,10,true,0.001043,0.000043,0.001033,0.000987,0.001121,0.007,0.0007,0.0003,0.9989,0.0416
church_mul,4,local,4,10,true,0.003531,0.000101,0.003525,0.003413,0.003704,0.002,0.0002,0.0000,0.9996,0.0287
church_mul,4,local,8,10,true,0.007974,0.000155,0.007924,0.007828,0.008288,0.001,0.0001,0.0000,0.9996,0.0195
church_mul,9,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,13.161,1.0000,1.0000,0.0000,0.2762
church_mul,9,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,10.175,0.6783,0.6783,0.4036,0.0829
church_mul,9,local,2,10,true,0.000996,0.000020,0.000990,0.000968,0.001035,0.009,0.0006,0.0003,0.9990,0.0198
church_mul,9,local,4,10,true,0.003398,0.000036,0.003412,0.003337,0.003440,0.003,0.0002,0.0000,0.9993,0.0105
church_mul,9,local,8,10,true,0.007799,0.000129,0.007723,0.007664,0.008023,0.001,0.0001,0.0000,0.9996,0.0165
church_mul,16,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,14.196,1.0000,1.0000,0.0000,0.3377
church_mul,16,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,10.861,0.7405,0.7405,0.3904,0.0901
church_mul,16,local,2,10,true,0.001014,0.000015,0.001017,0.000991,0.001034,0.011,0.0007,0.0004,0.9990,0.0145
church_mul,16,local,4,10,true,0.003584,0.000070,0.003573,0.003491,0.003727,0.003,0.0002,0.0001,0.9993,0.0196
church_mul,16,local,8,10,true,0.008080,0.000170,0.008045,0.007854,0.008355,0.001,0.0001,0.0000,0.9993,0.0210
church_mul,25,sequential,0,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,15.471,1.0000,1.0000,0.0000,0.2501
church_mul,25,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000001,11.523,0.7534,0.7534,0.3439,0.0427
church_mul,25,local,2,10,true,0.001029,0.000013,0.001029,0.001007,0.001047,0.013,0.0008,0.0004,0.9988,0.0127
church_mul,25,local,4,10,true,0.003430,0.000044,0.003418,0.003381,0.003501,0.004,0.0002,0.0001,0.9993,0.0128
church_mul,25,local,8,10,true,0.007843,0.000053,0.007842,0.007760,0.007935,0.002,0.0001,0.0000,0.9992,0.0068
church_mul,100,sequential,0,10,true,0.000002,0.000001,0.000001,0.000001,0.000005,18.193,1.0000,1.0000,0.0000,0.7290
church_mul,100,local,1,10,true,0.000001,0.000000,0.000002,0.000001,0.000002,15.470,0.7735,0.7735,0.2998,0.0495
church_mul,100,local,2,10,true,0.000981,0.000016,0.000981,0.000957,0.001007,0.023,0.0012,0.0006,0.9988,0.0163
church_mul,100,local,4,10,true,0.003453,0.000200,0.003406,0.003311,0.004006,0.007,0.0003,0.0001,0.9989,0.0580
church_mul,100,local,8,10,true,0.007741,0.000068,0.007721,0.007674,0.007904,0.003,0.0001,0.0000,0.9994,0.0088
