benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
condup_expansion,10000,sequential,0,10,true,0.000916,0.000017,0.000914,0.000897,0.000946,10.917,1.0000,1.0000,0.0000,0.0185
condup_expansion,10000,local,1,10,true,0.001005,0.000048,0.000991,0.000963,0.001100,9.973,0.9120,0.9120,0.0955,0.0477
condup_expansion,10000,local,2,10,true,0.007379,0.000270,0.007374,0.006969,0.007669,1.357,0.1241,0.0620,0.4833,0.0365
condup_expansion,10000,local,4,10,true,0.023444,0.000598,0.023472,0.022039,0.024395,0.427,0.0390,0.0098,0.3151,0.0255
condup_expansion,10000,local,8,10,true,0.092038,0.001684,0.092350,0.088761,0.094259,0.109,0.0099,0.0012,0.2182,0.0183
condup_expansion,50000,sequential,0,10,true,0.004669,0.000090,0.004665,0.004568,0.004787,10.713,1.0000,1.0000,0.0000,0.0193
condup_expansion,50000,local,1,10,true,0.005223,0.000052,0.005244,0.005136,0.005273,9.574,0.8933,0.8933,0.1101,0.0099
condup_expansion,50000,local,2,10,true,0.038588,0.000689,0.038383,0.037705,0.039767,1.296,0.1209,0.0605,0.5105,0.0178
condup_expansion,50000,local,4,10,true,0.121034,0.002416,0.121379,0.116743,0.123554,0.413,0.0386,0.0096,0.3180,0.0200
condup_expansion,50000,local,8,10,true,0.493994,0.012900,0.496546,0.469578,0.514065,0.101,0.0094,0.0012,0.2228,0.0261
