benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
condup_expansion,100,1,local,0,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,1,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,2,0,0.000000,0.000006,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,3,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,4,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,5,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,6,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,7,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,8,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,1,local,9,0,0.000000,0.000005,0.000000,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,0,0,0.000015,0.001311,0.000795,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,1,0,0.000015,0.001153,0.000634,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,2,0,0.000014,0.001152,0.000666,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,3,0,0.000014,0.001132,0.000628,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,4,0,0.000014,0.001134,0.000638,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,5,0,0.000013,0.001207,0.000625,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,6,0,0.000014,0.001174,0.000758,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,7,0,0.000015,0.001254,0.000661,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,8,0,0.000016,0.001261,0.000651,0.000000,0,0.000000,200,0,0
condup_expansion,100,2,local,9,0,0.000014,0.001195,0.000751,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,0,0,0.000024,0.007449,0.002740,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,1,0,0.000027,0.007516,0.002742,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,2,0,0.000020,0.007210,0.002623,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,3,0,0.000019,0.007204,0.002616,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,4,0,0.000020,0.007258,0.002710,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,5,0,0.000030,0.007231,0.002614,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,6,0,0.000018,0.007201,0.002611,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,7,0,0.000022,0.007562,0.002662,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,8,0,0.000024,0.007518,0.002685,0.000000,0,0.000000,200,0,0
condup_expansion,100,4,local,9,0,0.000034,0.007459,0.002670,0.000000,0,0.000000,200,0,0
condup_expansion,100,8,local,0,0,0.000046,0.035247,0.009215,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,1,0,0.000080,0.036301,0.008994,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,2,0,0.000036,0.035284,0.008540,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,3,0,0.000035,0.034380,0.008881,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,4,0,0.000048,0.036824,0.008436,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,5,0,0.000039,0.034751,0.008245,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,6,0,0.000044,0.035031,0.008832,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,7,0,0.000044,0.033623,0.008680,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,8,0,0.000034,0.033583,0.008484,0.000000,4,0.040000,200,0,0
condup_expansion,100,8,local,9,0,0.000065,0.033510,0.008316,0.000000,4,0.040000,200,0,0
condup_expansion,500,1,local,0,0,0.000000,0.000105,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,1,0,0.000000,0.000063,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,2,0,0.000000,0.000060,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,3,0,0.000000,0.000058,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,4,0,0.000000,0.000060,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,5,0,0.000000,0.000063,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,6,0,0.000000,0.000059,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,7,0,0.000000,0.000059,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,8,0,0.000000,0.000058,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,1,local,9,0,0.000000,0.000058,0.000000,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,0,0,0.000100,0.001311,0.000664,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,1,0,0.000093,0.001315,0.000803,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,2,0,0.000138,0.001302,0.000761,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,3,0,0.000162,0.001295,0.000645,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,4,0,0.000119,0.001274,0.000613,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,5,0,0.000123,0.001256,0.000607,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,6,0,0.000120,0.001248,0.000622,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,7,0,0.000117,0.001263,0.000610,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,8,0,0.000096,0.001265,0.000645,0.000000,0,0.000000,1000,0,0
condup_expansion,500,2,local,9,0,0.000110,0.001303,0.000694,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,0,0,0.000074,0.007186,0.002613,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,1,0,0.000070,0.007238,0.002603,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,2,0,0.000072,0.007349,0.002726,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,3,0,0.000061,0.007575,0.002675,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,4,0,0.000072,0.007548,0.002768,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,5,0,0.000063,0.007456,0.002688,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,6,0,0.000063,0.007440,0.002670,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,7,0,0.000072,0.007398,0.002685,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,8,0,0.000071,0.007537,0.002720,0.000000,0,0.000000,1000,0,0
condup_expansion,500,4,local,9,0,0.000062,0.007479,0.002703,0.000000,0,0.000000,1000,0,0
condup_expansion,500,8,local,0,0,0.000141,0.033556,0.008145,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,1,0,0.000148,0.034424,0.008567,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,2,0,0.000150,0.034297,0.008694,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,3,0,0.000126,0.033792,0.008079,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,4,0,0.000162,0.033122,0.008042,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,5,0,0.000147,0.033730,0.008569,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,6,0,0.000167,0.034145,0.008585,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,7,0,0.000122,0.034483,0.008610,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,8,0,0.000155,0.033042,0.008208,0.000000,4,0.008000,1000,0,0
condup_expansion,500,8,local,9,0,0.000121,0.033226,0.008234,0.000000,4,0.008000,1000,0,0
condup_expansion,1000,1,local,0,0,0.000000,0.000112,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,1,0,0.000000,0.000113,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,2,0,0.000000,0.000117,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,3,0,0.000000,0.000140,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,4,0,0.000000,0.000117,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,5,0,0.000000,0.000113,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,6,0,0.000000,0.000129,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,7,0,0.000000,0.000117,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,8,0,0.000000,0.000114,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,1,local,9,0,0.000000,0.000115,0.000000,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,0,0,0.000193,0.001366,0.000799,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,1,0,0.000198,0.001314,0.000781,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,2,0,0.000204,0.001379,0.000807,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,3,0,0.000176,0.001377,0.000807,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,4,0,0.000169,0.001293,0.000783,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,5,0,0.000196,0.001315,0.000799,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,6,0,0.000196,0.001417,0.000900,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,7,0,0.000202,0.001317,0.000787,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,8,0,0.000215,0.001337,0.000769,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,2,local,9,0,0.000200,0.001321,0.000820,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,0,0,0.000137,0.007521,0.002681,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,1,0,0.000175,0.007774,0.002808,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,2,0,0.000160,0.007808,0.002779,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,3,0,0.000156,0.007435,0.002665,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,4,0,0.000148,0.007619,0.002695,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,5,0,0.000181,0.007599,0.002688,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,6,0,0.000158,0.007750,0.002736,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,7,0,0.000147,0.007381,0.002749,0.000000,0,0.000000,2000,0,0
condup_expansion,1000,4,local,8,0,0.000142,0.007467,0.002657,0.000000,0,0.000000,2000,0,0
