benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
condup_expansion,100,sequential,0,10,true,0.000009,0.000005,0.000007,0.000005,0.000021,13.860,1.0000,1.0000,0.0000,0.5706
condup_expansion,100,local,1,10,true,0.000007,0.000000,0.000007,0.000006,0.000007,14.743,0.9583,0.9583,0.2608,0.0350
condup_expansion,100,local,2,10,true,0.001903,0.000110,0.001899,0.001778,0.002127,0.053,0.0034,0.0017,0.3705,0.0579
condup_expansion,100,local,4,10,true,0.010063,0.000197,0.010084,0.009835,0.010294,0.010,0.0006,0.0002,0.2685,0.0195
condup_expansion,100,local,8,10,true,0.047838,0.001342,0.047876,0.045957,0.049829,0.002,0.0001,0.0000,0.2715,0.0281
condup_expansion,500,sequential,0,10,true,0.000056,0.000005,0.000057,0.000045,0.000061,8.917,1.0000,1.0000,0.0000,0.0805
condup_expansion,500,local,1,10,true,0.000071,0.000015,0.000066,0.000063,0.000112,7.233,0.8289,0.8289,0.0930,0.2063
condup_expansion,500,local,2,10,true,0.002074,0.000087,0.002048,0.001991,0.002218,0.241,0.0277,0.0138,0.3807,0.0418
condup_expansion,500,local,4,10,true,0.010184,0.000168,0.010200,0.009883,0.010397,0.049,0.0056,0.0014,0.2713,0.0165
condup_expansion,500,local,8,10,true,0.046473,0.000838,0.046391,0.045426,0.047467,0.011,0.0012,0.0002,0.2731,0.0180
condup_expansion,1000,sequential,0,10,true,0.000098,0.000011,0.000102,0.000070,0.000108,10.318,1.0000,1.0000,0.0000,0.1102
condup_expansion,1000,local,1,10,true,0.000129,0.000011,0.000125,0.000120,0.000156,7.798,0.7946,0.7946,0.0792,0.0849
condup_expansion,1000,local,2,10,true,0.002354,0.000075,0.002341,0.002254,0.002533,0.425,0.0433,0.0217,0.4293,0.0317
condup_expansion,1000,local,4,10,true,0.010455,0.000210,0.010413,0.010216,0.010771,0.096,0.0098,0.0024,0.2758,0.0201
condup_expansion,1000,local,8,10,true,0.043273,0.000898,0.043402,0.042072,0.044599,0.023,0.0024,0.0003,0.2043,0.0208
condup_expansion,5000,sequential,0,10,true,0.000425,0.000021,0.000425,0.000396,0.000461,11.804,1.0000,1.0000,0.0000,0.0496
condup_expansion,5000,local,1,10,true,0.000497,0.000024,0.000501,0.000457,0.000527,10.080,0.8569,0.8569,0.1183,0.0476
condup_expansion,5000,local,2,10,true,0.003631,0.000128,0.003601,0.003443,0.003868,1.378,0.1172,0.0586,0.4847,0.0351
condup_expansion,5000,local,4,10,true,0.012380,0.000325,0.012340,0.011992,0.013080,0.404,0.0344,0.0086,0.3102,0.0262
condup_expansion,5000,local,8,10,true,0.046636,0.001198,0.046941,0.044898,0.048413,0.107,0.0091,0.0011,0.2204,0.0257
