benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
dual_tree,4,sequential,0,0,true,0.000003,15,4.839,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,1,true,0.000002,15,10.000,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,2,true,0.000002,15,10.000,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,3,true,0.000001,15,11.538,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,4,true,0.000001,15,11.538,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,5,true,0.000001,15,10.714,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,6,true,0.000001,15,12.500,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,7,true,0.000001,15,12.500,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,8,true,0.000001,15,12.500,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,sequential,0,9,true,0.000001,15,10.714,0,1.0000,1.0000,0.0000,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,0,true,0.000002,15,7.143,1,0.6429,0.6429,0.2381,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,1,true,0.000002,15,7.895,1,0.7105,0.7105,0.2105,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,2,true,0.000002,15,7.895,1,0.7105,0.7105,0.2632,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,3,true,0.000002,15,9.375,1,0.8438,0.8438,0.1250,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,4,true,0.000002,15,9.375,1,0.8438,0.8438,0.1875,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,5,true,0.000002,15,7.500,1,0.6750,0.6750,0.2500,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,6,true,0.000002,15,8.333,1,0.7500,0.7500,0.2222,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,7,true,0.000003,15,5.000,1,0.4500,0.4500,0.1333,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,8,true,0.000002,15,9.375,1,0.8438,0.8438,0.1250,0,0,0,15,0,0,0,0,0
dual_tree,4,local,1,9,true,0.000002,15,8.824,1,0.7941,0.7941,0.1765,0,0,0,15,0,0,0,0,0
dual_tree,4,local,2,0,true,0.000007,15,2.055,1,0.1849,0.0925,0.9452,0,0,0,15,0,0,0,0,0
