benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,6,sequential,0,10,true,0.000006,0.000001,0.000005,0.000005,0.000009,11.212,1.0000,1.0000,0.0000,0.2526
dual_tree,6,local,1,10,true,0.000006,0.000000,0.000006,0.000006,0.000006,10.877,0.8978,0.8978,0.0824,0.0398
dual_tree,6,local,2,10,true,0.000108,0.000003,0.000108,0.000104,0.000112,0.585,0.0483,0.0241,0.9029,0.0235
dual_tree,6,local,4,10,true,0.000118,0.000004,0.000117,0.000114,0.000125,0.534,0.0441,0.0110,0.8952,0.0328
dual_tree,6,local,8,10,true,0.000148,0.000006,0.000146,0.000144,0.000164,0.425,0.0351,0.0044,0.8812,0.0428
dual_tree,10,sequential,0,10,true,0.000092,0.000005,0.000092,0.000081,0.000098,11.190,1.0000,1.0000,0.0000,0.0562
dual_tree,10,local,1,10,true,0.000096,0.000002,0.000095,0.000094,0.000100,10.686,0.9642,0.9642,0.0215,0.0242
dual_tree,10,local,2,10,true,0.002490,0.000068,0.002494,0.002369,0.002592,0.411,0.0371,0.0185,0.9405,0.0274
dual_tree,10,local,4,10,true,0.002829,0.000078,0.002825,0.002723,0.002972,0.362,0.0327,0.0082,0.9345,0.0275
dual_tree,10,local,8,10,true,0.003380,0.000110,0.003373,0.003243,0.003555,0.303,0.0273,0.0034,0.9326,0.0327
dual_tree,14,sequential,0,10,true,0.001607,0.000046,0.001602,0.001534,0.001691,10.202,1.0000,1.0000,0.0000,0.0289
dual_tree,14,local,1,10,true,0.001593,0.000075,0.001600,0.001423,0.001674,10.309,1.0080,1.0080,0.0204,0.0469
dual_tree,14,local,2,10,true,0.053934,0.002089,0.054448,0.049113,0.056800,0.304,0.0297,0.0149,0.9445,0.0387
dual_tree,14,local,4,10,true,0.050253,0.001070,0.049865,0.049000,0.052351,0.326,0.0319,0.0080,0.9352,0.0213
dual_tree,14,local,8,10,true,0.058122,0.002094,0.058241,0.053468,0.060642,0.282,0.0276,0.0034,0.9226,0.0360
