benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_con,100,sequential,0,0,true,0.000014,100,7.042,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,1,true,0.000013,100,7.692,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,2,true,0.000010,100,10.417,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,3,true,0.000009,100,10.870,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,4,true,0.000009,100,11.236,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,5,true,0.000009,100,10.638,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,6,true,0.000009,100,10.870,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,7,true,0.000009,100,11.364,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,8,true,0.000009,100,11.364,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,sequential,0,9,true,0.000009,100,10.870,0,1.0000,1.0000,0.0000,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,0,true,0.000011,100,9.009,1,0.8288,0.8288,0.1261,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,1,true,0.000011,100,9.346,1,0.8598,0.8598,0.1308,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,2,true,0.000010,100,9.709,1,0.8932,0.8932,0.1262,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,3,true,0.000010,100,10.000,1,0.9200,0.9200,0.1200,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,4,true,0.000010,100,10.101,1,0.9293,0.9293,0.1212,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,5,true,0.000010,100,9.901,1,0.9109,0.9109,0.1188,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,6,true,0.000010,100,10.000,1,0.9200,0.9200,0.1200,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,7,true,0.000010,100,10.000,1,0.9200,0.9200,0.1200,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,8,true,0.000010,100,9.615,1,0.8846,0.8846,0.1442,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,1,9,true,0.000012,100,8.197,1,0.7541,0.7541,0.1066,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,0,true,0.000025,100,3.984,1,0.3665,0.1833,0.5697,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,1,true,0.000023,100,4.425,1,0.4071,0.2035,0.5531,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,2,true,0.000022,100,4.505,1,0.4144,0.2072,0.5541,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,3,true,0.000023,100,4.386,1,0.4035,0.2018,0.5570,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,4,true,0.000022,100,4.566,1,0.4201,0.2100,0.5434,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,5,true,0.000025,100,4.000,1,0.3680,0.1840,0.5960,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,6,true,0.000022,100,4.484,1,0.4126,0.2063,0.5516,0,0,0,100,0,0,0,0,0
ep_annihilation_con,100,local,2,7,true,0.000022,100,4.525,1,0.4163,0.2081,0.5385,0,0,0,100,0,0,0,0,0
