benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation,100,sequential,0,0,true,0.000003,100,38.462,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,1,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,2,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,3,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,4,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,5,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,6,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,7,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,8,true,0.000001,100,166.667,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,sequential,0,9,true,0.000001,100,142.857,0,1.0000,1.0000,0.0000,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,0,true,0.000002,100,52.632,1,0.3684,0.3684,0.6842,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,1,true,0.000002,100,52.632,1,0.3684,0.3684,0.6842,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,2,true,0.000002,100,58.824,1,0.4118,0.4118,0.6471,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,3,true,0.000002,100,58.824,1,0.4118,0.4118,0.6471,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,4,true,0.000002,100,55.556,1,0.3889,0.3889,0.6667,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,5,true,0.000002,100,58.824,1,0.4118,0.4118,0.6471,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,6,true,0.000002,100,58.824,1,0.4118,0.4118,0.6471,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,7,true,0.000002,100,55.556,1,0.3889,0.3889,0.6667,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,8,true,0.000002,100,58.824,1,0.4118,0.4118,0.6471,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,1,9,true,0.000002,100,47.619,1,0.3333,0.3333,0.7143,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,0,true,0.000013,100,7.576,1,0.0530,0.0265,0.9167,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,1,true,0.000014,100,7.194,1,0.0504,0.0252,0.9209,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,2,true,0.000014,100,7.353,1,0.0515,0.0257,0.9118,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,3,true,0.000013,100,7.463,1,0.0522,0.0261,0.9104,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,4,true,0.000012,100,8.065,1,0.0565,0.0282,0.9113,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,5,true,0.000013,100,7.937,1,0.0556,0.0278,0.9127,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,6,true,0.000013,100,7.634,1,0.0534,0.0267,0.9084,0,0,0,0,0,100,0,0,0
ep_annihilation,100,local,2,7,true,0.000013,100,7.937,1,0.0556,0.0278,0.9127,0,0,0,0,0,100,0,0,0
