benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
ep_annihilation_dup,100,sequential,0,0,true,0.000013,100,7.634,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,1,true,0.000009,100,10.638,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,2,true,0.000009,100,11.236,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,3,true,0.000008,100,11.765,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,4,true,0.000009,100,11.628,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,5,true,0.000011,100,8.850,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,6,true,0.000009,100,11.628,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,7,true,0.000008,100,11.765,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,8,true,0.000008,100,11.905,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,sequential,0,9,true,0.000009,100,11.494,0,1.0000,1.0000,0.0000,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,0,true,0.000010,100,9.524,1,0.8238,0.8238,0.1333,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,1,true,0.000010,100,10.101,1,0.8737,0.8737,0.1313,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,2,true,0.000009,100,10.638,1,0.9202,0.9202,0.1170,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,3,true,0.000010,100,10.526,1,0.9105,0.9105,0.1263,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,4,true,0.000009,100,10.753,1,0.9301,0.9301,0.1075,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,5,true,0.000010,100,10.526,1,0.9105,0.9105,0.1158,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,6,true,0.000009,100,10.638,1,0.9202,0.9202,0.1170,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,7,true,0.000010,100,10.526,1,0.9105,0.9105,0.1158,0,0,0,0,100,0,0,0,0
ep_annihilation_dup,100,local,1,8,true,0.000009,100,10.638,1,0.9202,0.9202,0.1170,0,0,0,0,100,0,0,0,0
