benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation,100,sequential,0,10,true,0.000001,0.000001,0.000001,0.000001,0.000003,134.799,1.0000,1.0000,0.0000,0.6877
ep_annihilation,100,local,1,10,true,0.000002,0.000000,0.000002,0.000002,0.000002,55.811,0.3907,0.3907,0.6651,0.0741
ep_annihilation,100,local,2,10,true,0.000013,0.000000,0.000013,0.000012,0.000014,7.666,0.0537,0.0268,0.9127,0.0367
ep_annihilation,100,local,4,10,true,0.000017,0.000001,0.000016,0.000016,0.000020,6.065,0.0425,0.0106,0.9097,0.0684
ep_annihilation,100,local,8,10,true,0.000030,0.000002,0.000030,0.000029,0.000033,3.347,0.0234,0.0029,0.9060,0.0512
ep_annihilation,500,sequential,0,10,true,0.000003,0.000000,0.000003,0.000003,0.000003,152.963,1.0000,1.0000,0.0000,0.0206
ep_annihilation,500,local,1,10,true,0.000006,0.000000,0.000006,0.000005,0.000006,87.590,0.5781,0.5781,0.4466,0.0174
ep_annihilation,500,local,2,10,true,0.000060,0.000003,0.000059,0.000057,0.000065,8.306,0.0548,0.0274,0.9054,0.0466
ep_annihilation,500,local,4,10,true,0.000087,0.000009,0.000083,0.000079,0.000104,5.814,0.0384,0.0096,0.9304,0.1008
ep_annihilation,500,local,8,10,true,0.000144,0.000003,0.000144,0.000139,0.000150,3.470,0.0229,0.0029,0.9403,0.0241
ep_annihilation,1000,sequential,0,10,true,0.000006,0.000000,0.000006,0.000006,0.000006,160.027,1.0000,1.0000,0.0000,0.0136
ep_annihilation,1000,local,1,10,true,0.000012,0.000002,0.000011,0.000010,0.000016,88.077,0.5505,0.5505,0.4331,0.1514
ep_annihilation,1000,local,2,10,true,0.000124,0.000008,0.000124,0.000109,0.000141,8.089,0.0506,0.0253,0.9231,0.0636
ep_annihilation,1000,local,4,10,true,0.000190,0.000059,0.000175,0.000149,0.000353,5.543,0.0346,0.0087,0.9347,0.3079
ep_annihilation,1000,local,8,10,true,0.000255,0.000013,0.000251,0.000244,0.000291,3.932,0.0246,0.0031,0.9367,0.0513
ep_annihilation,5000,sequential,0,10,true,0.000033,0.000000,0.000032,0.000032,0.000034,153.345,1.0000,1.0000,0.0000,0.0113
ep_annihilation,5000,local,1,10,true,0.000053,0.000004,0.000052,0.000051,0.000065,95.143,0.6184,0.6184,0.3711,0.0789
ep_annihilation,5000,local,2,10,true,0.000734,0.000019,0.000726,0.000711,0.000775,6.819,0.0443,0.0222,0.9332,0.0263
ep_annihilation,5000,local,4,10,true,0.000858,0.000020,0.000850,0.000835,0.000899,5.830,0.0379,0.0095,0.9305,0.0228
ep_annihilation,5000,local,8,10,true,0.001206,0.000027,0.001210,0.001161,0.001244,4.148,0.0270,0.0034,0.9298,0.0221
ep_annihilation,10000,sequential,0,10,true,0.000072,0.000017,0.000066,0.000065,0.000121,143.908,1.0000,1.0000,0.0000,0.2427
ep_annihilation,10000,local,1,10,true,0.000124,0.000005,0.000122,0.000121,0.000138,80.888,0.5367,0.5367,0.4702,0.0432
ep_annihilation,10000,local,2,10,true,0.001540,0.000044,0.001528,0.001481,0.001636,6.496,0.0431,0.0216,0.9275,0.0284
ep_annihilation,10000,local,4,10,true,0.001833,0.000069,0.001815,0.001764,0.001956,5.463,0.0362,0.0091,0.9291,0.0374
ep_annihilation,10000,local,8,10,true,0.002375,0.000041,0.002369,0.002322,0.002454,4.212,0.0279,0.0035,0.9226,0.0172
ep_annihilation,50000,sequential,0,10,true,0.000409,0.000031,0.000391,0.000379,0.000461,122.869,1.0000,1.0000,0.0000,0.0768
ep_annihilation,50000,local,1,10,true,0.000773,0.000090,0.000760,0.000686,0.001001,65.374,0.5117,0.5117,0.5466,0.1167
ep_annihilation,50000,local,2,10,true,0.008153,0.000624,0.007856,0.007508,0.009041,6.164,0.0482,0.0241,0.9361,0.0765
ep_annihilation,50000,local,4,10,true,0.009849,0.000933,0.009755,0.009034,0.012092,5.114,0.0400,0.0100,0.9351,0.0948
ep_annihilation,50000,local,8,10,true,0.013569,0.000593,0.013399,0.013014,0.015017,3.691,0.0289,0.0036,0.9257,0.0437
ep_annihilation,100000,sequential,0,10,true,0.000841,0.000018,0.000840,0.000813,0.000879,118.888,1.0000,1.0000,0.0000,0.0210
ep_annihilation,100000,local,1,10,true,0.001510,0.000064,0.001509,0.001430,0.001636,66.353,0.5575,0.5575,0.4758,0.0425
ep_annihilation,100000,local,2,10,true,0.020789,0.000427,0.020702,0.020280,0.021631,4.812,0.0404,0.0202,0.9419,0.0206
ep_annihilation,100000,local,4,10,true,0.023685,0.000546,0.023564,0.023093,0.025132,4.224,0.0355,0.0089,0.9360,0.0230
ep_annihilation,100000,local,8,10,true,0.034687,0.006698,0.033621,0.029637,0.051297,2.961,0.0249,0.0031,0.9341,0.1931
