benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
mixed_net,100,1,local,0,0,0.000000,0.000078,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,1,0,0.000000,0.000048,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,2,0,0.000000,0.000041,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,3,0,0.000000,0.000041,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,4,0,0.000000,0.000041,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,5,0,0.000000,0.000040,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,6,0,0.000000,0.000039,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,7,0,0.000000,0.000041,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,8,0,0.000000,0.000043,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,1,local,9,0,0.000000,0.000039,0.000000,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,0,0,0.000115,0.001050,0.000496,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,1,0,0.000095,0.001069,0.000613,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,2,0,0.000094,0.001038,0.000630,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,3,0,0.000111,0.001062,0.000517,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,4,0,0.000096,0.001046,0.000551,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,5,0,0.000096,0.001046,0.000628,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,6,0,0.000096,0.001057,0.000539,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,7,0,0.000093,0.001066,0.000521,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,8,0,0.000094,0.001074,0.000508,0.000000,0,0.000000,1200,0,0
mixed_net,100,2,local,9,0,0.000094,0.001097,0.000534,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,0,0,0.000074,0.006833,0.002512,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,1,0,0.000079,0.007046,0.002664,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,2,0,0.000076,0.006880,0.002388,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,3,0,0.000079,0.006878,0.002870,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,4,0,0.000086,0.007110,0.002396,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,5,0,0.000075,0.006889,0.002386,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,6,0,0.000238,0.006759,0.002520,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,7,0,0.000075,0.007685,0.002495,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,8,0,0.000077,0.007744,0.003109,0.000000,0,0.000000,1200,0,0
mixed_net,100,4,local,9,0,0.000077,0.007818,0.002532,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,0,0,0.000152,0.034166,0.008170,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,1,0,0.000222,0.033978,0.007764,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,2,0,0.000128,0.033178,0.007724,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,3,0,0.000130,0.033476,0.008127,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,4,0,0.000246,0.036008,0.008597,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,5,0,0.000177,0.040178,0.008927,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,6,0,0.000138,0.033513,0.007310,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,7,0,0.000150,0.033909,0.007907,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,8,0,0.000115,0.032553,0.007996,0.000000,0,0.000000,1200,0,0
mixed_net,100,8,local,9,0,0.000139,0.033254,0.008141,0.000000,0,0.000000,1200,0,0
mixed_net,500,1,local,0,0,0.000000,0.000280,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,1,0,0.000000,0.000188,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,2,0,0.000000,0.000200,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,3,0,0.000000,0.000177,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,4,0,0.000000,0.000183,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,5,0,0.000000,0.000212,0.000000,0.000000,0,0.000000,6000,0,0
mixed_net,500,1,local,6,0,0.000000,0.000198,0.000000,0.000000,0,0.000000,6000,0,0
