benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
mixed_net,100,sequential,0,10,true,0.000044,0.000002,0.000043,0.000041,0.000048,13.559,1.0000,1.0000,0.0000,0.0507
mixed_net,100,local,1,10,true,0.000050,0.000013,0.000045,0.000043,0.000085,12.567,0.9100,0.9100,0.0909,0.2549
mixed_net,100,local,2,10,true,0.001719,0.000042,0.001699,0.001670,0.001783,0.349,0.0253,0.0126,0.3827,0.0245
mixed_net,100,local,4,10,true,0.009855,0.000531,0.009699,0.009357,0.010940,0.061,0.0044,0.0011,0.2730,0.0539
mixed_net,100,local,8,10,true,0.042670,0.002612,0.041858,0.040690,0.049316,0.014,0.0010,0.0001,0.1934,0.0612
mixed_net,500,sequential,0,10,true,0.000205,0.000025,0.000199,0.000180,0.000262,14.804,1.0000,1.0000,0.0000,0.1237
mixed_net,500,local,1,10,true,0.000246,0.000046,0.000230,0.000194,0.000325,12.558,0.8309,0.8309,0.1067,0.1866
mixed_net,500,local,2,10,true,0.002768,0.000102,0.002801,0.002634,0.002922,1.085,0.0718,0.0359,0.4228,0.0367
mixed_net,500,local,4,10,true,0.010945,0.000546,0.011012,0.010259,0.011665,0.275,0.0182,0.0045,0.2966,0.0499
mixed_net,500,local,8,10,true,0.044529,0.002924,0.044243,0.040715,0.050368,0.068,0.0045,0.0006,0.2063,0.0657
mixed_net,1000,sequential,0,10,true,0.000519,0.000036,0.000539,0.000465,0.000571,11.601,1.0000,1.0000,0.0000,0.0695
mixed_net,1000,local,1,10,true,0.000587,0.000078,0.000567,0.000490,0.000731,10.370,0.9318,0.9318,0.1111,0.1334
mixed_net,1000,local,2,10,true,0.003901,0.000139,0.003887,0.003654,0.004148,1.540,0.1384,0.0692,0.4445,0.0357
mixed_net,1000,local,4,10,true,0.014013,0.000712,0.013798,0.012894,0.015058,0.429,0.0386,0.0096,0.2893,0.0508
mixed_net,1000,local,8,10,true,0.052131,0.002854,0.051212,0.048203,0.055898,0.115,0.0104,0.0013,0.2097,0.0548
mixed_net,5000,sequential,0,10,true,0.002143,0.000151,0.002086,0.001995,0.002503,14.054,1.0000,1.0000,0.0000,0.0705
mixed_net,5000,local,1,10,true,0.002282,0.000109,0.002285,0.002146,0.002491,13.173,0.9158,0.9158,0.1151,0.0479
mixed_net,5000,local,2,10,true,0.019199,0.000853,0.019026,0.018429,0.021286,1.565,0.1088,0.0544,0.4834,0.0444
mixed_net,5000,local,4,10,true,0.067740,0.002693,0.066893,0.065556,0.073963,0.443,0.0308,0.0077,0.3107,0.0397
mixed_net,5000,local,8,10,true,0.277814,0.015295,0.279961,0.255071,0.297719,0.108,0.0075,0.0009,0.2144,0.0551
mixed_net,10000,sequential,0,10,true,0.004616,0.000360,0.004527,0.004203,0.005479,13.064,1.0000,1.0000,0.0000,0.0779
mixed_net,10000,local,1,10,true,0.005664,0.001055,0.005376,0.004883,0.008518,10.841,0.8179,0.8179,0.1003,0.1862
mixed_net,10000,local,2,10,true,0.041598,0.001509,0.041364,0.039211,0.044806,1.444,0.1089,0.0545,0.4863,0.0363
mixed_net,10000,local,4,10,true,0.147881,0.009543,0.146249,0.135547,0.171352,0.407,0.0307,0.0077,0.3151,0.0645
mixed_net,10000,local,8,10,true,0.516924,0.020418,0.516809,0.490690,0.555284,0.116,0.0088,0.0011,0.2187,0.0395
