benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
tree_sum_balanced,10,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000002,24.353,1.0000,1.0000,0.0000,1.2268
tree_sum_balanced,10,local,1,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,10.800,0.3600,0.3600,0.7100,0.0922
tree_sum_balanced,10,local,2,10,true,0.000008,0.000001,0.000008,0.000008,0.000009,0.709,0.0236,0.0118,0.8789,0.0684
tree_sum_balanced,10,local,4,10,true,0.000013,0.000000,0.000013,0.000012,0.000014,0.472,0.0157,0.0039,0.8492,0.0376
tree_sum_balanced,10,local,8,10,true,0.000016,0.000001,0.000016,0.000015,0.000017,0.381,0.0127,0.0016,0.8435,0.0394
tree_sum_balanced,50,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,28.000,1.0000,1.0000,0.0000,0.1917
tree_sum_balanced,50,local,1,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,10.600,0.3533,0.3533,0.7300,0.0847
tree_sum_balanced,50,local,2,10,true,0.000023,0.000001,0.000023,0.000022,0.000024,0.260,0.0087,0.0043,0.8680,0.0237
tree_sum_balanced,50,local,4,10,true,0.000029,0.000002,0.000028,0.000027,0.000032,0.210,0.0070,0.0017,0.8458,0.0553
tree_sum_balanced,50,local,8,10,true,0.000036,0.000001,0.000035,0.000034,0.000039,0.168,0.0056,0.0007,0.8448,0.0395
tree_sum_balanced,100,sequential,0,10,true,0.000000,0.000000,0.000000,0.000000,0.000000,25.000,1.0000,1.0000,0.0000,0.2108
tree_sum_balanced,100,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,8.214,0.3423,0.3423,0.7065,0.5449
tree_sum_balanced,100,local,2,10,true,0.000042,0.000006,0.000040,0.000039,0.000058,0.144,0.0060,0.0030,0.8632,0.1372
tree_sum_balanced,100,local,4,10,true,0.000052,0.000002,0.000052,0.000048,0.000055,0.116,0.0048,0.0012,0.8542,0.0466
tree_sum_balanced,100,local,8,10,true,0.000063,0.000005,0.000061,0.000060,0.000074,0.095,0.0040,0.0005,0.8485,0.0715
tree_sum_balanced,500,sequential,0,10,true,0.000001,0.000000,0.000000,0.000000,0.000001,12.790,1.0000,1.0000,0.0000,0.6578
tree_sum_balanced,500,local,1,10,true,0.000002,0.000000,0.000002,0.000001,0.000003,3.582,0.2687,0.2687,0.7844,0.2597
tree_sum_balanced,500,local,2,10,true,0.000211,0.000034,0.000206,0.000178,0.000301,0.029,0.0022,0.0011,0.8688,0.1592
tree_sum_balanced,500,local,4,10,true,0.000238,0.000030,0.000226,0.000216,0.000318,0.026,0.0019,0.0005,0.8658,0.1277
tree_sum_balanced,500,local,8,10,true,0.000303,0.000048,0.000292,0.000253,0.000432,0.020,0.0015,0.0002,0.8829,0.1585
tree_sum_balanced,1000,sequential,0,10,true,0.000001,0.000000,0.000001,0.000000,0.000001,9.048,1.0000,1.0000,0.0000,0.4178
tree_sum_balanced,1000,local,1,10,true,0.000002,0.000001,0.000002,0.000002,0.000003,2.538,0.3173,0.3173,0.8419,0.2075
tree_sum_balanced,1000,local,2,10,true,0.000510,0.000131,0.000471,0.000409,0.000856,0.012,0.0015,0.0008,0.8534,0.2566
tree_sum_balanced,1000,local,4,10,true,0.000491,0.000035,0.000493,0.000456,0.000576,0.012,0.0015,0.0004,0.8731,0.0711
tree_sum_balanced,1000,local,8,10,true,0.000581,0.000029,0.000576,0.000534,0.000634,0.010,0.0013,0.0002,0.8846,0.0501
