benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.379226,0.014743,0.375761,0.360799,0.409978,0.000,0.9909,0.9909,0.0091,0.0389
ep_annihilation_con,1000000,sequential,0,10,true,0.568343,0.026911,0.553261,0.542219,0.622335,0.000,0.9735,0.9735,0.0265,0.0473
ep_annihilation_con,5000000,sequential,0,10,true,2.758862,0.105506,2.713928,2.660330,3.030725,0.000,0.9837,0.9837,0.0163,0.0382
dual_tree,18,sequential,0,10,true,0.268757,0.007774,0.271861,0.255658,0.280112,0.000,1.0115,1.0115,0.0000,0.0289
dual_tree,20,sequential,0,10,true,0.440822,0.010866,0.444333,0.422365,0.453242,0.000,1.0080,1.0080,0.0000,0.0246
dual_tree,22,sequential,0,10,true,1.333086,0.055813,1.316194,1.282765,1.492871,0.000,0.9873,0.9873,0.0127,0.0419
condup_expansion,1000,sequential,0,10,true,0.206411,0.005029,0.206323,0.195622,0.215162,0.000,0.9996,0.9996,0.0004,0.0244
condup_expansion,5000,sequential,0,10,true,0.209465,0.007524,0.210830,0.189091,0.217782,0.000,1.0065,1.0065,0.0000,0.0359
ep_annihilation_con,500000,tcp_localhost,1,10,true,0.475453,0.019836,0.468105,0.457610,0.517265,0.000,0.7903,0.7903,0.2097,0.0417
ep_annihilation_con,500000,tcp_localhost,2,10,true,0.576624,0.017672,0.571038,0.564504,0.627439,0.000,0.6517,0.3258,0.6742,0.0306
ep_annihilation_con,500000,tcp_localhost,4,10,true,0.677677,0.015547,0.676864,0.658149,0.703329,0.000,0.5545,0.1386,0.8614,0.0229
ep_annihilation_con,500000,tcp_localhost,8,10,true,1.113120,0.010178,1.113908,1.090976,1.127595,0.000,0.3376,0.0422,0.9578,0.0091
ep_annihilation_con,1000000,tcp_localhost,1,10,true,0.929117,0.018614,0.927083,0.907616,0.973708,0.000,0.5955,0.5955,0.4045,0.0200
ep_annihilation_con,1000000,tcp_localhost,2,10,true,1.159339,0.015868,1.156956,1.133843,1.186157,0.000,0.4772,0.2386,0.7614,0.0137
ep_annihilation_con,1000000,tcp_localhost,4,10,true,1.319025,0.014187,1.317108,1.297523,1.342172,0.000,0.4194,0.1049,0.8951,0.0108
ep_annihilation_con,1000000,tcp_localhost,8,10,true,2.043637,0.033061,2.044554,1.986392,2.096156,0.000,0.2707,0.0338,0.9662,0.0162
ep_annihilation_con,5000000,tcp_localhost,1,10,true,5.719038,0.063653,5.702979,5.650613,5.863760,0.000,0.4745,0.4745,0.5255,0.0111
ep_annihilation_con,5000000,tcp_localhost,2,10,true,7.418398,0.016055,7.421364,7.394881,7.444984,0.000,0.3658,0.1829,0.8171,0.0022
ep_annihilation_con,5000000,tcp_localhost,4,10,true,8.089355,0.216466,8.017026,7.928267,8.707132,0.000,0.3355,0.0839,0.9161,0.0268
ep_annihilation_con,5000000,tcp_localhost,8,10,true,11.776846,0.102922,11.755869,11.651675,12.056542,0.000,0.2304,0.0288,0.9712,0.0087
dual_tree,18,tcp_localhost,1,10,true,0.269695,0.023505,0.260767,0.248456,0.332362,0.000,1.0080,1.0080,0.0000,0.0872
dual_tree,18,tcp_localhost,2,10,true,0.413344,0.005916,0.414077,0.404499,0.421413,0.000,0.6577,0.3289,0.6711,0.0143
dual_tree,18,tcp_localhost,4,10,true,0.501181,0.006004,0.500872,0.492537,0.514236,0.000,0.5424,0.1356,0.8644,0.0120
dual_tree,18,tcp_localhost,8,10,true,0.720237,0.009219,0.721297,0.702615,0.737911,0.000,0.3775,0.0472,0.9528,0.0128
dual_tree,20,tcp_localhost,1,10,true,0.791634,0.007057,0.790966,0.779832,0.803187,0.000,0.5613,0.5613,0.4387,0.0089
dual_tree,20,tcp_localhost,2,10,true,1.413512,0.019358,1.408334,1.384825,1.444230,0.000,0.3143,0.1572,0.8428,0.0137
dual_tree,20,tcp_localhost,4,10,true,1.583055,0.049112,1.570194,1.548089,1.724436,0.000,0.2807,0.0702,0.9298,0.0310
dual_tree,20,tcp_localhost,8,10,true,1.902204,0.015117,1.903998,1.875384,1.923468,0.000,0.2336,0.0292,0.9708,0.0079
dual_tree,22,tcp_localhost,1,10,true,3.622864,0.036215,3.626818,3.575292,3.670553,0.000,0.3633,0.3633,0.6367,0.0100
dual_tree,22,tcp_localhost,2,10,true,6.434080,0.170839,6.437959,6.188089,6.828215,0.000,0.2046,0.1023,0.8977,0.0266
dual_tree,22,tcp_localhost,4,10,true,7.154318,0.055599,7.144509,7.078224,7.294778,0.000,0.1840,0.0460,0.9540,0.0078
dual_tree,22,tcp_localhost,8,10,true,8.190682,0.075855,8.169784,8.079461,8.350372,0.000,0.1607,0.0201,0.9799,0.0093
condup_expansion,1000,tcp_localhost,1,10,true,0.053410,0.000584,0.053608,0.052134,0.054334,0.000,3.8630,3.8630,0.0000,0.0109
condup_expansion,1000,tcp_localhost,2,10,true,0.106980,0.000642,0.106925,0.106007,0.108240,0.000,1.9286,0.9643,0.0357,0.0060
condup_expansion,1000,tcp_localhost,4,10,true,0.216876,0.001389,0.216801,0.214595,0.219288,0.000,0.9513,0.2378,0.7622,0.0064
condup_expansion,1000,tcp_localhost,8,10,true,0.450997,0.002842,0.451008,0.447094,0.456452,0.000,0.4575,0.0572,0.9428,0.0063
condup_expansion,5000,tcp_localhost,1,10,true,0.058525,0.000612,0.058561,0.057158,0.059757,0.000,3.6024,3.6024,0.0000,0.0105
condup_expansion,5000,tcp_localhost,2,10,true,0.110954,0.000634,0.110969,0.110072,0.112209,0.000,1.9002,0.9501,0.0499,0.0057
condup_expansion,5000,tcp_localhost,4,10,true,0.220269,0.000879,0.220126,0.218819,0.221722,0.000,0.9571,0.2393,0.7607,0.0040
condup_expansion,5000,tcp_localhost,8,10,true,0.462573,0.002450,0.462068,0.458754,0.466306,0.000,0.4558,0.0570,0.9430,0.0053
