benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
ep_annihilation_con,500000,1,tcp_localhost,0,0,0.000010,0.101010,0.041121,0.391848,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,1,0,0.000008,0.135954,0.040233,0.429577,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,2,0,0.000010,0.110316,0.046536,0.399016,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,3,0,0.000014,0.108338,0.040064,0.471852,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,4,0,0.000013,0.101378,0.041850,0.389966,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,5,0,0.000012,0.108990,0.039667,0.403087,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,6,0,0.000010,0.107055,0.040301,0.404771,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,7,0,0.000012,0.103602,0.040432,0.396904,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,8,0,0.000017,0.103601,0.045101,0.395071,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,9,0,0.000010,0.108588,0.039944,0.402669,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,2,tcp_localhost,0,0,0.209079,0.066738,0.039637,0.355613,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,1,0,0.169041,0.060625,0.039012,0.347909,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,2,0,0.226613,0.064191,0.040753,0.357945,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,3,0,0.182141,0.061459,0.039412,0.340670,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,4,0,0.213634,0.065689,0.041216,0.353524,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,5,0,0.173677,0.060027,0.039583,0.344362,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,6,0,0.174653,0.061410,0.039864,0.342596,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,7,0,0.177632,0.061703,0.041435,0.343629,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,8,0,0.212741,0.063487,0.040101,0.357902,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,9,0,0.173568,0.061716,0.039114,0.342591,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,4,tcp_localhost,0,0,0.215004,0.044575,0.043262,0.397655,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,1,0,0.207527,0.048318,0.045133,0.403526,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,2,0,0.206335,0.041597,0.052814,0.412478,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,3,0,0.220942,0.050721,0.040959,0.388688,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,4,0,0.213526,0.044647,0.049056,0.399401,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,5,0,0.212565,0.045336,0.041257,0.402148,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,6,0,0.212373,0.045367,0.043724,0.392201,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,7,0,0.216533,0.047695,0.044421,0.397994,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,8,0,0.209786,0.045471,0.042504,0.398331,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,9,0,0.248944,0.054038,0.044089,0.394340,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,8,tcp_localhost,0,0,0.418164,0.032429,0.049211,0.612099,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,1,0,0.427874,0.031174,0.051248,0.602774,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,2,0,0.416643,0.031573,0.048539,0.615287,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,3,0,0.433627,0.031405,0.049528,0.606112,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,4,0,0.421370,0.032380,0.054115,0.597370,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,5,0,0.427392,0.034236,0.049781,0.593331,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,6,0,0.439255,0.031063,0.054153,0.597343,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,7,0,0.419116,0.031457,0.050586,0.610365,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,8,0,0.438835,0.031273,0.052485,0.605178,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,500000,8,tcp_localhost,9,0,0.442290,0.031397,0.048500,0.599229,0,0.000000,1000000,23802852,4888189
ep_annihilation_con,1000000,1,tcp_localhost,0,0,0.000009,0.265465,0.087246,0.829135,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,1,0,0.000010,0.253126,0.088679,0.814076,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,2,0,0.000009,0.260302,0.089582,0.824218,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,3,0,0.000011,0.303708,0.093334,0.866203,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,4,0,0.000011,0.262705,0.089905,0.827599,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,5,0,0.000010,0.255441,0.088481,0.808946,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,6,0,0.000008,0.254640,0.087855,0.806841,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,7,0,0.000010,0.253281,0.088344,0.818723,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,8,0,0.000009,0.257551,0.087776,0.811281,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,1,tcp_localhost,9,0,0.000013,0.254871,0.090786,0.810302,0,0.000000,2000000,47840969,9907195
ep_annihilation_con,1000000,2,tcp_localhost,0,0,0.418393,0.131894,0.085437,0.619606,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,1,0,0.423720,0.144923,0.085096,0.621765,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,2,0,0.452979,0.137570,0.091281,0.615959,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,3,0,0.430008,0.140524,0.087821,0.628495,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,4,0,0.422206,0.131553,0.085753,0.616236,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,5,0,0.423779,0.138925,0.083792,0.625935,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,6,0,0.420524,0.133298,0.091915,0.618981,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,7,0,0.428034,0.144394,0.088523,0.619803,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,8,0,0.458471,0.144080,0.091156,0.618481,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,2,tcp_localhost,9,0,0.434051,0.139053,0.092558,0.619663,0,0.000000,2000000,47841048,9907296
ep_annihilation_con,1000000,4,tcp_localhost,0,0,0.526144,0.102546,0.096146,0.645087,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,1,0,0.538629,0.095107,0.092227,0.617706,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,2,0,0.578566,0.107048,0.093698,0.652033,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,3,0,0.521881,0.098327,0.091322,0.638464,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,4,0,0.538353,0.104267,0.091674,0.641552,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,5,0,0.525876,0.092559,0.096020,0.653380,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,6,0,0.531591,0.086127,0.108501,0.643778,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,7,0,0.527416,0.096233,0.092839,0.650663,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,8,0,0.527230,0.103669,0.095959,0.662560,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,4,tcp_localhost,9,0,0.541025,0.092851,0.095531,0.647506,0,0.000000,2000000,47841194,9907475
ep_annihilation_con,1000000,8,tcp_localhost,0,0,0.994136,0.071874,0.112611,0.824944,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,1,0,1.001151,0.068765,0.119492,0.816278,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,2,0,0.990002,0.069858,0.113391,0.811463,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,3,0,0.989426,0.068039,0.118623,0.810226,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,4,0,0.995247,0.067941,0.114249,0.831215,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,5,0,1.002994,0.074372,0.117560,0.809227,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,6,0,1.002799,0.066761,0.118702,0.806769,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,7,0,1.005906,0.068467,0.113942,0.825042,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,8,0,0.993690,0.069751,0.112265,0.812848,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,1000000,8,tcp_localhost,9,0,0.996528,0.066759,0.110303,0.821686,0,0.000000,2000000,47841467,9907831
ep_annihilation_con,5000000,1,tcp_localhost,0,0,0.000008,2.117207,0.611048,5.032852,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,1,0,0.000013,2.166076,0.651359,4.953448,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,2,0,0.000008,2.238981,0.622451,5.159559,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,3,0,0.000010,2.254264,0.653554,5.161748,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,4,0,0.000008,2.097614,0.619090,5.045588,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,5,0,0.000011,2.174846,0.645394,4.977487,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,6,0,0.000009,2.084125,0.617226,5.047304,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,7,0,0.000008,2.184207,0.638704,5.014991,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,8,0,0.000010,2.099549,0.595509,5.002817,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,1,tcp_localhost,9,0,0.000008,2.144080,0.650177,4.950580,0,0.000000,10000000,240964424,50064058
ep_annihilation_con,5000000,2,tcp_localhost,0,0,3.249620,1.046099,0.639802,3.396074,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,1,0,3.262862,0.975938,0.671090,3.316283,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,2,0,3.254018,0.991192,0.618494,3.373064,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,3,0,3.267268,0.982905,0.659960,3.299657,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,4,0,3.245433,0.969665,0.626452,3.320414,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,5,0,3.213437,0.983184,0.667196,3.288025,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,6,0,3.238905,0.999698,0.628779,3.430939,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,7,0,3.256607,1.000928,0.668222,3.279494,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,8,0,3.245842,0.976909,0.626307,3.320162,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,2,tcp_localhost,9,0,3.214778,0.988509,0.650488,3.310160,0,0.000000,10000000,240964505,50064159
ep_annihilation_con,5000000,4,tcp_localhost,0,0,4.026113,0.671488,0.629442,2.983991,0,0.000000,10000000,240964642,50064335
ep_annihilation_con,5000000,4,tcp_localhost,1,0,4.028764,0.648750,0.620915,2.914108,0,0.000000,10000000,240964642,50064335
ep_annihilation_con,5000000,4,tcp_localhost,2,0,4.058710,0.722698,0.644672,2.893453,0,0.000000,10000000,240964642,50064335
ep_annihilation_con,5000000,4,tcp_localhost,3,0,4.045689,0.724596,0.634740,2.973733,0,0.000000,10000000,240964642,50064335
ep_annihilation_con,5000000,4,tcp_localhost,4,0,4.100429,0.861295,0.625576,3.087814,0,0.000000,10000000,240964642,50064335
