benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
ep_annihilation_con,500000,sequential,0,10,true,0.366186,0.012465,0.367846,0.342486,0.391548,0.000,1.0045,1.0045,0.0000,0.0340
ep_annihilation_con,1000000,sequential,0,10,true,0.594950,0.034721,0.575724,0.562726,0.667694,0.000,0.9677,0.9677,0.0323,0.0584
ep_annihilation_con,5000000,sequential,0,10,true,3.223238,0.129800,3.184851,3.144747,3.603644,0.000,0.9881,0.9881,0.0119,0.0403
dual_tree,18,sequential,0,10,true,0.293641,0.014752,0.287630,0.281703,0.329977,0.000,0.9795,0.9795,0.0205,0.0502
dual_tree,20,sequential,0,10,true,0.483613,0.010916,0.483092,0.469758,0.504041,0.000,0.9989,0.9989,0.0011,0.0226
dual_tree,22,sequential,0,10,true,1.470197,0.025929,1.463421,1.433971,1.521994,0.000,0.9954,0.9954,0.0046,0.0176
condup_expansion,1000,sequential,0,10,true,0.211978,0.005256,0.212782,0.205174,0.220247,0.000,1.0038,1.0038,0.0000,0.0248
condup_expansion,5000,sequential,0,10,true,0.206112,0.005792,0.207054,0.196487,0.214362,0.000,1.0046,1.0046,0.0000,0.0281
ep_annihilation_con,500000,tcp_localhost,1,10,true,0.468371,0.027440,0.460159,0.447848,0.545154,1.071,0.7854,0.7854,0.2146,0.0586
ep_annihilation_con,500000,tcp_localhost,2,10,true,0.592927,0.027394,0.574958,0.567944,0.639638,0.845,0.6204,0.3102,0.6898,0.0462
ep_annihilation_con,500000,tcp_localhost,4,10,true,0.684096,0.011691,0.679905,0.672980,0.713789,0.731,0.5377,0.1344,0.8656,0.0171
ep_annihilation_con,500000,tcp_localhost,8,10,true,1.135916,0.008390,1.134644,1.120063,1.150882,0.440,0.3238,0.0405,0.9595,0.0074
ep_annihilation_con,1000000,tcp_localhost,1,10,true,0.940951,0.018168,0.934856,0.925185,0.989945,1.063,0.6119,0.6119,0.3881,0.0193
ep_annihilation_con,1000000,tcp_localhost,2,10,true,1.177636,0.014149,1.171504,1.160812,1.205331,0.849,0.4889,0.2444,0.7556,0.0120
ep_annihilation_con,1000000,tcp_localhost,4,10,true,1.341192,0.019733,1.338899,1.314444,1.389028,0.746,0.4293,0.1073,0.8927,0.0147
ep_annihilation_con,1000000,tcp_localhost,8,10,true,2.045880,0.011051,2.043305,2.031443,2.062982,0.489,0.2814,0.0352,0.9648,0.0054
ep_annihilation_con,5000000,tcp_localhost,1,10,true,5.829043,0.069654,5.815221,5.759854,5.977156,0.858,0.5464,0.5464,0.4536,0.0119
ep_annihilation_con,5000000,tcp_localhost,2,10,true,7.413468,0.042514,7.402605,7.362003,7.488411,0.674,0.4296,0.2148,0.7852,0.0057
ep_annihilation_con,5000000,tcp_localhost,4,10,true,7.976661,0.071100,7.958735,7.887159,8.140627,0.627,0.3993,0.0998,0.9002,0.0089
ep_annihilation_con,5000000,tcp_localhost,8,10,true,11.832371,0.122924,11.804874,11.672084,12.165112,0.423,0.2692,0.0336,0.9664,0.0104
dual_tree,18,tcp_localhost,1,10,true,0.296218,0.007743,0.296190,0.283126,0.312179,0.886,0.9710,0.9710,0.0290,0.0261
dual_tree,18,tcp_localhost,2,10,true,0.447830,0.009877,0.447848,0.428458,0.464339,0.586,0.6423,0.3211,0.6789,0.0221
dual_tree,18,tcp_localhost,4,10,true,0.516988,0.008668,0.518310,0.505321,0.533761,0.507,0.5564,0.1391,0.8609,0.0168
dual_tree,18,tcp_localhost,8,10,true,0.751426,0.010052,0.748545,0.736831,0.768913,0.349,0.3828,0.0478,0.9522,0.0134
dual_tree,20,tcp_localhost,1,10,true,0.831906,0.015993,0.830401,0.814210,0.863029,1.261,0.5807,0.5807,0.4193,0.0192
dual_tree,20,tcp_localhost,2,10,true,1.437802,0.014202,1.438299,1.414720,1.459435,0.729,0.3360,0.1680,0.8320,0.0099
