benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
ep_annihilation_con,500000,1,tcp_localhost,0,0,0.000020,0.000000,0.088617,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,1,0,0.000021,0.000000,0.098779,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,2,0,0.000031,0.000000,0.181068,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,3,0,0.000031,0.000000,0.098039,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,4,0,0.000029,0.000000,0.111386,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,5,0,0.000026,0.000000,0.106594,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,6,0,0.000031,0.000000,0.100747,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,7,0,0.000030,0.000000,0.102437,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,8,0,0.000019,0.000000,0.088720,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,1,tcp_localhost,9,0,0.000018,0.000000,0.097582,0.000000,0,0.000000,1000000,23802364,4887587
ep_annihilation_con,500000,2,tcp_localhost,0,0,1.586373,0.000000,0.106952,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,1,0,1.356156,0.000000,0.087856,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,2,0,1.312647,0.000000,0.093106,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,3,0,1.630799,0.000000,0.103581,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,0,0,0.655690,0.000000,0.068502,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,1,0,0.770579,0.000000,0.072209,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,2,0,0.754285,0.000000,0.070579,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,3,0,0.745603,0.000000,0.056723,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,4,0,0.725753,0.000000,0.073806,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,5,0,0.785975,0.000000,0.070072,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,6,0,0.735646,0.000000,0.075112,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,7,0,0.778294,0.000000,0.069018,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,8,0,0.727774,0.000000,0.091043,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,2,tcp_localhost,9,0,0.761320,0.000000,0.067283,0.000000,0,0.000000,1000000,23802446,4887689
ep_annihilation_con,500000,4,tcp_localhost,0,0,0.768189,0.000000,0.087343,0.000000,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,1,0,0.766433,0.000000,0.084792,0.000000,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,2,0,0.729476,0.000000,0.080981,0.000000,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,3,0,0.690336,0.000000,0.089937,0.000000,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,4,0,0.677229,0.000000,0.095207,0.000000,0,0.000000,1000000,23802585,4887867
ep_annihilation_con,500000,4,tcp_localhost,5,0,0.661921,0.000000,0.082748,0.000000,0,0.000000,1000000,23802585,4887867
